HHID_panel,caste,jatis,annualincome1,DSR1,loanamount1,DIR1,villageid1,sizeownland2010,head_edulevel2010,head_occupation2010,wifehusb_edulevel2010,wifehusb_occupation2010,mainocc_occupation2010,yearly_expenses1,assets_noland1,villagearea1,agri2010,nagri2010,shareagri1,sharenagri1,DAR_without1,DAR_with1,ISR1,DSR302010,DSR402010,DSR502010,cro_annualincome1,cro_assets_noland1,cro_loanamount2010,cro_DSR1,cro_DAR_without1,cro_DIR2010,cro_ISR1,cro_DAR_with2010,log_yearly_expenses1,log_annualincome1,log_assets_noland1,log_assets1,log_loanamount1,log_ISR102010,log_ISR1002010,log_ISR10002010,log_ISR100002010,log_ISR2010,log_DAR102010,log_DAR1002010,log_DAR10002010,log_DAR100002010,log_DAR2010,log_DSR102010,log_DSR1002010,log_DSR10002010,log_DSR100002010,log_DSR2010,ihs_ISR2010,ihs_ISR102010,ihs_ISR1002010,ihs_ISR10001,ihs_ISR100002010,ihs_DAR2010,ihs_DAR102010,ihs_DAR1002010,ihs_DAR10001,ihs_DAR100002010,ihs_DSR2010,ihs_DSR102010,ihs_DSR1002010,ihs_DSR10001,ihs_DSR100002010,ihs_loanamount1,ihs_annualincome1,ihs_assets_noland1,annualincome2,DSR2,loanamount2,DIR2,villageid2,yearly_expenses2,assets_noland2,villagearea2,agri2016,nagri2016,shareagri2,sharenagri2,DAR_without2,DAR_with2,ISR2,cro_annualincome2,cro_assets_noland2,cro_loanamount2016,cro_DSR2,cro_DAR_without2,cro_DIR2016,cro_ISR2,cro_DAR_with2016,log_yearly_expenses2,log_annualincome2,log_assets_noland2,log_assets2,log_loanamount2,log_ISR102016,log_ISR1002016,log_ISR10002016,log_ISR100002016,log_ISR2016,log_DAR102016,log_DAR1002016,log_DAR10002016,log_DAR100002016,log_DAR2016,log_DSR102016,log_DSR1002016,log_DSR10002016,log_DSR100002016,log_DSR2016,ihs_ISR2016,ihs_ISR102016,ihs_ISR1002016,ihs_ISR10002,ihs_ISR100002016,ihs_DAR2016,ihs_DAR102016,ihs_DAR1002016,ihs_DAR10002,ihs_DAR100002016,ihs_DSR2016,ihs_DSR102016,ihs_DSR1002016,ihs_DSR10002,ihs_DSR100002016,ihs_loanamount2,ihs_annualincome2,ihs_assets_noland2,annualincome3,DSR3,loanamount3,DIR3,villageid3,yearly_expenses3,assets_noland3,villagearea3,agri2020,nagri2020,shareagri3,sharenagri3,DAR_without3,DAR_with3,ISR3,cro_annualincome3,cro_assets_noland3,cro_loanamount2020,cro_DSR3,cro_DAR_without3,cro_DIR2020,cro_ISR3,cro_DAR_with2020,log_yearly_expenses3,log_annualincome3,log_assets_noland3,log_assets3,log_loanamount3,log_ISR102020,log_ISR1002020,log_ISR10002020,log_ISR100002020,log_ISR2020,log_DAR102020,log_DAR1002020,log_DAR10002020,log_DAR100002020,log_DAR2020,log_DSR102020,log_DSR1002020,log_DSR10002020,log_DSR100002020,log_DSR2020,ihs_ISR2020,ihs_ISR102020,ihs_ISR1002020,ihs_ISR10003,ihs_ISR100002020,ihs_DAR2020,ihs_DAR102020,ihs_DAR1002020,ihs_DAR10003,ihs_DAR100002020,ihs_DSR2020,ihs_DSR102020,ihs_DSR1002020,ihs_DSR10003,ihs_DSR100002020,ihs_loanamount3,ihs_annualincome3,ihs_assets_noland3,cat_income,cat_assets,path_30,path_40,path_50,dummyownland2010
ELA1,Middle,Nattar,52,.60408443,64,1.2307693,ELA,,Primary completed,Non-agri regular non-qualified workers,Primary completed,No occupation,Non-agri regular non-qualified workers,52.599998,264.5,Ur,0,52,0,1,.24196598,.24196598,.20708896,1,1,1,37.325111,64.191162,40,.84534222,.62313879,1.0716646,.5916329,.62313879,10.870471,10.858999,12.485597,5.5778413,11.066638,.72797835,3.0305634,5.3331485,7.6357336,-1.5746068,.883627,3.1862121,5.4887972,7.7913823,-1.4189582,1.7985438,4.1011291,6.4037142,8.7062988,-.50404131,.20563662,1.4748962,3.724293,6.0263014,8.3288813,.23966502,1.6169732,3.879786,6.1819487,8.4845295,.5723241,2.4984725,4.7943444,7.0968618,9.3994465,11.759786,11.552146,13.178743,50.012657,.20790234,64,1.2796761,ELA,42.025318,177.46835,Ur,0,50.012657,0,1,.36062768,.36062768,.045358073,36.843422,56.196205,40,.59240645,.71179187,1.0856755,.35663027,.71179187,10.646028,10.820031,12.086548,5.1787925,11.066638,-.790582,1.5120031,3.8145883,6.1171732,-3.0931671,1.2826759,3.5852609,5.887846,8.1904316,-1.0199093,.73189825,3.0344834,5.3370686,7.6396537,-1.5706868,.045342535,.43931282,2.2170861,4.5078568,6.8103218,.35323584,1.9945143,4.2786002,6.5809951,8.8835783,.20643304,1.4784274,3.7282083,6.0302215,8.3328009,11.759786,11.513179,12.779695,60.16304,.27620918,38.099998,.63327914,ELA,75.815216,302.66306,Ur,0,60.16304,0,1,.12588255,.12588255,.086640775,39.184105,67.140793,33.64922,.65124744,.50117397,.85874665,.44249406,.50117397,11.236054,11.004813,12.620376,5.7126203,10.54797,-.14339964,2.1591854,4.4617705,6.7643557,-2.4459848,.23017918,2.5327642,4.8353496,7.1379347,-2.0724061,1.0159882,3.3185735,5.6211586,7.9237437,-1.2865968,.086532742,.7836886,2.8556466,5.1549511,7.4575033,.12555243,1.0530944,3.2274854,5.5285125,7.8310819,.27281249,1.7404019,4.0120482,6.3143091,8.6168909,11.241117,11.697961,13.313522,T1 in.,T3 as.,Lasting exit,Lasting exit,Lasting exit,0
ELA10,Middle,Nattar,45,.4772,38.5,.85555559,ELA,1,Primary completed,Non-agri regular non-qualified workers,Below primary,Public employment scheme workers (NREGA),Non-agri regular non-qualified workers,52.799999,157.5,Ur,10,35,.22222222,.77777779,.24444444,.030616302,.14386667,1,1,0,35.568932,54.004116,33.766567,.78144813,.62525916,.94932753,.52398646,.31283662,10.874267,10.714417,11.967181,7.1368809,10.558414,.36371678,2.666302,4.9688869,7.271472,-1.9388683,.89381784,3.196403,5.4989882,7.8015733,-1.4087672,1.5627655,3.8653507,6.1679358,8.470521,-.73981959,.14337495,1.1602529,3.3606548,5.6620464,7.9646192,.24207328,1.6263983,3.8899684,6.1921396,8.4947205,.46072647,2.2667146,4.5586076,6.861084,9.1636677,11.251561,11.407565,12.660328,73.860756,.27918151,122.8,1.662588,ELA,36.075951,272.15189,Ur,0,73.860756,0,1,.45121863,.45121863,.048189834,41.957016,64.804291,49.704929,.65357518,.76700056,1.1846632,.3639026,.76700056,10.493382,11.209937,12.514115,5.6063604,11.718312,-.73002213,1.5725631,3.8751481,6.1777334,-3.0326073,1.5067818,3.8093669,6.1119518,8.4145374,-.79580331,1.0266919,3.329277,5.6318622,7.9344473,-1.2758931,.0481712,.46496287,2.2763057,4.5684028,6.8708816,.4371607,2.211988,4.5026369,6.8051004,9.1076841,.27567643,1.7504724,4.0227447,6.3250127,8.6275949,12.41146,11.903084,13.207263,119.83696,.42429626,157.5,1.3142856,ELA,30.978262,161.95653,Ur,0,119.83696,0,1,.97248316,.97248316,.080788247,49.301891,54.508743,54.004116,.75143206,.99074227,1.0953761,.4322975,.99074227,10.341041,11.693888,11.995083,5.087328,11.967181,-.21333867,2.0892465,4.3918314,6.6944165,-2.5159237,2.2746825,4.5772676,6.8798528,9.1824379,-.027902521,1.4452618,3.7478468,6.0504317,8.3530169,-.85732335,.080700621,.73881161,2.7862022,5.0850172,7.3875642,.86178178,2.9704628,5.2704411,7.5730004,9.8755856,.41249824,2.1520152,4.441133,6.7435803,9.0461645,12.660328,12.387034,12.688231,T1 in.,T1 as.,Temporary exit,Temporary exit,Never,1
ELA11,Middle,Vanniyar,127,.35259843,113,.88976377,ELA,.5,Below primary,Agri casual workers,Below primary,Public employment scheme workers (NREGA),Non-agri casual workers,46.599998,394.5,Ur,48,79,.37795275,.62204725,.28643852,.11964002,.069133855,1,0,0,50.265259,73.34137,48.345882,.7064696,.65918982,.96181506,.41042164,.49274871,10.749356,11.751943,12.885374,6.8506556,11.635143,-.36912563,1.9334594,4.2360444,6.5386295,-2.6717107,1.0523537,3.3549387,5.6575241,7.9601092,-1.2502314,1.2601596,3.5627446,5.8653297,8.1679153,-1.0424255,.0690789,.64555639,2.6317968,4.929244,7.2317772,.28265956,1.774666,4.0483904,6.3506742,8.6532564,.34567311,1.9728345,4.256093,6.5584788,8.861062,12.32829,12.445089,13.578522,101.77216,.61719346,189.8,1.8649503,ELA,71.392403,453.79745,Ur,7.5949368,94.177216,.074626863,.92537314,.41824827,.41824827,.2743082,46.688473,76.845901,57.468792,.85141331,.74784464,1.230899,.64974999,.74784464,11.175947,11.530492,13.025406,6.117651,12.153727,1.0090821,3.3116672,5.6142521,7.9168372,-1.2935029,1.430905,3.73349,6.0360751,8.3386602,-.87168008,1.8200123,4.1225972,6.4251823,8.7277679,-.48257276,.27097967,1.7339108,4.0051465,6.3074026,8.6099844,.40692464,2.1380465,4.4267802,6.7292237,9.0318079,.58351213,2.5196588,4.8158102,7.1183305,9.4209146,12.846873,12.223639,13.718554,6.73913,6.8636756,215.5,31.977423,ELA,29.347826,140.43478,Ur,3.9130433,2.8260868,.5806452,.41935486,1.5345201,1.5345201,2.3988292,18.888666,51.978638,59.953667,1.9004316,1.153429,3.1740553,1.3386482,1.153429,10.286974,8.8156862,11.852498,4.9447432,12.280716,3.1775658,5.4801512,7.7827358,10.085321,.87498081,2.7308028,5.0333877,7.3359728,9.6385584,.42821774,4.2288284,6.5314131,8.8339987,11.136583,1.9262431,1.6089876,3.8711472,6.1733027,8.4758835,10.778468,1.2137603,3.42501,5.7265458,8.0291204,10.331705,2.6246552,4.9220285,7.2245612,9.5271454,11.829731,12.973864,9.5088329,12.545646,T3 in.,T3 as.,Always,Lasting entrance,Lasting entrance,1
ELA12,Middle,Vanniyar,185,.33274409,129,.69729728,ELA,2,High school (8th-10th),Agri self-employed,High school (8th-10th),Public employment scheme workers (NREGA),Agri self-employed,49.400002,414.5,Ur,120,65,.64864862,.35135135,.31121832,.049340218,.012122597,1,0,0,56.98019,74.560394,50.527744,.69295245,.67767543,.88675976,.22971986,.36677554,10.807706,12.128111,12.934828,7.8688283,11.767568,-2.1100991,.19248609,2.4950712,4.7976565,-4.412684,1.1353245,3.4379096,5.7404947,8.0430794,-1.1672606,1.2022035,3.5047886,5.8073735,8.1099586,-1.1003816,.0121223,.120931,1.023798,3.1899152,5.4908204,.30640152,1.8533373,4.1313148,6.4336443,8.736227,.32689109,1.917202,4.1981616,6.5005231,8.8031063,12.460715,12.821259,13.627975,101.26582,.052142859,88.5,.87393743,ELA,19.620255,74.683548,Ur,0,101.26582,0,1,1.1849999,1.1849999,.052142859,46.610916,42.112236,44.563683,.37359262,1.0582123,.95607829,.37359262,1.0582123,9.8843174,11.525504,11.221015,4.3132596,11.390758,-.65118295,1.6514021,3.9539874,6.2565722,-2.953768,2.4723277,4.7749128,7.077498,9.3800831,.16974273,-.65118295,1.6514021,3.9539874,6.2565722,-2.953768,.052119259,.50029552,2.3536201,4.6472263,6.9497204,1.0063348,3.1672506,5.4680777,7.7706456,10.07323,.052119259,.50029552,2.3536201,4.6472263,6.9497204,12.083905,12.218652,11.914163,54.347828,.2720497,72.300003,1.33032,ELA,22.5,101.68478,Ur,0,54.347828,0,1,.71102089,.71102089,.2720497,37.878613,46.675106,41.659378,.6479618,.8925395,1.0998126,.6479618,.8925395,10.021271,10.90316,11.529633,4.6218777,11.18858,1.0008146,3.3033996,5.6059847,7.9085698,-1.3017706,1.9615316,4.2641168,6.5667019,8.8692865,-.34105349,1.0008146,3.3033996,5.6059847,7.9085698,-1.3017706,.268801,1.7261471,3.9968843,6.2991352,8.601717,.66167188,2.6595876,4.9573135,7.2598495,9.5624342,.268801,1.7261471,3.9968843,6.2991352,8.601717,11.881726,11.596307,12.22278,T3 in.,T3 as.,Lasting exit,Never,Never,1
ELA13,Middle,Nattar,56,.96952319,120,2.1428571,ELA,1,Primary completed,Non-agri casual workers,High school (8th-10th),Public employment scheme workers (NREGA),Non-agri casual workers,49.200001,216,Ur,9,47,.16071428,.83928573,.55555558,.091185421,.34320807,1,1,1,38.258625,60,49.324242,.98973608,.82207072,1.289232,.70014149,.45009944,10.803649,10.933107,12.283033,7.1823521,11.695247,1.2331667,3.5357518,5.8383369,8.1409216,-1.0694184,1.7147985,4.0173836,6.3199687,8.6225538,-.58778661,2.2716343,4.5742192,6.8768044,9.179389,-.030950883,.33680418,1.9468923,4.2291112,6.531486,8.8340693,.53034264,2.4159489,4.7106118,7.0131168,9.3157005,.85965818,2.9674306,5.2673931,7.569952,9.8725367,12.388394,11.626254,12.976181,39.113922,.36941361,110.7,2.830194,ELA,52.531643,153.35443,Ur,0,39.113922,0,1,.72185725,.72185725,.36941361,33.945103,53.526081,48.015621,.71752596,.89705092,1.414508,.71752596,.89705092,10.869171,10.574234,11.940507,5.0327516,11.614579,1.3067467,3.6093318,5.9119167,8.2145023,-.99583834,1.9766573,4.279242,6.5818272,8.8844128,-.32592788,1.3067467,3.6093318,5.9119167,8.2145023,-.99583834,.36148912,2.0177295,4.3026619,6.6050658,8.907649,.67048079,2.6745679,4.9724374,7.2749748,9.5775595,.36148912,2.0177295,4.3026619,6.6050658,8.907649,12.307726,11.267381,12.633655,185.86957,.035424236,130.5,.70210528,ELA,57.06522,550,Ur,0,185.86957,0,1,.23727272,.23727272,.0027019023,57.069328,81.932129,50.722832,.32842296,.61908358,.88879323,.13928036,.61908358,10.95195,12.1328,13.217673,6.3099184,11.779128,-3.6112142,-1.308629,.99395609,3.2965412,-5.9137993,.86404002,3.166625,5.4692101,7.7717953,-1.4385451,-1.037774,1.2648112,3.5673962,5.8699813,-3.340359,.002701899,.027015738,.26700634,1.7197124,3.9900308,.23510097,1.5988972,3.8602161,6.1623616,8.4649429,.03541683,.34722307,1.9773103,4.2607427,6.5631304,12.472276,12.825948,13.910821,T2 in.,T2 as.,New not over-indebted,Lasting exit,Lasting exit,1
ELA14,Dalits,SC,37,.29662162,51,1.3783784,ELA,1,Below primary,Agri self-employed,Below primary,Agri casual workers,Agri casual workers,58.200001,222.5,Colony,33,4,.8918919,.10810811,.22921349,.038563326,.053378381,0,0,0,33.32222,60.595913,37.084297,.66691059,.61199337,1.1129,.37652037,.33785069,10.971641,10.518673,12.312682,7.1872792,10.839581,-.6277644,1.6748208,3.9774058,6.2799911,-2.9303493,.82948369,3.1320686,5.4346538,7.7372389,-1.4731014,1.0872871,3.3898723,5.6924572,7.9950423,-1.2152979,.053353064,.51122308,2.3766289,4.6706405,6.9731388,.22725241,1.5671381,3.8256915,6.1278057,8.4303865,.29243565,1.8077085,4.0833035,6.3856072,8.6881895,11.532728,11.211821,13.00583,172.1519,.069982357,41.099998,.23874263,ELA,29.49367,33.924049,Colony,0,172.1519,0,1,1.2115299,1.2115299,0,55.629345,32.371979,34.510185,.41209391,1.0660511,.62035936,0,1.0660511,10.291931,12.056132,10.431879,3.5241241,10.623763,,,,,,2.4944689,4.7970543,7.0996394,9.4022245,.19188391,-.35692704,1.9456581,4.2482433,6.5508285,-2.659512,0,0,0,0,0,1.0233334,3.1893151,5.4902182,7.7927866,10.095371,.06992536,.65252203,2.6438713,4.9414415,7.2439761,11.316911,12.74928,11.125027,119.56522,.15093169,65.099998,.54447269,ELA,30.978262,101.68478,Colony,0,119.56522,0,1,.64021379,.64021379,.15093169,49.264599,46.675106,40.227867,.53242707,.86186981,.81656742,.53242707,.86186981,10.341041,11.691617,11.529633,4.6218777,11.08368,.41165718,2.7142422,5.0168271,7.3194122,-1.8909279,1.856632,4.1592169,6.461802,8.7643871,-.4459531,.41165718,2.7142422,5.0168271,7.3194122,-1.8909279,.15036443,1.1999202,3.4084849,5.7099853,8.0125599,.60300082,2.5558236,4.8524251,7.1549501,9.4575348,.15036443,1.1999202,3.4084849,5.7099853,8.0125599,11.776827,12.384765,12.22278,T1 in.,T2 as.,Never,Never,Never,1
ELA15,Dalits,SC,185,.30521137,371,2.0054054,ELA,3,Below primary,Agri self-employed,Below primary,Public employment scheme workers (NREGA),Agri self-employed,42.200001,367.5,Colony,120,65,.64864862,.35135135,1.0095239,.10115883,.017087495,1,0,0,56.98019,71.628487,71.855164,.67328703,1.0031646,1.2610551,.25756854,.46594495,10.650175,12.128111,12.814479,8.2072659,12.823957,-1.7668233,.53576183,2.838347,5.1409321,-4.0694084,2.3120639,4.6146488,6.9172339,9.2198191,.0094788028,1.1158344,3.4184194,5.7210045,8.0235901,-1.1867508,.017086664,.17005415,1.3052481,3.5323493,5.8340878,.88809198,3.0076551,5.3078208,7.6103816,9.9129667,.30066103,1.8347987,4.111835,6.4141545,8.7167368,13.517104,12.821259,13.507626,322.0253,.081255779,652,2.0246856,ELA,48.037975,475.31647,Colony,189.87341,132.1519,.58962268,.41037738,1.3717177,.11771913,.081255779,68.543037,78.041862,86.712662,.43312982,1.1111045,1.2650836,.43312982,.49009734,10.779747,12.682385,13.071736,8.6194983,13.3878,-.20756821,2.095017,4.3976021,6.7001872,-2.5101533,2.6186488,4.9212341,7.2238188,9.5264044,.31606373,-.20756821,2.095017,4.3976021,6.7001872,-2.5101533,.081166625,.74244428,2.7919292,5.0907869,7.3933344,1.1214327,3.313122,5.6143942,7.9169664,10.219551,.081166625,.74244428,2.7919292,5.0907869,7.3933344,14.080947,13.375532,13.764883,38.913044,.82842684,847.70001,21.78447,ELA,44.02174,588.69562,Colony,35,3.9130433,.89944136,.10055866,1.4399632,.6038124,.63205677,33.88689,83.810211,94.641304,.9391855,1.1292336,2.7928588,.85819376,.84521526,10.692439,10.569085,13.285665,7.2470188,13.650282,1.843809,4.1463943,6.4489794,8.751564,-.45877606,2.6672027,4.9697876,7.2723727,9.5749578,.36461759,2.1143584,4.4169436,6.7195287,9.0221138,-.18822676,.59611833,2.5431561,4.8396039,7.142127,9.4447117,1.1609927,3.3615534,5.6629472,7.9655204,10.268106,.75471228,2.8111286,5.110127,7.4126759,9.7152605,14.34343,11.262232,13.978812,T3 in.,T3 as.,Temporary exit,New over-indebted,New over-indebted,1
ELA16,Middle,Vanniyar,101,.66312671,215,2.1287129,ELA,1,Below primary,Agri casual workers,Below primary,No occupation,Non-agri casual workers,33.200001,213,Ur,11,90,.10891089,.89108908,1.0093896,.16374713,.2921741,1,1,1,46.570095,59.720924,59.907265,.87203151,1.0031202,1.2863891,.66356057,.54708892,10.410305,11.522876,12.269048,7.1800699,12.278394,1.0721797,3.3747649,5.67735,7.9799352,-1.2304054,2.3119309,4.6145163,6.9171009,9.2196865,.0093458304,1.8917959,4.1943808,6.4969659,8.799551,-.41078919,.28816918,1.7934039,4.0682049,6.3705001,8.6730824,.88799751,3.0075228,5.3076878,7.6102486,9.9128332,.62219727,2.5905805,4.8875852,7.190114,9.4926987,12.97154,12.216023,12.962194,153.79747,.03075886,126.6,.82316047,ELA,19.620255,80.126579,Ur,0,153.79747,0,1,1.58,1.58,.03075886,53.577576,43.111408,50.212429,.31332141,1.1647133,.93719113,.31332141,1.1647133,9.8843174,11.943392,11.291363,4.3836074,11.748788,-1.178992,1.123593,3.426178,5.7287631,-3.4815772,2.76001,5.0625949,7.36518,9.6677656,.45742488,-1.178992,1.123593,3.426178,5.7287631,-3.4815772,.030754011,.30293399,1.8421744,4.1195893,6.4219131,1.2383355,3.4541571,5.7557521,8.0583277,10.360912,.030754011,.30293399,1.8421744,4.1195893,6.4219131,12.441935,12.636539,11.98451,72.554344,.016104871,9.3000002,.12817979,ELA,28.396738,304.34784,Ur,7.3369565,65.217392,.10112359,.89887643,.030557144,.030557144,.0014981275,41.708172,67.265144,21.029438,.25253356,.312635,.50420427,.11442377,.312635,10.254029,11.192091,12.625927,5.7181711,9.1377697,-4.2009544,-1.8983692,.40421596,2.7068012,-6.5035391,-1.1855717,1.1170135,3.4195986,5.7221837,-3.4881568,-1.8260484,.47653669,2.7791219,5.081707,-4.1286335,.0014981269,.014980714,.14925793,1.193724,3.4010603,.030552391,.30100539,1.8359191,4.1130133,6.4153333,.016104175,.16036053,1.2545284,3.4732316,5.7748637,9.8309164,11.885239,13.319074,T3 in.,T2 as.,Lasting exit,Lasting exit,Lasting exit,1
ELA17,Dalits,SC,75,0,31,.41333333,ELA,,Primary completed,Agri casual workers,Below primary,Agri casual workers,Agri casual workers,58.400002,79,Colony,75,0,1,0,.39240506,.39240506,0,0,0,0,42.171635,42.908405,31.413807,0,.73211312,.74490374,0,.73211312,10.975071,11.225244,11.277204,4.3694477,10.341743,,,,,,1.3671244,3.6697094,5.9722948,8.2748795,-.93546063,,,,,,0,0,0,0,0,.38297439,2.0761256,4.363019,6.6654434,8.9680271,0,0,0,0,0,11.034889,11.91839,11.97035,100.88607,.011448508,63.200001,.62644923,ELA,59.113926,412.15192,Colony,12.784811,88.101265,.12672523,.8732748,.15334152,.15334152,.011448508,46.552578,74.419334,39.832634,.22538048,.53524578,.85564828,.22538048,.53524578,10.987222,11.521748,12.929148,6.0213919,11.05406,-2.1673107,.13527437,2.4378595,4.7404447,-4.4698958,.42749742,2.7300825,5.0326676,7.3352528,-1.8750877,-2.1673107,.13527437,2.4378595,4.7404447,-4.4698958,.011448258,.11423646,.98018306,3.1329086,5.4336109,.15274686,1.2131568,3.4242911,5.7258253,8.0284004,.011448258,.11423646,.98018306,3.1329086,5.4336109,11.747207,12.214894,13.622294,86.663048,.071402363,89.599998,1.0338893,ELA,32.336956,557.93475,Colony,26.01087,60.652172,.30013797,.699862,.16059226,.16059226,0,44.253197,82.324257,44.747559,.41486251,.54355252,1.0111712,0,.54355252,10.383966,11.369782,13.231997,6.3242421,11.403111,,,,,,.47369841,2.7762835,5.0788684,7.3814535,-1.8288866,-.3368392,1.9657459,4.2683311,6.5709162,-2.6394243,0,0,0,0,0,.15990987,1.2521181,3.4703987,5.7720256,8.0746012,.071341828,.66411734,2.6637609,4.9615273,7.2640638,12.096258,12.06293,13.925144,T2 in.,T1 as.,Never,Never,Never,0
ELA19,Dalits,SC,50,.092580006,6,.12,ELA,,High school (8th-10th),Agri casual workers,Below primary,Agri casual workers,Agri casual workers,39.400002,113,Colony,32,18,.63999999,.36000001,.053097345,.053097345,.0065799998,0,0,0,36.840317,48.345882,18.171206,.45238245,.3758584,.49324241,.18738808,.3758584,10.581521,10.819778,11.635143,4.7273879,8.6995144,-2.7211356,-.41855037,1.8840348,4.1866198,-5.0237207,-.63304329,1.6695418,3.972127,6.2747121,-2.9356284,-.077096961,2.2254882,4.5280733,6.8306584,-2.3796821,.0065799523,.065752603,.61791956,2.5829067,4.8798246,.053072426,.50874233,2.3714406,4.6653628,6.9678602,.092448264,.82792139,2.9215393,5.2212496,7.5238056,9.392662,11.512925,12.32829,63.79747,.0014880953,254.10001,3.9829166,ELA,80.253166,365.6962,Colony,7.5949368,56.202534,.11904761,.88095236,.69483912,.69483912,.0014880953,39.95776,71.511101,63.338566,.11416779,.88571656,1.585138,.11416779,.88571656,11.292941,11.063469,12.809558,5.901803,12.445483,-4.2076731,-1.9050882,.39749697,2.7000821,-6.5102582,1.9385101,4.2410951,6.5436802,8.8462658,-.36407495,-4.2076731,-1.9050882,.39749697,2.7000821,-6.5102582,.0014880947,.014880403,.1482657,1.1881415,3.3943563,.64843351,2.6367958,4.9342942,7.2368279,9.5394125,.0014880947,.014880403,.1482657,1.1881415,3.3943563,13.13863,11.756616,13.502706,80.923912,.19271168,122.4,1.512532,ELA,33.152176,241.19565,Colony,33.152172,47.77174,.40967095,.59032911,.50747186,.11586377,0,43.253937,62.247677,49.650902,.57761174,.7976346,1.1478933,0,.48750889,10.408864,11.301265,12.393364,6.9626346,11.71505,,,,,,1.624271,3.926856,6.2294412,8.5320263,-.67831403,.65602505,2.9586101,5.2611952,7.5637803,-1.6465601,0,0,0,0,0,.48788485,2.3269875,4.6201005,6.9225893,9.225174,.19153838,1.4105579,3.6524298,5.954349,8.2569275,12.408196,11.994411,13.086511,T1 in.,T1 as.,Never,Never,Never,0
