HHID_panel,time,panelvar,annualincome,dsr,loanamount,assets_noland,dar,isr,ihs_isr,ihs_dar,ihs_dsr,ihs_loanamount,ihs_annualincome,ihs_assets_noland,euc_annualincome,sbd_annualincome,euc_assets_noland,sbd_assets_noland,euc_loanamount,sbd_loanamount,euc_dsr,sbd_dsr,euc_isr,sbd_isr,euc_dar,sbd_dar,year
ELA16,1,ELA16,101,.66312671,215,213,1.0093896,.2921741,6.3705001,7.6102486,7.190114,12.97154,12.216023,12.962194,1,Inc-Dec,1,Dec-Inc,1,Inc-Dec,2,Dec-Dec,1,3,3,Inc-Dec,2010
ELA16,2,ELA16,153.79747,.03075886,126.6,80.126579,1.58,.03075886,4.1195893,8.0583277,4.1195893,12.441935,12.636539,11.98451,1,Inc-Dec,1,Dec-Inc,1,Inc-Dec,2,Dec-Dec,1,3,3,Inc-Dec,2016
ELA16,3,ELA16,72.554344,.016104871,9.3000002,304.34784,.030557144,.0014981275,1.193724,4.1130133,3.4732316,9.8309164,11.885239,13.319074,1,Inc-Dec,1,Dec-Inc,1,Inc-Dec,2,Dec-Dec,1,3,3,Inc-Dec,2020
ELA31,1,ELA31,30,.93408239,58,210.5,.27553445,.21631685,6.0698967,6.3118629,7.532712,11.661345,11.0021,12.950388,3,Inc-Dec,2,DEC-INC,1,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2010
ELA31,2,ELA31,126.58228,.12517153,34.799999,11.898734,2.9246807,.037564322,4.3193789,8.6740875,5.5228481,11.150519,12.441795,10.077334,3,Inc-Dec,2,DEC-INC,1,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2016
ELA31,3,ELA31,119.56522,.030914739,35.900002,255.70653,.14039533,.020609824,3.7195029,5.6376219,4.1246419,11.18164,12.384765,13.144933,3,Inc-Dec,2,DEC-INC,1,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2020
ELA36,1,ELA36,63,.15349206,41,184,.22282609,.023333333,3.8434889,6.099544,5.7268066,11.314474,11.744038,12.815838,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2010
ELA36,2,ELA36,93.670883,.14520805,115.2,28.607595,4.0269027,.064126968,4.854073,8.9939003,5.6713266,12.347572,12.14069,10.954575,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2016
ELA36,3,ELA36,156.09131,.077631973,55.900002,250.38045,.22326025,.077631973,5.0451679,6.1014905,5.0451679,11.624467,12.651343,13.123884,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2020
ELA42,1,ELA42,51,.59421569,49,273.5,.17915905,.16284314,5.785944,5.8814287,7.0803905,11.492723,11.532728,13.212204,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,3,4,Inc-Dec,2010
ELA42,2,ELA42,32.278481,.89368039,236.8,181.96202,1.3013705,.67779481,7.2119923,7.8643208,7.4884958,13.068118,11.075303,12.804701,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,3,4,Inc-Dec,2016
ELA42,3,ELA42,87.228264,.56729668,169.60001,624.34784,.27164346,.0080554327,2.7833245,6.2976408,7.0340304,12.734345,12.069431,14.03761,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,3,4,Inc-Dec,2020
ELA44,1,ELA44,23,1.2563044,65,315.5,.20602219,.16934782,5.8251104,6.0211368,7.8290772,11.77529,10.736397,13.355062,4,Inc-Dec,2,DEC-INC,1,Dec-Inc,2,Dec-Dec,3,1,3,Inc-Dec,2010
ELA44,2,ELA44,83.544304,.037878789,12.7,13.670886,.92898148,0,0,7.5272365,4.3277125,10.142505,12.026279,10.216171,4,Inc-Dec,2,DEC-INC,1,Dec-Inc,2,Dec-Dec,3,1,3,Inc-Dec,2016
ELA44,3,ELA44,64.130432,.08966051,41.299999,316.68478,.13041359,.08966051,5.1892085,5.5638728,5.1892085,11.321765,11.761822,13.358809,4,Inc-Dec,2,DEC-INC,1,Dec-Inc,2,Dec-Dec,3,1,3,Inc-Dec,2020
