HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,6.25,54.375,92.913383
ELA10,10.38961,17.508142,48.317459
ELA11,33.628319,0,15.498838
ELA12,0,92.881355,100
ELA13,41.666668,57.181572,0
ELA14,41.176472,0,100
ELA15,0,26.211655,0
ELA16,18.60465,0,100
ELA17,64.516129,0,33.258926
ELA19,50,.35419127,53.349674
ELA2,9.4117651,0,3.7959943
ELA20,4.4117646,0,42.316517
ELA21,10.067114,19.889936,100
ELA22,70.552147,100,65.136475
ELA23,8.333333,100,33.374233
ELA24,4.4025159,0,9.2427177
ELA26,0,5.0856528,2.0618558
ELA27,16.666666,27.491407,1.1785246
ELA30,0,100,17.35037
ELA31,13.793103,27.298851,100
ELA33,46.666668,100,63.457558
ELA35,4.347826,24.821569,65.494133
ELA36,21.95122,11.024305,100
ELA37,54.545456,0,26.530611
ELA38,29.032259,0,4.4276457
ELA39,14.43299,13.049451,1.1178862
ELA4,34.210526,100,12.273902
ELA40,28.099174,15.967366,11.36999
ELA41,29.23077,16.542288,7.5576034
ELA42,38.775509,0,51.945751
ELA43,36.363636,.65412921,0
ELA44,7.6923075,100,67.070221
ELA45,11.415525,3.3898306,33.632595
ELA49,42.857143,0,15.789474
ELA5,2.5641026,46.252285,100
ELA50,76.744186,67.684479,32.497272
ELA52,41.666668,0,100
ELA6,57.142857,3.8961036,85.699265
ELA7,60.869564,59.19355,28.540066
ELA8,68,56.432251,0
ELA9,16.666666,26.02339,36.744186
GOV11,33.333332,0,5.4253182
GOV13,34.965034,0,100
GOV14,60,0,2.0661156
GOV17,73.363434,0,60.082306
GOV18,23.809525,4.4577045,54.744526
GOV19,21.12676,0,0
GOV2,14.705882,0,71.578949
GOV20,45.714287,0,50
GOV21,68.421051,15.944056,91.260353
GOV22,58.333332,5.2059922,0
GOV23,48.57143,100,36.134457
GOV25,3.5714285,5.8550186,4.305284
GOV26,20,0,99.999992
GOV28,76.190475,5.2156057,0
GOV29,4.1666665,0,0
GOV3,66.666664,4.1474657,16.129032
GOV31,53.846153,0,100
GOV32,0,0,28.421053
GOV33,41.176472,14.307229,100
GOV34,34.88372,32.653061,0
GOV35,46.153847,12.390244,82.535049
GOV37,78.571426,47.381546,100
GOV38,5.8823528,0,10.539302
GOV39,8.2352943,23.030304,46.666664
GOV4,39.534885,0,0
GOV40,53.061226,0,66.937668
GOV41,66.666664,5.6682577,100
GOV42,29.310345,0,1.1305242
GOV44,18.421053,0,12.162162
GOV45,28.571428,0,56.321243
GOV46,0,0,100
GOV48,0,0,8.3381252
GOV50,100,3.9748955,96.62059
GOV51,26.31579,49.075733,87.647591
GOV52,71.428574,0,80.641335
GOV6,73.809525,27.930906,91.96788
GOV7,33.333332,14.01766,93.366089
KAR10,0,0,8.4269657
KAR11,2.8776979,0,19.552526
KAR12,6.9767442,5.1903114,31.71806
KAR13,16.27907,4.5258622,45.238098
KAR14,16.129032,38.761688,100.00001
KAR15,63.157894,0,44.179104
KAR17,16.666666,34.439835,99.999992
KAR18,14.285714,0,95.73333
KAR19,18.439716,37.463123,81.428566
KAR2,13.333333,58.000004,85.657364
KAR20,67.914436,0,100.00001
KAR21,0,2.7259686,48
KAR23,8,54.25597,20.846609
KAR25,9.1954021,0,12.108002
KAR26,9.4339619,73.417717,13.940092
KAR27,0,12.820253,13.446568
KAR28,56.52174,100,100
KAR29,83.333336,0,7.7053828
KAR3,0,0,1.6058395
KAR30,20.454546,55.536026,96.046844
KAR32,19.86755,1.9704432,63.706566
KAR33,0,100.00001,71.14772
KAR35,0,0,3.6935706
KAR36,4.477612,8.7713642,0
KAR38,0,0,10.9375
KAR42,0,15.914786,30.453461
KAR43,0,0,23.087818
KAR44,35.501354,100,3.8243628
KAR45,10.11236,0,6.5348239
KAR46,21.73913,1.6048145,34.567902
KAR47,0,0,10.127932
KAR48,39.285713,44.432735,41.546959
KAR49,15.384615,100,62.326874
KAR50,53.57143,6.0644612,25.102882
KAR6,90.909088,76.969696,49.227798
KAR7,23.076923,5.6648779,100
KAR9,58.333332,0,100
KOR1,33.333332,13.608248,59.72435
KOR10,60.474312,100,29.022081
KOR11,0,0,17.943108
KOR14,18.518518,72.971825,60.497234
KOR15,100,0,1.2333658
KOR16,5.7692308,100,16.674238
KOR17,13.432836,7.3337398,43.174603
KOR19,16.030535,0,9.5127611
KOR2,90.384613,0,71.681419
KOR20,5.4054055,0,33.333336
KOR22,16.93989,23.114357,100
KOR23,31.578947,24.611399,8.169014
KOR24,14.084507,0,0
KOR25,48.148148,35.180058,100
KOR26,56.470589,0,22.056385
KOR27,6.8965516,0,17.567566
KOR29,37.65432,0,25.968992
KOR3,43.103447,21.131449,32.665333
KOR30,0,16.649105,79.985283
KOR32,71.739128,39.782017,67
KOR33,0,100,0
KOR34,0,0,37.904762
KOR35,100,66.270218,29.293682
KOR36,84.375,18.220947,35.903614
KOR37,0,0,3.0828516
KOR38,40,39.106529,15.970515
KOR39,29.411764,58.165138,32.336655
KOR4,56.25,27.298851,100
KOR40,57.142857,75.531914,100
KOR41,68.965515,100,99.108742
KOR42,1.8691589,11.7255,23.523899
KOR44,10.416667,41.171005,8.1984901
KOR45,28,0,35.041763
KOR5,7.6923075,0,13.39001
KOR9,6.8965516,80.551292,21.183802
KUV1,25.925926,.69686413,65.553795
KUV12,20,0,18.317757
KUV13,62.5,2.345679,54.138512
KUV14,23.076923,9.6153841,30.524862
KUV15,15.116279,24.901188,78.41584
KUV17,22.580645,0,65.681099
KUV18,50,0,12.338649
KUV19,44.680851,100,100
KUV2,41.666668,14.840637,54.228851
KUV20,100,45.023697,96.017693
KUV21,75,23.852522,19.104084
KUV22,3.4482758,21.096344,6.0267859
KUV23,33.333332,36.350574,5.2238803
KUV26,20.805368,3.2423561,34.710392
KUV27,73.333336,12.122663,47.954742
KUV28,90.56604,100,9.1726618
KUV29,20.689655,0,82.42894
KUV30,48.979591,21.444696,6.0178308
KUV31,21.25,100,52.54237
KUV32,59.259258,27.660667,61.198097
KUV34,56.52174,0,45.119705
KUV35,40,27.768013,71.578941
KUV37,25,6.6561842,19.687674
KUV38,7.4626865,100,100
KUV39,3.8461537,0,48.725212
KUV4,57.894737,0,22.651007
KUV40,0,53.36842,62.205387
KUV41,67.5,0,20.490131
KUV43,7.8431373,38.442825,31.512604
KUV44,17.543859,8.4210529,23.018867
KUV46,11.764706,100,51.178455
KUV47,30.76923,0,100
KUV50,36.363636,100,60.000004
KUV52,22.727272,0,18.229166
KUV6,74.137932,52.409641,6.2695923
KUV7,66.666664,22.144112,5.3520117
KUV9,16.666666,47.701153,38.239758
MAN1,10,40.601505,90.575912
MAN10,62.376236,32.947975,58.81081
MAN12,0,73.899376,63.92989
MAN13,22.222221,7.6810894,6.9408746
MAN14,20,35.26952,73.913048
MAN15,0,0,47.386757
MAN16,45.945946,0,7.865819
MAN17,1.4925373,100,5.3571429
MAN18,0,8.027813,71.28875
MAN19,0,0,37.867569
MAN2,17.073172,59.187622,6.2140393
MAN20,63.492062,30.446735,4.5996594
MAN21,47.126438,0,7.7176471
MAN22,17.80822,51.742916,81.931725
MAN23,68.75,0,73.878204
MAN25,23.076923,7.6985412,39.809299
MAN26,71.428574,100,100
MAN28,21.348314,9.9977427,21.426224
MAN31,77.941177,100,50.076569
MAN32,22.38806,100,16.34103
MAN33,9.5541401,0,86.147186
MAN34,18.518518,45.434937,25.34351
MAN37,21.875,29.368031,100
MAN38,0,41.717796,100
MAN39,19.32773,0,0
MAN41,16.666666,56.063702,29.864809
MAN42,15.384615,0,.18568535
MAN43,50.495049,90.047394,24.812029
MAN44,32.051281,100,10.273327
MAN45,83.333336,32.478634,61.920174
