HHID_panel,rel_var1,rel_var2,rel_var3
ELA10,18.181818,0,0
ELA11,17.699116,0,0
ELA12,93.023254,0,0
ELA14,9.8039217,0,0
ELA15,83.557953,73.788345,72.443077
ELA19,0,0,33.333332
ELA2,0,6.6425343,0
ELA20,63.235294,0,0
ELA21,83.221474,0,0
ELA24,42.138363,0,10.563107
ELA27,0,0,3.535574
ELA30,79.729729,0,38.399464
ELA31,25.862068,0,0
ELA35,0,0,34.505859
ELA36,17.073172,0,0
ELA38,0,25.506073,23.434124
ELA40,23.966942,0,20.270269
ELA41,70.769234,0,0
ELA42,36.734695,0,0
ELA43,36.363636,0,0
ELA44,15.384615,0,0
ELA45,0,70.444916,34.87569
ELA49,42.857143,54.597702,0
ELA5,64.102562,0,0
ELA52,33.333332,0,0
ELA6,23.809525,0,0
ELA7,4.347826,0,0
ELA8,0,0,2.34375
GOV11,50,0,0
GOV13,27.972029,0,0
GOV19,56.338028,0,86.828087
GOV2,29.411764,90.935249,0
GOV20,42.857143,0,0
GOV22,0,94.794006,0
GOV25,44.642857,0,0
GOV26,60,0,0
GOV28,0,2.5872691,0
GOV29,58.333332,0,100
GOV3,0,0,1.6129032
GOV31,15.384615,0,0
GOV32,46.524063,0,0
GOV33,58.823528,0,0
GOV35,30.76923,0,15.887851
GOV38,29.411764,0,0
GOV39,35.294117,0,0
GOV40,6.1224489,0,0
GOV42,70.689651,72.117966,97.738945
GOV44,0,36.765049,0
GOV45,14.285714,1.4241211,14.093265
GOV46,18.75,0,0
GOV48,59.677418,100.00001,70.845306
GOV51,34.210526,9.421586,12.352407
GOV52,0,0,19.358669
GOV6,14.285714,0,1.2048193
KAR10,29.411764,19.314869,91.573036
KAR11,71.942444,41.827061,56.031128
KAR12,0,0,29.955948
KAR13,27.906977,0,0
KAR14,83.870964,0,0
KAR17,0,65.560165,0
KAR18,0,0,.66666669
KAR2,66.666664,0,0
KAR21,100,0,0
KAR23,92,0,29.67683
KAR25,77.011497,46.159454,87.891998
KAR26,11.320755,13.29114,0
KAR27,65.957443,25.640507,86.553436
KAR3,40,0,98.394165
KAR30,56.81818,44.46397,0
KAR32,5.9602647,0,0
KAR35,50,20.021074,96.306435
KAR36,50.746269,9.5775557,30.025774
KAR38,21.212122,84.430176,4.21875
KAR42,89.0411,0,5.2028637
KAR43,39.837399,8.4444447,0
KAR44,58.536587,0,96.175644
KAR45,67.415733,0,81.771278
KAR46,78.260872,98.395187,27.983541
KAR47,58.139534,0,0
KAR48,60.714287,55.567261,1.9889503
KAR49,0,0,37.673134
KAR50,35.714287,0,0
KAR6,0,7.8787875,0
KAR7,57.692307,0,0
KOR10,19.762846,0,51.419556
KOR11,20.512821,11.111111,74.923409
KOR14,16.666666,0,33.839779
KOR15,0,0,88.169418
KOR16,0,0,21.603815
KOR19,0,0,82.134575
KOR20,54.054054,0,55.623722
KOR22,6.5573769,0,0
KOR23,68.421051,0,0
KOR24,85.915489,35.221458,83.326942
KOR26,37.64706,0,0
KOR27,17.241379,76.913727,18.243244
KOR29,9.2592592,0,6.9767442
KOR3,34.482758,0,48.897797
KOR33,9.090909,0,100
KOR34,0,58.828995,0
KOR35,0,0,60.594795
KOR36,0,0,52.289158
KOR37,36.25,89.868683,0
KOR38,0,0,6.6339068
KOR39,29.411764,11.559633,37.596897
KOR42,32.710281,0,76.476105
KOR44,29.166666,0,9.7806549
KOR5,12.5,0,0
KOR9,32.758621,0,67.60125
KUV1,61.728394,0,0
KUV13,37.5,0,0
KUV17,77.419357,0,0
KUV18,30,0,0
KUV19,12.765958,0,0
KUV2,33.333332,0,0
KUV21,16.666666,4.7404065,0
KUV23,22.222221,30.316092,9.7014923
KUV26,52.348991,84.424377,27.086882
KUV27,26.666666,0,52.045254
KUV28,0,0,85.971222
KUV29,18.965517,0,0
KUV31,41.25,0,0
KUV32,0,0,38.801907
KUV34,28.985508,0,0
KUV35,60,0,0
KUV37,37.5,93.343811,80.312325
KUV38,17.910448,0,0
KUV39,50,23.698988,28.234182
KUV4,21.052631,0,72.818794
KUV40,57.894737,0,13.720538
KUV41,17.5,100,79.509872
KUV43,0,61.557178,68.487396
KUV44,26.31579,16.578947,10.283018
KUV47,53.846153,0,0
KUV52,0,0,28.125
KUV6,17.241379,47.590363,92.037621
KUV7,22.222221,55.536026,94.647987
KUV9,0,0,32.92868
MAN10,37.623764,0,0
MAN12,59.782608,0,0
MAN17,79.850746,0,0
MAN18,62.121212,91.972191,17.699839
MAN19,60,70.209763,35.515137
MAN2,48.780487,0,0
MAN20,0,0,9.1993189
MAN21,22.988506,0,0
MAN23,31.25,0,0
MAN28,8.4269667,57.142857,0
MAN38,60,0,0
MAN39,16.806723,0,0
MAN41,42.857143,12.903226,0
MAN42,38.46154,75.616333,91.745438
MAN44,10.256411,0,0
MAN45,16.666666,0,36.62352
MAN46,98.318382,71.396393,0
