HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,0,50.46875,42.78215
ELA10,0,30.944624,55.174603
ELA11,17.699116,0,37.865429
ELA12,77.519379,0,0
ELA13,0,0,33.333332
ELA14,15.686275,0,0
ELA15,80.862534,54.371166,41.028664
ELA17,0,0,21.205357
ELA19,0,99.645805,55.555553
ELA2,8.2352943,41.013573,22.775967
ELA20,4.4117646,0,20.240826
ELA21,35.570469,2.9874215,0
ELA22,4.2944784,0,76.426796
ELA23,0,0,15.030675
ELA24,20.125786,77.787529,54.873787
ELA26,24.271845,52.569592,27.963919
ELA27,0,0,28.895678
ELA30,9.4594593,100,0
ELA33,8.333333,9.6651449,64.699791
ELA35,8.695652,.71371925,54.606361
ELA37,0,0,64.54081
ELA38,0,12.955465,17.602591
ELA39,0,0,58.028454
ELA40,3.3057852,0,24.044733
ELA41,3.0769231,.74626869,25.069124
ELA42,20.408163,19.805744,69.221695
ELA43,18.181818,2.9844642,50
ELA45,0,67.055084,30.041435
ELA49,0,54.597702,0
ELA50,0,8.1424942,44.383862
ELA52,8.333333,0,0
ELA6,21.428572,3.8961036,100.00001
ELA7,0,40.80645,5.9275522
ELA8,0,56.432251,59.027779
GOV11,16.666666,0,0
GOV13,27.972029,55.536026,100
GOV14,10,0,45.041321
GOV17,73.363434,41.666668,0
GOV19,32.394367,0,39.467312
GOV2,23.529411,45.467625,0
GOV20,0,8.6996336,0
GOV21,0,48.671329,50
GOV22,0,76.292137,0
GOV25,16.964285,0,0
GOV26,50,0,0
GOV28,0,2.5872691,79.126205
GOV29,0,0,83.282211
GOV3,0,93.745895,0
GOV31,23.076923,19.308943,100
GOV32,2.4064169,0,0
GOV33,35.294117,0,100
GOV35,0,0,53.971966
GOV37,14.285714,21.11388,0
GOV38,0,0,38.315121
GOV39,35.294117,0,0
GOV40,0,0,22.08672
GOV42,55.172413,64.841057,0
GOV44,0,22.054382,0
GOV48,11.290322,87.033241,34.387577
GOV51,25,3.7865236,40.735695
GOV52,0,28.571428,45.249405
GOV6,14.285714,0,83.132538
GOV7,0,14.01766,40.049137
KAR10,70.588234,0,91.573036
KAR11,93.525177,59.982765,50.291828
KAR12,0,0,29.955948
KAR15,0,0,50.14925
KAR17,0,5.3941908,38.898602
KAR18,0,69.646568,29.066666
KAR19,35.460995,43.952801,40.255104
KAR2,13.333333,0,50.597607
KAR20,32.08556,0,45.378155
KAR21,77.777779,29.124821,37.739132
KAR23,0,15.492957,74.192078
KAR25,57.471264,53.840546,76.430885
KAR26,0,0,31.278801
KAR27,34.042553,0,30.785563
KAR28,0,0,92.643051
KAR3,0,0,47.591244
KAR30,0,0,55.636894
KAR32,0,89.092186,91.312744
KAR33,0,0,54.835281
KAR34,0,0,66.803276
KAR35,82.14286,60.010532,40.902874
KAR36,20.895523,9.5775557,0
KAR38,60.60606,40.609951,0
KAR42,0,0,46.634842
KAR43,43.495934,40.404041,0
KAR44,18.699186,28.603601,57.648727
KAR45,0,0,11.693895
KAR46,63.768116,0,34.567902
KAR47,0,25.049309,0
KAR48,42.857143,0,0
KAR50,35.714287,21.458862,74.897125
KAR6,37.433155,0,0
KAR7,38.46154,0,0
KAR9,33.333332,0,0
KOR1,0,23.793814,33.333336
KOR10,0,46.952225,0
KOR11,0,55.555553,27.352297
KOR14,18.518518,0,33.839779
KOR15,0,0,10.597209
KOR16,5.7692308,29.368031,6.9059515
KOR17,0,3.4777303,0
KOR19,10.687023,61.557178,56.844551
KOR20,33.783783,42.844246,0
KOR23,5.2631578,4.9222798,7.6619716
KOR24,78.873238,38.738037,83.326942
KOR25,0,38.504154,0
KOR26,0,0,32.918739
KOR27,27.586206,0,0
KOR29,22.222221,32.230145,0
KOR3,34.482758,0,43.486973
KOR30,0,16.649105,27.961739
KOR33,0,0,98.051247
KOR34,0,0,51.682541
KOR35,0,0,15.167286
KOR36,0,0,52.289158
KOR37,27.5,77.708977,0
KOR39,0,0,28.571426
KOR4,12.5,27.298851,0
KOR40,0,16.869301,34.702549
KOR41,0,15.478841,38.680931
KOR42,37.383179,50.012341,76.476105
KOR44,25,0,31.247753
KOR45,12,0,22.66515
KOR5,6.7307692,0,0
KOR9,18.965517,19.448698,67.60125
KUV13,0,0,45.861485
KUV14,0,21.703297,0
KUV18,17.5,0,0
KUV19,6.3829789,0,57.904083
KUV21,0,0,17.918314
KUV22,68.965515,0,0
KUV23,0,12.116858,10.684382
KUV26,14.09396,96.757645,30.110731
KUV27,0,0,44.908615
KUV28,0,0,73.201439
KUV29,17.241379,0,17.57106
KUV30,30.612246,0,0
KUV31,18.75,0,0
KUV32,0,0,38.801907
KUV34,13.043478,0,30.018415
KUV35,20,0,0
KUV37,0,11.949685,22.727272
KUV38,29.850746,0,0
KUV39,19.23077,9.9588165,43.62606
KUV4,21.052631,0,63.758392
KUV40,15.789474,13.368421,13.720538
KUV41,80,73.179192,55.479919
KUV43,7.8431373,0,59.383755
KUV44,26.31579,8.4210529,0
KUV47,12.307693,0,0
KUV52,56.81818,0,0
KUV6,0,15.863454,40.940441
KUV7,0,0,28.3046
KUV9,0,15.876437,49.468887
MAN1,0,11.93609,75.916229
MAN10,47.524754,25.626204,52.864861
MAN12,54.347828,39.937107,78.690041
MAN13,0,7.6810894,65.124252
MAN15,3.4482758,0,80.487801
MAN16,0,28.635851,27.646038
MAN17,37.313435,0,0
MAN18,0,28.002529,81.076675
MAN19,10.434783,48.937744,37.87846
MAN2,73.170731,0,0
MAN20,0,21.718214,0
MAN21,22.988506,9.1235628,30.635298
MAN22,0,31.04575,65.611992
MAN23,0,0,60.897434
MAN25,0,0,74.493446
MAN28,12.35955,57.142857,16.069668
MAN31,0,0,66.615616
MAN32,0,12.442396,28.952042
MAN33,38.21656,0,0
MAN34,0,0,74.656487
MAN37,15.625,0,0
MAN38,24.444445,0,0
MAN39,16.806723,0,61.488674
MAN41,38.095238,10.861576,33.428921
MAN42,84.615387,4.8921413,99.814308
MAN43,17.821783,40.126381,55.424274
MAN44,10.256411,0,0
MAN45,0,0,70.334412
MAN46,89.686096,100,52.814457
MAN47,18.75,14.334085,32.063354
MAN49,5.5555553,0,26.160814
MAN5,41.025642,54.859612,48.390556
MAN50,65.671638,0,0
MAN52,91.176468,0,52.611217
MAN8,0,8.3607635,75.025597
MAN9,89.795921,0,85.534599
MANAM1,0,89.295776,0
MANAM10,32.92683,0,0
MANAM13,7.1428571,0,50.413811
MANAM14,57.142857,40.538231,0
MANAM15,0,0,69.597069
MANAM16,26.470589,13.268156,64.304466
MANAM17,42.857143,20.541126,48.140602
MANAM2,0,5.9479556,0
MANAM20,0,0,18.520201
MANAM21,0,7.2380953,0
MANAM22,49.008499,0,84.352074
MANAM23,11.111111,0,67.959946
MANAM24,0,0,84.77433
MANAM25,0,64.54081,74.942528
MANAM26,50,43.745884,72.658859
MANAM3,0,0,42.911877
MANAM30,0,1.787394,0
MANAM31,100,62.460442,0
MANAM32,0,67.55603,94.711113
MANAM33,0,85.676392,47.927689
MANAM36,0,53.008377,0
MANAM37,0,17.445053,72.540993
MANAM38,0,0,17.021276
MANAM39,0,42.568932,65.142853
MANAM4,29.126213,97.406807,50
MANAM41,0,0,51.137489
MANAM42,0,86.165573,69.781937
MANAM43,0,48.318043,36.401672
MANAM45,0,0,64.29924
MANAM47,0,62.161098,78.67485
MANAM48,0,16.95233,59.279476
MANAM49,0,0,69.957077
MANAM5,0,70.400597,59.086296
MANAM50,83.333336,16.381546,50.023006
MANAM51,18.75,30.49947,96.79335
MANAM8,0,0,5.4029307
MANAM9,46.268658,3.0631301,0
NAT1,0,21.973785,66.172112
NAT10,28.846153,23.66127,43.75
NAT11,0,0,68.592056
NAT12,0,26.236013,24.650282
NAT15,20.833334,53.201973,34.385967
NAT16,0,0,82.844246
NAT17,66.666664,100,44.427399
NAT18,0,33.333332,0
NAT19,0,85.692772,60.200073
NAT2,0,9.548872,71.428566
NAT20,12.931034,13.420196,0
NAT24,0,13.04945,56.136948
NAT28,40,50.803574,50
NAT29,0,30.238094,52.969818
NAT32,0,8.4337358,29.633114
NAT33,0,0,42.416946
NAT38,0,56.547623,54.025421
NAT39,55.555557,41.851921,42.411278
NAT4,0,0,76.965408
NAT41,8.1632652,0,36.044518
NAT44,0,23.255816,40.208874
NAT45,93.46405,71.740891,68.423096
NAT46,0,23.605947,64.983391
NAT47,24.561403,33.333332,0
NAT48,0,6.1646514,23.244862
NAT5,0,0,10.989789
NAT50,0,30.825241,29.457365
NAT6,0,0,65.901642
NAT7,0,5.7793345,74.398323
NAT9,0,14.754099,56.498516
ORA1,62.5,13.768116,61.142395
ORA10,74.074074,30.825241,40.497925
ORA12,62.5,91.408928,0
ORA14,56.980057,90.90329,57.977528
ORA15,59.405941,94.863899,55.674404
ORA17,0,0,48.363033
ORA18,0,15.598291,27.190786
ORA2,19.354839,0,74.573639
ORA21,11.764706,0,0
ORA22,16.27907,0,16.615385
ORA23,17.045454,0,96.663605
ORA24,0,100,27.312775
ORA25,91.525421,93.263153,24.093815
ORA26,42.857143,43.484226,24.292101
ORA27,0,100,90.587219
ORA28,0,100,82.131981
ORA29,0,0,62.125561
ORA30,0,99.999992,88.913132
ORA32,45.454544,100,19.854279
ORA33,0,50.967743,54.048298
ORA35,0,0,71.491226
ORA36,87.5,90.140839,51.116333
ORA38,60.869564,0,84.711388
ORA39,11.764706,0,12.526242
ORA40,0,46.787952,55.807747
ORA41,23.913044,18.171364,33.542038
ORA43,0,43.731487,77.852356
ORA44,0,77.170731,49.369682
ORA45,0,50.197628,72.987473
ORA46,0,59.239769,70.619583
ORA47,0,9.940527,53.977272
ORA48,0,9.9002848,0
ORA49,0,23.759398,79.844955
ORA51,37.142857,100,0
ORA52,0,0,36.752136
ORA8,24.137932,6.8204117,75.60881
ORA9,50.691246,57.147156,84.895103
SEM1,0,50,100.00001
SEM10,22.727272,100,59.923298
SEM12,18.181818,0,70.649353
SEM13,70.588234,0,0
SEM15,15.384615,58.664955,72.060127
SEM16,0,77.781677,62.500004
SEM17,53.658535,0,70.623917
SEM18,0,0,46.452236
SEM19,2.0242915,0,0
SEM2,0,33.446327,65.206055
SEM20,0,0,64.34211
SEM22,26.25,52.941181,15.789474
SEM25,0,0,18.171682
SEM26,28.571428,18.220947,0
SEM27,0,0,42.800785
SEM29,0,37.132786,3.6636841
SEM30,27.397261,53.754673,94.960632
SEM31,38.834953,0,75.462959
SEM34,31.52174,0,0
SEM35,84.210526,0,54.37402
SEM36,0,0,31.775181
SEM37,0,0,32.398567
SEM39,0,40.042149,41.85022
SEM42,16.666666,0,42.174438
SEM43,88.095238,0,59.109318
SEM44,22.222221,0,46.954643
SEM45,0,0,38.463741
SEM46,0,26.591761,0
SEM47,0,0,45.207989
SEM48,13.69863,0,41.800484
SEM49,0,45.848011,63.291138
SEM5,0,49.032257,37.656528
SEM51,6.1224489,0,23.869347
SEM52,0,71.547852,32.472496
SEM6,0,19.732576,66.712143
SEM7,0,0,31.341562
SEM8,0,89.766319,50.903015
