HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,85.9375,25.78125,0
ELA10,15.584415,0,0
ELA11,0,100,0
ELA13,0,28.54562,91.647507
ELA15,16.172506,0,0
ELA16,0,50,0
ELA17,9.6774197,100,66.741074
ELA2,0,30.352942,45.575222
ELA20,10.294118,13.058419,29.587156
ELA22,18.404907,0,6.7411079
ELA24,9.4339619,33.362598,10.563107
ELA26,72.815536,71.199142,0
ELA30,20.270269,0,7.5319443
ELA31,34.482758,0,0
ELA33,8.333333,0,36.542442
ELA35,0,75.178436,0
ELA38,0,0,70.950325
ELA39,0,57.967033,44.207317
ELA40,6.6115704,0,0
ELA41,0,0,92.165901
ELA42,0,100,48.054245
ELA43,0,79.946854,92.574928
ELA44,61.53846,0,0
ELA45,15.981735,0,1.1049724
ELA5,23.076923,0,0
ELA50,0,0,33.805889
ELA7,0,0,5.9275522
ELA8,0,0,.43402779
GOV11,0,90.79229,0
GOV13,20.979021,0,0
GOV14,0,8.5118313,45.041321
GOV17,0,0,22.222223
GOV18,76.190475,48.894352,13.868613
GOV2,23.529411,0,0
GOV20,0,0,50
GOV21,0,0,8.7396507
GOV23,22.857143,0,52.521011
GOV25,20.535715,0,0
GOV28,0,43.367558,16.990292
GOV3,0,0,14.516129
GOV32,46.791443,0,0
GOV34,0,0,20
GOV37,0,52.61845,0
GOV38,64.705879,0,49.806133
GOV39,47.058823,76.969696,33.333332
GOV42,0,0,.10277492
GOV44,26.31579,35.277714,0
GOV45,0,0,28.186529
GOV46,81.25,0,0
GOV48,0,0,20.816561
GOV51,26.31579,28.294575,0
GOV52,0,9.548872,0
GOV6,0,69.753769,.80321288
KAR10,0,69.169098,0
KAR11,0,0,21.206224
KAR12,93.023254,0,0
KAR13,18.60465,0,4.945055
KAR15,0,66.70179,34.02985
KAR17,83.333336,0,0
KAR19,81.560287,0,0
KAR2,20,0,14.342629
KAR20,0,37.549408,0
KAR21,0,18.220947,0
KAR23,0,38.763012,49.476559
KAR26,60.377357,0,0
KAR27,0,25.640507,0
KAR32,70.198677,0,31.46718
KAR33,88.235291,0,0
KAR38,0,0,84.84375
KAR42,0,0,25.918854
KAR43,0,51.151516,0
KAR47,0,99.999992,0
KAR48,0,0,16.427256
KAR6,0,0,5.2123556
KAR9,41.666668,0,0
KOR1,19.047619,0,0
KOR10,0,0,6.6246052
KOR11,30.76923,0,0
KOR14,64.814812,0,2.6243093
KOR15,0,0,7.9519634
KOR16,61.53846,0,0
KOR17,22.38806,0,22.222221
KOR19,22.900763,46.228714,2.5522044
KOR2,0,0,4.4247785
KOR20,33.783783,42.844246,0
KOR22,76.502731,0,0
KOR23,0,32.797928,0
KOR24,0,26.040508,0
KOR25,0,38.504154,0
KOR26,0,15.390847,17.164181
KOR27,55.172413,0,12.837838
KOR29,0,0,1.8087854
KOR3,0,26.289518,5.4108214
KOR30,0,8.3245525,0
KOR32,0,43.051769,27
KOR33,11.363636,0,0
KOR34,0,29.368031,0
KOR35,0,12.654615,10.111525
KOR36,0,63.558109,2.6506026
KOR38,20,43.505154,3.9312038
KOR4,0,54.597702,0
KOR42,65.420563,67.983208,0
KOR44,31.25,58.828995,68.356705
KOR45,44,6.4220185,0
KOR5,7.6923075,0,0
KOR9,34.482758,0,5.9190035
KUV12,0,98.598137,5.6074767
KUV14,76.92308,0,1.9337016
KUV2,0,0,5.4726367
KUV20,0,0,3.9823008
KUV22,68.965515,0,3.0133929
KUV23,0,0,.49144521
KUV26,26.845638,9.090909,0
KUV29,60.344826,0,0
KUV30,30.612246,0,0
KUV34,0,0,19.889503
KUV35,0,0,28.421053
KUV39,0,0,2.5495751
KUV4,0,0,4.5302014
KUV40,0,46.631577,22.895622
KUV43,68.627449,0,0
KUV52,0,100,0
KUV9,83.333336,0,8.1942339
MAN1,0,59.398495,0
MAN12,27.173914,0,20.01845
MAN13,55.555557,0,0
MAN14,0,0,10.688406
MAN16,27.027027,35.738445,26.084444
MAN17,8.955224,0,14.285715
MAN18,0,0,4.4045677
MAN19,34.782608,0,20.70355
MAN20,0,0,18.568995
MAN21,29.885057,27.298851,48.799999
MAN22,54.794521,34.422657,0
MAN23,0,0,26.121794
MAN25,0,0,60.190697
MAN28,56.179775,0,0
MAN31,0,0,33.231236
MAN32,62.686565,0,0
