HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,7.8125,19.84375,0
ELA10,55.844154,67.019547,51.682541
ELA11,0,0,20.185616
ELA12,6.9767442,0,0
ELA13,16.666666,14.27281,8.3524904
ELA14,49.019608,23.114357,0
ELA15,.26954177,0,27.556919
ELA16,0,50,0
ELA17,16.129032,0,0
ELA19,50,99.645805,13.316993
ELA2,78.823532,34.37104,0
ELA20,4.4117646,0,4.7018352
ELA21,6.7114096,77.122643,0
ELA22,11.042945,0,28.122416
ELA23,41.666668,0,0
ELA24,44.025158,0,0
ELA26,22.330097,0,90.979393
ELA27,83.333336,0,23.701439
ELA30,0,0,36.516476
ELA31,25.862068,0,0
ELA33,11.666667,0,0
ELA35,78.260872,0,0
ELA36,60.975609,0,0
ELA37,45.454544,0,73.469383
ELA38,6.4516129,0,1.187905
ELA39,82.474228,0,21.544714
ELA4,65.789474,0,0
ELA41,0,83.45771,0
ELA42,24.489796,0,0
ELA43,18.181818,19.399019,3.712534
ELA44,0,0,32.929783
ELA45,72.602737,26.165255,20.649172
ELA49,14.285714,45.402302,4.6783624
ELA5,10.256411,46.252285,0
ELA50,6.9767442,0,0
ELA52,0,99.999992,0
ELA6,19.047619,82.251083,14.300736
ELA7,0,0,5.9275522
ELA8,32,43.567753,71.267365
ELA9,35.714287,0,63.255817
GOV11,16.666666,9.2077084,3.6168787
GOV13,16.083916,22.319859,0
GOV14,40,0,52.892559
GOV17,1.8058691,72.258774,17.695475
GOV18,0,2.2113023,19.708031
GOV19,0,100,0
GOV2,32.35294,0,28.421053
GOV20,11.428572,91.300369,0
GOV21,31.578947,57.482521,0
GOV22,41.666668,0,0
GOV23,28.571428,0,11.344539
GOV25,0,0,95.694725
GOV26,20,16.179159,0
GOV28,23.809525,7.2689943,3.8834951
GOV29,16.666666,0,0
GOV3,33.333332,93.745895,34.946236
GOV31,30.76923,3.5569105,0
GOV32,6.6844916,100,71.578941
GOV33,0,47.590363,0
GOV34,0,67.346939,80
GOV35,23.076923,0,1.5771029
GOV38,0,0,39.654564
GOV39,9.4117651,0,20
GOV4,60.465115,100,0
GOV40,10.204082,100,29.403791
GOV41,33.333332,0,0
GOV42,0,0,.56526208
GOV44,55.263157,0,87.837837
GOV45,28.571428,0,0
GOV46,0,100,0
GOV50,0,92.677826,3.3794165
GOV51,0,13.20811,0
GOV52,0,90.451134,0
GOV6,0,2.3153253,2.0080321
GOV7,66.666664,0,6.6339068
KAR11,25.179855,21.804079,0
KAR12,0,21.799311,2.4229074
KAR13,0,95.474136,49.816853
KAR15,0,0,17.014927
KAR18,0,72.349274,3.6000001
KAR19,0,62.536873,18.57143
KAR20,0,62.450596,0
KAR21,0,1.8651363,52
KAR23,0,1.1635027,0
KAR25,13.793103,0,0
KAR26,0,13.29114,0
KAR27,34.042553,3.8481014,0
KAR28,43.47826,0,0
KAR29,16.666666,0,0
KAR30,22.727272,0,0
KAR32,0,0,2.1235521
KAR33,11.764706,0,0
KAR35,50,39.98946,0
KAR36,44.776119,0,0
KAR38,18.181818,10.433387,0
KAR42,8.2191782,84.085205,12.983294
KAR43,60.162601,40.404041,76.912186
KAR44,5.9620595,0,0
KAR46,0,0,30.76132
KAR47,30.232555,0,0
KAR49,84.615387,0,0
KAR50,0,93.935539,74.897125
KAR6,0,15.151515,33.011581
KAR7,6.4102564,0,0
KOR1,9.5238094,0,0
KOR10,0,0,12.933753
KOR11,48.717949,0,7.1334786
KOR14,0,27.028181,1.5193371
KOR15,0,28.592928,0
KOR17,0,0,26.031746
KOR19,22.900763,53.771294,3.7122972
KOR2,9.6153851,69.9842,23.893805
KOR20,6.7567568,0,11.042945
KOR22,0,76.885651,0
KOR23,0,42.590672,0
KOR24,0,0,16.673056
KOR25,51.851852,0,0
KOR26,0,7.6954236,35.986736
KOR27,0,23.086269,14.527027
KOR29,0,0,5.5555558
KOR3,5.1724138,0,13.026052
KOR30,0,75.026337,20.014719
KOR32,6.521739,17.166212,3
KOR33,79.545456,0,0
KOR34,38.46154,11.802974,62.095242
KOR35,0,10.513797,0
KOR36,15.625,0,2.6506026
KOR37,41.25,0,7.899807
KOR38,40,0,6.6339068
KOR39,11.764706,30.275229,0
KOR4,43.75,18.103449,0
KOR41,31.034483,0,.89126563
KOR42,0,20.291285,0
KOR44,29.166666,0,13.664149
KOR45,28,0,36.104782
KOR5,0,0,28.852285
KOR9,0,0,4.361371
KUV1,12.345679,7.3170733,0
KUV12,72,1.4018692,0
KUV14,0,0,11.187845
KUV15,9.3023252,75.098816,21.584158
KUV17,0,0,34.318901
KUV18,0,100,0
KUV19,21.276596,0,0
KUV2,0,0,13.432836
KUV21,8.333333,0,21.475626
KUV22,10.344828,78.903656,0
KUV23,44.444443,33.333332,81.616302
KUV28,9.4339619,0,4.8561153
KUV29,0,11.124122,17.57106
KUV30,0,7.11061,1.1887072
KUV31,0,0,30.508474
KUV32,40.740742,0,0
KUV34,14.492754,0,4.9723759
KUV37,12.5,0,0
KUV38,74.626869,0,0
KUV39,46.153847,28.90303,0
KUV4,0,100,0
KUV40,10.526316,0,0
KUV41,15,0,0
KUV44,56.14035,75,0
KUV46,11.764706,0,48.821548
KUV47,15.384615,0,0
KUV50,0,0,40
KUV52,11.363636,0,39.583332
KUV6,8.6206894,0,1.69279
KUV7,11.111111,0,0
KUV9,0,18.175287,20.637329
MAN1,70,0,9.4240837
MAN12,13.043478,26.10063,0
MAN13,22.222221,0,27.934875
MAN14,0,5.9014869,15.398551
MAN15,44.827587,0,52.613235
MAN16,27.027027,64.261559,15.731638
MAN17,9.7014923,0,67.857147
MAN18,37.878788,0,6.6068521
MAN19,0,0,5.913744
MAN2,34.146343,0,0
MAN20,4.7619047,4.3298969,0
MAN21,0,4.5258622,10.211765
MAN22,0,13.834422,11.323897
MAN26,7.1428571,0,0
MAN28,14.044944,4.287971,5.3565559
MAN31,14.705882,0,0
MAN32,0,0,19.301363
MAN33,48.407642,76.913727,11.688312
MAN34,7.4074073,0,0
MAN38,17.777779,58.282211,0
MAN39,50.42017,0,0
MAN41,0,5.1857901,33.387955
MAN42,0,24.383667,2.751519
MAN43,49.504951,0,35.553169
MAN44,57.692307,0,0
MAN46,.56053811,0,30.159836
MAN47,12.5,0,14.89726
MAN49,48.148148,0,0
MAN5,0,41.036716,16.309013
MAN52,64.705879,0,0
MAN8,0,62.475315,27.737972
MAN9,24.489796,60,0
MANAM1,0,35.774647,0
MANAM10,51.829269,0,24.923079
MANAM13,0,0,.15696348
MANAM14,4.7619047,0,83.970589
MANAM15,2.4875622,0,0
MANAM16,58.823528,1.3035381,0
MANAM17,14.285714,0,0
MANAM20,53.125,0,0
MANAM21,9.6551723,0,0
MANAM22,0,59.00621,65.158928
MANAM23,4.9382715,0,33.917397
MANAM24,17.777779,83.700974,2.9363787
MANAM25,60,90.306114,0
MANAM26,30,0,72.658859
MANAM3,50,0,10.421456
MANAM30,6.6666665,59.548447,35.978836
MANAM31,0,42.444622,0
MANAM32,32.203388,0,0
MANAM33,0,0,2.6895943
MANAM36,0,24.086061,0
MANAM37,0,17.376373,5.9426231
MANAM38,96.84874,0,0
MANAM39,23.255814,0,22.476189
MANAM4,31.067961,0,0
MANAM41,5.8823528,0,8.0118704
MANAM42,23.809525,17.211329,0
MANAM43,0,48.318043,11.380754
MANAM45,45.161289,0,15.90909
MANAM47,100,0,0
MANAM48,74.736839,33.904659,17.79476
MANAM49,60,0,0
MANAM5,25.531916,0,0
MANAM50,16.666666,0,0
MANAM51,0,30.49947,0
MANAM8,100,0,5.21978
MANAM9,14.925373,82.741875,0
NAT1,31.818182,0,40.356083
NAT10,0,0,4.8214288
NAT11,47.058823,21.626816,0
NAT12,0,.46914467,9.2249527
NAT13,100,0,0
NAT14,13.461538,0,31.395348
NAT16,0,18.461538,0
NAT17,16.666666,0,2.7607362
NAT18,12.5,0,.86355782
NAT19,0,23.795181,0
NAT2,74.175819,23.759399,0
NAT20,0,0,10.77664
