HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,100,49.53125,57.21785
ELA10,100,69.055374,44.825397
ELA11,82.300888,100,62.134567
ELA12,22.480619,100,100
ELA13,100,100,66.666664
ELA14,84.313728,100,100
ELA15,19.137466,45.628834,58.971333
ELA17,100,100,78.79464
ELA19,100,.35419127,44.444447
ELA2,91.764709,58.986423,77.22403
ELA20,95.588234,100,79.759171
ELA21,64.429527,97.012573,100
ELA22,95.705521,100,23.5732
ELA23,100,100,84.969322
ELA24,79.874214,22.212465,45.126213
ELA26,75.728157,47.430405,72.036087
ELA27,100,100,71.104317
ELA30,90.540543,0,100
ELA33,91.666664,90.334854,35.300205
ELA35,91.304344,99.286278,45.393635
ELA36,100,100.00001,100
ELA37,100,100,35.459183
ELA38,100,87.044533,82.397408
ELA39,100,100,41.971542
ELA40,96.694214,100,75.955261
ELA41,96.92308,99.253731,74.930878
ELA42,79.591835,80.194252,30.778301
ELA43,81.818184,97.015533,50
ELA45,100,32.944916,69.958565
ELA49,100,45.402302,100
ELA5,100,99.999992,100
ELA50,100,91.857506,55.616142
ELA52,91.666664,99.999992,100
ELA6,78.571426,96.103897,0
ELA7,100,59.19355,94.072449
ELA8,100,43.567753,40.972225
GOV11,83.333336,100,100
GOV13,72.027969,44.46397,0
GOV14,90,100,54.958672
GOV17,26.636568,58.333332,100
GOV19,67.605637,100,60.532688
GOV2,76.470589,54.532375,100
GOV20,100,91.300369,100
GOV21,100,51.328671,50
GOV22,100,23.707865,0
GOV25,83.035713,100,100
GOV26,50,100,99.999992
GOV28,100,97.412727,20.873787
GOV29,100,0,16.717793
GOV3,100,6.2541146,100
GOV31,76.92308,80.691055,0
GOV32,97.593582,100,100
GOV33,64.705879,100,0
GOV35,100,100,46.028034
GOV37,85.714287,78.886116,100
GOV38,100,100,61.684875
GOV39,64.705879,100,100
GOV4,100,100,0
GOV40,100,100,77.913277
GOV42,44.827587,35.158943,100
GOV44,100,77.945618,100
GOV48,88.709679,12.966763,65.612419
GOV51,75,96.213478,59.264305
GOV52,100,71.428574,54.750595
GOV6,85.714287,100,16.86747
GOV7,100,85.982346,59.950859
KAR10,29.411764,100,8.4269657
KAR11,6.4748201,40.017235,49.708168
KAR12,100,100,70.044052
KAR13,100,100,100.00001
KAR14,100,100,100.00001
KAR15,100,100,49.85075
KAR17,100,94.605804,61.101391
KAR18,100,30.353432,70.933327
KAR19,64.539009,56.047195,59.744896
KAR2,86.666664,100,49.40239
KAR20,67.914436,100,54.621849
KAR21,22.222221,70.875183,62.260868
KAR23,100,84.507042,25.80792
KAR25,42.528736,46.159454,23.56912
KAR26,100,100,68.721199
KAR27,65.957443,100,69.214439
KAR28,100,100,7.3569484
KAR29,100,0,100
KAR3,100,0,52.40876
KAR30,100,100,44.363102
KAR32,100,10.907811,8.6872587
KAR33,100,100.00001,45.164719
KAR34,100,100,33.196724
KAR35,17.857143,39.989464,59.09713
KAR36,79.104477,90.42244,100
KAR38,39.39394,59.390049,100
KAR42,100,99.999992,53.365158
KAR43,56.504066,59.595959,100
KAR44,81.300812,71.396393,42.351276
KAR45,100,100,88.306099
KAR46,36.231884,100,65.432106
KAR47,100,74.950691,100
KAR48,57.142857,100,100
KAR49,100,100,100.00001
KAR50,64.285713,78.541138,25.102882
KAR6,62.566841,100,100
KAR7,61.53846,100,100
KAR9,66.666664,100,100
KOR1,100,76.206184,66.666672
KOR10,100,53.047775,99.999992
KOR11,100,44.444443,72.647705
KOR14,81.481483,100,66.160225
KOR15,100,100,89.402794
KOR16,94.230766,70.631973,93.09404
KOR17,100,96.52227,100
KOR19,89.312981,38.442825,43.155457
KOR20,66.216217,57.155754,100
KOR23,94.736839,95.077721,92.338028
KOR24,21.12676,61.261963,16.673056
KOR25,100,61.49585,100
KOR26,100,100,67.081261
KOR27,72.413795,100,100
KOR29,77.777779,67.769859,100
KOR3,65.517242,100,56.513027
KOR30,100,83.350891,72.038269
KOR33,100,100,1.9487549
KOR34,100,100,48.317459
KOR35,100,100,84.83271
KOR36,100,100,47.710842
KOR37,72.5,22.291021,100
KOR39,100,100,71.428566
KOR4,87.5,72.701149,100
KOR40,100,83.130699,65.297447
KOR41,100,84.521156,61.319077
KOR42,62.616821,49.987656,23.523899
KOR44,75,100,68.752243
KOR45,88,100,77.334854
KOR5,93.269234,100,100
KOR9,81.034485,80.551292,32.398758
KUV13,100,100,54.138512
KUV14,100,78.2967,100
KUV17,100,100,100.00001
KUV18,82.5,100,100
KUV19,93.61702,100,42.095913
KUV21,100,100,82.081688
KUV22,31.034483,100,100
KUV23,100,87.883141,89.315613
KUV26,85.906044,3.2423561,69.889267
KUV27,100,100,55.091381
KUV28,100,100,26.798561
KUV29,82.758621,100,82.42894
KUV30,69.387756,100,99.999992
KUV31,81.25,100,100
KUV32,100,100,61.198097
KUV34,86.95652,100,69.981583
KUV35,80,99.999992,100
KUV37,100,88.050316,77.272728
KUV38,70.149254,100,100
KUV39,80.769234,90.041183,56.373936
KUV4,78.947365,100,36.241611
KUV40,84.210526,86.631584,86.279457
KUV41,20,26.820808,44.520084
KUV43,92.15686,100,40.616245
KUV44,73.684212,91.578949,100
KUV47,87.692307,100,100
KUV52,43.18182,100,100
KUV6,100,84.136551,59.059559
KUV7,100,100,71.695404
KUV9,100,84.123566,50.531105
MAN1,100,88.063904,24.083769
MAN10,52.475246,74.373787,47.135132
MAN12,45.652172,60.062897,21.309963
MAN13,100,92.318909,34.875751
MAN15,96.551727,100,19.512194
MAN16,100,71.364151,72.353966
MAN17,62.686565,100,100
MAN18,100,71.997475,18.923328
MAN19,89.565216,51.062256,62.121544
MAN2,26.829268,100,100
MAN20,100,78.281792,100
MAN21,77.011497,90.876442,69.3647
MAN22,100,68.954247,34.388008
MAN23,100,100,39.102562
MAN25,100,99.999992,25.506554
MAN28,87.64045,42.85714,83.930336
MAN31,100,100,33.384377
MAN32,100,87.557602,71.047958
MAN33,61.78344,100,100
MAN34,100,100,25.34351
MAN37,84.375,100,100
MAN38,75.555557,100,100
MAN39,83.193275,100,38.51133
MAN41,61.904762,89.138428,66.571075
MAN42,15.384615,95.107857,.18568535
MAN43,82.178215,59.873619,44.575726
MAN44,89.743591,100,100.00001
MAN45,100,100,29.665588
MAN46,10.313901,0,47.185547
MAN47,81.25,85.665916,67.936638
MAN49,94.444443,100,73.83918
MAN5,58.974358,45.140388,51.609444
MAN50,34.328358,100,100
MAN52,8.8235292,100,47.388783
MAN8,100,91.639236,24.974411
MAN9,10.204082,100,14.46541
MANAM1,100,10.704226,100
MANAM10,67.073174,100,100
MANAM13,92.85714,100,49.586189
MANAM14,42.857143,59.461765,100
MANAM15,100,100,30.402931
MANAM16,73.529411,86.731842,35.695541
MANAM17,57.142857,79.458878,51.859398
MANAM2,100,94.05204,100.00001
MANAM20,100,100,81.479797
MANAM21,100,92.761909,100
MANAM22,50.991501,100,15.647922
MANAM23,88.888885,100,32.040051
MANAM24,100,100,15.225667
MANAM25,100,35.459183,25.05747
MANAM26,50,56.254116,27.341139
MANAM28,100,100.00001,100
MANAM3,100,100,57.088123
MANAM30,100,98.212601,100
MANAM31,0,37.539558,100
MANAM32,100,32.44397,5.2888975
MANAM33,100,14.323607,52.072308
MANAM36,100,46.991619,100
MANAM37,100,82.554939,27.459019
MANAM38,100,100,82.978729
MANAM39,100,57.431072,34.85714
MANAM4,70.873787,2.5931928,50
MANAM41,100,100,48.862511
MANAM42,100,13.834422,30.218069
MANAM43,100,51.681953,63.598328
MANAM45,100,100,35.70076
MANAM47,100,37.838898,21.325153
MANAM48,100,83.047676,40.720524
MANAM49,100,100,30.042919
MANAM5,100,29.599407,40.913704
MANAM50,16.666666,83.618462,49.97699
