HHID_panel,rel_var1,rel_var2,rel_var3
ELA10,0,15.472312,10.349206
ELA11,0,0,15.127609
ELA12,0,57.17514,37.621021
ELA13,25,0,0
ELA14,9.8039217,0,41.628262
ELA16,9.3023252,0,0
ELA17,0,0,21.205357
ELA21,0,19.889936,12.307693
ELA22,0,11.802974,0
ELA23,0,61.211342,0
ELA24,0,0,2.7184465
ELA26,0,0,1.4175259
ELA30,0,100,2.4209819
ELA31,0,0,52.924789
ELA33,0,84.28463,19.668737
ELA35,0,7.5337033,0
ELA38,19.354839,0,2.915767
ELA39,0,13.049451,0
ELA4,0,0,12.273902
ELA41,15.384615,0,7.281106
ELA42,20.408163,0,35.90802
ELA43,18.181818,0,0
ELA44,0,0,32.929783
ELA45,0,0,25.345301
ELA5,0,40.493599,0
ELA50,0,35.368958,0
ELA6,21.428572,0,0
ELA7,39.130436,0,0
ELA8,28,27.101202,0
ELA9,11.904762,0,0
GOV13,24.475525,0,0
GOV14,30,0,0
GOV18,0,4.4577045,0
GOV29,4.1666665,0,0
GOV3,44.444443,0,2.6881721
GOV31,15.384615,0,0
GOV34,23.255814,0,0
GOV35,23.076923,0,52.394859
GOV37,42.857143,0,31.851852
GOV38,0,0,5.7455053
GOV40,16.32653,0,0
GOV41,44.444443,0,0
GOV42,0,0,.2569373
GOV50,50,0,16.743471
GOV51,0,11.329756,45.685741
GOV52,35.714287,0,0
GOV6,0,23.263506,4.4176707
GOV7,0,0,40.049137
KAR10,0,0,7.1711826
KAR12,0,1.4994233,0
KAR14,0,0,38.746441
KAR15,0,0,24.477612
KAR18,14.285714,0,0
KAR19,10.638298,0,1.9387757
KAR2,0,0,36.122177
KAR20,37.433155,0,0
KAR23,8,5.8175135,9.8771057
KAR25,0,0,7.6360569
KAR30,0,0,64.275253
KAR32,0,1.9704432,34.555984
KAR33,0,0,28.90542
KAR34,0,0,5.5327868
KAR42,0,0,26.15752
KAR44,27.100271,0,0
KAR45,0,0,4.2132416
KAR48,0,44.432735,.99447513
KAR49,0,0,18.836567
KAR50,53.57143,6.0644612,0
KAR6,16.04278,76.969696,15.637067
KAR8,0,0,59.388649
KAR9,33.333332,0,15.789474
KOR1,0,0,55.538544
KOR14,0,0,30.110495
KOR15,33.333332,0,0
KOR16,0,0,16.174465
KOR22,10.928962,0,13.636364
KOR23,0,0,7.6619716
KOR24,14.084507,0,0
KOR29,0,0,17.57106
KOR30,0,0,59.97057
KOR32,0,0,2
KOR34,0,0,17.269842
KOR35,30.76923,0,17.174721
KOR38,0,17.388315,0
KOR39,19.607843,0,32.336655
KOR4,0,0,24.264706
KOR41,0,0,14.616755
KOR42,0,0,20.431114
KOR44,0,29.414497,7.8029485
KOR45,0,0,14.426727
KOR5,0,0,10.095643
KUV1,0,0,64.838371
KUV12,16,0,11.214953
KUV13,0,0,45.861485
KUV14,0,9.6153841,0
KUV15,11.627907,0,0
KUV17,16.129032,0,28.722282
KUV18,0,0,6.1883068
KUV19,0,0,28.952042
KUV20,36.363636,10.031595,20.058996
KUV21,41.666668,0,19.104084
KUV23,33.333332,9.099617,3.9497633
KUV27,33.333332,0,28.372496
KUV28,0,58.366268,2.8776979
KUV29,0,0,73.772606
KUV30,10.204082,0,0
KUV31,12.5,0,0
KUV32,0,27.660667,0
KUV34,0,0,15.101289
KUV35,20,0,0
KUV37,0,6.6561842,18.181816
KUV38,0,0,11.036789
KUV39,0,0,15.391878
KUV40,0,26.736841,31.98653
KUV41,0,0,18.515999
KUV43,0,0,21.288515
KUV44,0,0,18.962263
KUV46,0,0,45.679012
KUV47,0,0,36.948528
KUV50,18.181818,0,0
KUV6,0,52.409641,1.69279
KUV7,33.333332,0,.96982765
KUV9,8.333333,0,28.831562
MAN1,0,4.7932329,0
MAN10,0,25.626204,41.189186
MAN13,0,0,4.6272497
MAN14,0,0,24.637682
MAN15,0,0,47.386757
MAN16,27.027027,0,7.865819
MAN17,0,48.040455,0
MAN18,0,0,19.004894
MAN19,0,0,37.867569
MAN2,17.073172,0,0
MAN22,0,20.697166,65.611992
MAN25,0,0,22.646008
MAN26,0,16.666668,7.8947368
MAN28,0,9.9977427,0
MAN31,0,17.657993,16.692188
MAN32,0,0,9.6506805
MAN34,0,4.5291157,24.885494
MAN37,15.625,0,7.3669848
MAN39,8.4033613,0,0
MAN42,15.384615,0,.18568535
MAN43,19.801981,0,23.415682
MAN44,0,93.172691,0
MAN45,0,0,48.705505
MAN46,0,0,30.229328
MAN47,0,0,28.381849
MAN5,0,0,16.309013
MAN50,0,58.759693,19.203747
MANAM1,14.61039,0,0
MANAM13,0,0,3.8812788
MANAM15,0,0,19.963369
MANAM17,0,0,5.8074374
MANAM20,0,26.085762,23.422606
MANAM21,0,0,54.728371
MANAM23,0,0,30.663328
MANAM26,0,2.0737329,.41806021
MANAM28,27.522936,0,12.595419
MANAM3,0,40.063091,12.490421
MANAM30,0,0,50.396824
MANAM32,0,0,3.2421663
MANAM33,0,0,47.927689
MANAM37,13.793103,0,0
MANAM39,0,42.568932,0
MANAM41,0,0,10.682493
MANAM42,0,0,25.389408
MANAM45,0,0,2.5568182
MANAM47,0,7.4656191,0
MANAM48,0,0,29.639738
MANAM49,0,27.743635,0
MANAM51,0,2.2316687,0
MANAM8,0,0,9.9816847
MANAM9,0,14.194994,15.407857
NAT10,0,19.676214,0
NAT15,0,0,1.9298246
NAT16,0,0,64.446953
NAT2,0,0,26.76519
NAT20,0,0,33.654423
NAT24,0,0,35.077518
NAT26,31.506849,0,0
NAT32,0,0,6.1147695
NAT33,0,0,7.847857
NAT37,0,15.328468,7.5342464
NAT4,43.47826,3.4909291,0
NAT46,0,0,18.07309
NAT49,0,62.5,65.009209
NAT50,0,30.825241,0
NAT6,0,0,5.2459016
ORA1,0,12.840579,0
ORA14,0,9.0967131,0
ORA17,0,0,8.9929552
ORA18,0,0,25.888834
ORA2,9.6774197,0,17.906977
ORA25,0,6.7368422,13.912579
ORA26,0,0,40.536514
ORA27,0,0,20.207253
ORA28,22.222221,0,2.7411168
ORA29,0,55.620609,8.9454241
ORA32,0,0,26.229509
ORA35,0,0,51.608185
ORA40,0,17.282549,0
ORA41,0,18.171364,0
ORA43,0,0,45.553696
ORA44,0,7.4146342,1.5831134
ORA45,0,0,19.499104
ORA46,0,18.128654,0
ORA47,0,0,1.5151515
ORA48,21.052631,9.9002848,0
ORA49,20.408163,0,58.78553
ORA8,0,0,32.779282
ORA9,0,0,.37296039
SEM10,11.363636,0,0
SEM12,0,0,70.649353
SEM13,0,28.58757,0
SEM15,0,8.8575096,12.555261
SEM17,19.512196,0,0
SEM2,0,0,23.526342
SEM20,23.529411,31.358025,0
SEM26,0,0,1.8292682
SEM27,0,0,35.305717
SEM32,46.511627,0,43.010754
SEM34,0,0,29.595016
SEM35,0,0,8.5385017
SEM39,0,0,23.01762
SEM42,0,10.031595,.65710878
SEM43,0,0,9.4274149
SEM44,44.444443,0,0
SEM45,0,0,3.1241043
SEM46,0,11.835206,0
SEM47,16.393442,0,.89850253
SEM48,27.397261,0,0
SEM49,0,22.294916,0
SEM5,0,89.758064,0
SEM7,0,0,28.838388
SEM9,16.666666,0,0
