HHID_panel,rel_var1,rel_var2,rel_var3
ELA1,0,0,7.0866146
ELA11,48.672565,0,64.315552
ELA12,0,7.1186442,0
ELA13,41.666668,0,0
ELA14,0,76.885651,0
ELA16,81.395348,0,0
ELA17,9.6774197,0,0
ELA2,11.764706,0,50.628784
ELA20,17.647058,86.941582,23.394495
ELA21,0,2.9874215,0
ELA23,50,0,66.625763
ELA24,0,66.637398,69.631065
ELA26,4.8543692,23.715202,6.9587631
ELA27,0,72.508591,71.584457
ELA30,0,0,.20174851
ELA31,0,72.701149,0
ELA33,33.333332,0,0
ELA35,17.391304,0,0
ELA36,0,88.9757,0
ELA37,0,100,0
ELA38,64.516129,74.493927,0
ELA39,3.0927835,14.491758,33.130077
ELA4,0,0,87.726097
ELA40,41.322315,84.032639,68.359734
ELA41,0,0,.27649772
ELA43,9.090909,0,3.712534
ELA44,15.384615,0,0
ELA45,0,0,9.7375689
ELA49,0,0,79.532166
ELA5,0,7.4954295,0
ELA50,16.27907,32.315521,33.696842
ELA52,25,0,0
ELA6,0,13.852814,0
ELA7,34.782608,40.80645,59.604832
ELA8,0,0,25.954861
ELA9,47.619049,73.976601,0
GOV11,0,0,90.957802
GOV13,0,22.144112,0
GOV14,0,63.092964,0
GOV17,24.8307,27.741228,0
GOV18,0,0,11.678832
GOV19,22.535212,0,13.171913
GOV2,0,9.0647488,0
GOV20,0,8.6996336,0
GOV21,0,26.573427,0
GOV25,31.25,94.144989,0
GOV26,0,83.820839,0
GOV28,0,41.560574,79.126205
GOV29,20.833334,0,0
GOV3,0,2.1066492,32.795696
GOV31,0,96.443092,0
GOV33,0,38.102409,0
GOV34,65.11628,0,0
GOV35,0,87.609756,0
GOV37,21.428572,0,0
GOV38,0,100,0
GOV40,30.612246,0,3.6585364
GOV41,0,94.331741,0
GOV42,0,27.882038,.46248713
GOV44,0,27.957241,0
GOV45,28.571428,98.575882,1.3989638
GOV48,40.322582,0,0
GOV50,0,3.3472805,0
GOV51,13.157895,0,0
GOV52,28.571428,0,0
GOV6,11.904762,0,4.0160642
GOV7,0,85.982346,0
KAR10,70.588234,11.516035,0
KAR11,0,36.368858,3.2101166
KAR12,0,73.010384,35.90308
KAR13,37.209301,0,0
KAR14,0,61.238308,0
KAR15,36.842106,33.29821,4.7761197
KAR18,85.714287,0,0
KAR2,0,42,0
KAR20,32.08556,0,0
KAR21,0,77.18795,0
KAR23,0,5.8175135,0
KAR25,0,53.840546,0
KAR26,18.867924,0,86.059898
KAR29,0,0,92.294617
KAR3,60,0,0
