"","inert"
"1",0.334975684034779
"2",0.300916063283541
"3",0.205369180059893
"4",0.0954205711287525
"5",0.0830001130647745
"6",0.0819088405257896
"7",0.0517767652847077
"8",0.0418436043505818
"9",0.03002843843559
"10",0.0275450937160499
"11",0.0243966460504144
"12",0.0187719307127542
"13",0.018441086414762
"14",0.0167995585838715
"15",0.0148868407691805
"16",0.0142329784152615
"17",0.0115046694795553
"18",0.011443873233682
"19",0.0107979395434278
"20",0.00867183132227231
"21",0.00848927573384918
"22",0.0078698430025414
"23",0.00770732710642829
"24",0.00671034710280548
"25",0.00669363214292645
"26",0.00641450743627118
"27",0.00625771409410445
"28",0.00576983033492265
"29",0.00517912254342864
"30",0.00491170346360674
"31",0.00489133714925499
"32",0.00483053002465097
"33",0.00420146622771272
"34",0.00413302264312553
"35",0.00391641846965339
"36",0.00388270589966915
"37",0.00373524595556368
"38",0.0034365849509562
"39",0.00343091447950596
"40",0.0032425188002957
"41",0.00323250542734791
"42",0.00283290409524899
"43",0.00266997409243298
"44",0.00259819743735735
"45",0.00253221016001366
"46",0.00250750952889424
"47",0.00242191824373603
"48",0.00239901593455925
"49",0.00224970483524513
"50",0.00187374975373051
"51",0.00151930820700849
"52",0.0014823749404794
"53",0.0011903524996727
"54",0.00114041304097187
"55",0.00111211353826326
"56",0.000988273509544644
"57",0.000942696489856142
"58",0.000924105965194289
"59",0.000891058480770258
"60",0.000869302875704733
"61",0.0008595850081739
"62",0.000814580743551334
"63",0.000789632781176044
"64",0.000784891139609616
"65",0.000771666006359958
"66",0.000770394245204277
"67",0.000732565104094329
"68",0.000708332256227286
"69",0.000642612877480232
"70",0.000629555181236943
"71",0.000626276247231623
"72",0.000570206520485933
"73",0.000501137710060365
"74",0.00050097853684561
"75",0.00047730820399045
"76",0.000456165216388747
"77",0.00040090669751986
"78",0.000373312743121415
"79",0.000354342650427545
"80",0.000345895728340628
"81",0.000323562144430801
"82",0.000321669563082782
"83",0.000311306155506562
"84",0.000300680023139895
"85",0.000296482052863393
"86",0.000275027216941643
"87",0.000238017535353201
"88",0.000230597152227084
"89",0.000230597152227083
"90",0.000214949364621091
"91",0.000159510565293338
"92",0.000135704346925549
"93",0.000120626086156044
"94",6.0889597110712e-05
"95",4.94157233214076e-05
"96",4.94157233214074e-05
"97",1.72835591699723e-30
"98",6.47008350179683e-31
"99",3.26756030494851e-31
"100",1.73522608851138e-31
"101",7.59356490353735e-32
"102",6.68287607299521e-32
"103",6.3827940041734e-32
"104",1.76056213764404e-32
"105",1.60144604066796e-32
"106",1.51961922653863e-32
"107",1.04780000150659e-32
"108",8.29511135471288e-33
"109",2.83394037104729e-33
"110",1.81270773524076e-33
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
