loan1,loan2,loan3
-.41784295,-.41784295,-.56934732
-.56700754,-.073887065,.12909372
-.13121304,.31803548,.46836996
-.037619602,-.274528,-.36929137
-.090265915,-.1446671,-.028845217
-.49388763,-.55179858,-.41140842
1.3779812,3.0217161,4.166481
.46544516,-.051658619,-.73781556
-.61087942,-.42252263,-.26809347
-.75711918,.69416416,-.076226898
-.29500157,2.4396818,1.7195973
-.39444461,.058898635,.22795179
-.35642228,-.048148863,-.71617204
-.31547514,-.16280083,.6222142
-.44124132,-.33828855,.16126646
.13786811,-.12594841,.71405274
-.18970895,.30048671,-.33828855
-.6869241,-.28154752,.5479244
-.35934708,-.66235584,.077617325
-.45294049,-.588651,-.58221644
-.44124132,.74505556,-.22714633
-.65767616,-.054583415,-.4429962
-.55238354,-.11834395,-.46522465
-.72787124,-.42193767,-.56291282
.11446974,-.64773184,-.2505447
-.5085116,1.7628843,-.21661706
-.56993228,-.27394304,.11329982
-.084416322,.71346778,.46310532
1.1089001,-.3219097,-.15753621
-.5055868,.5929662,.19987376
-.14876181,2.0694027,.92522293
-.41199338,-.71792692,-.55062866
-.53600466,-.24001542,.054803923
-.38274541,-.588651,-.59216076
1.4891235,-.15227157,-.55355346
-.54068434,-.56232786,-.25580931
-.44124132,-.5441941,-.57870668
-.54653394,-.6570912,-.23592071
-.65767616,-.42954215,-.25931907
-.64597696,-.45118561,-.11834395
-.54653394,-.39210477,-.54068434
-.44124132,1.9395419,.081127077
.044274662,-.45937505,.24082088
-.20725772,4.4238629,-.65065664
1.7991517,-.25873411,-.65007168
-.17800976,.87433153,-.63193798
-.58455628,-.47750878,.41572365
.2022136,-.38567021,-.6810745
-.58748108,.48533377,-.47399902
-.6810745,-.37397105,.47948417
-.44124132,.76962382,-.79221672
-.58748108,-.71792692,-.65299648
-.13706264,-.16280083,-.49330267
-.49973723,-.15227157,-.58514124
-.42369255,.63215846,-.3102105
.61168492,-.79221672,-.41082346
-.5289852,.096336015,-.68341434
-.41199338,-.21661706,-.6331079
-.3546674,-.73313588,-.6810745
-.29500157,-.40380394,-.15636629
-.16338579,-.73489076,-.71324724
-.41199338,-.19263375,.20923311
-.38274541,-.088511035,-.71324724
-.29500157,.22502699,.86731201
-.29500157,-.6956985,-.78344238
-.66645056,-.53307986,-.79221672
-.5055868,-.31079546,-.360517
-.5289852,.18817458,-.74483508
-.45294049,2.2624393,.3461135
-.34764788,1.724862,-.66235584
-.38274541,.52218616,.33675417
-.32424954,-.60736966,-.47458398
-.42954215,.63332838,2.2595146
-.44124132,-.23299591,-.41140842
-.56993228,1.1697358,.49586302
-.38274541,-.014221242,-.29968125
-.54653394,.79945678,-.64656192
-.54653394,-.26224387,-.55413842
-.29500157,.010347038,.97786927
.0208763,1.2440256,-.19087887
-.41491818,-.28505728,-.52664536
-.66645056,.022046218,-.4728291
-.7015481,1.0217412,-.58689612
-.73664564,-.23709063,-.59625548
-.61672902,-.6512416,-.12302362
-.58748108,-.51085144,-.35349748
.032575481,-.39561453,.35430294
-.61672902,-.7044729,-.3517426
-.24528006,-.64422208,-.7226066
-.5289852,-.38450029,-.45586529
.6701808,.16302134,.49293822
-.2833024,4.0208259,3.3674269
-.48218846,-.51494616,.22327211
.58243698,4.9842534,.034330357
-.65767616,-.62550342,-.36285681
-.61672902,-.79221672,.24023592
-.49973723,-.79221672,-.39151981
-.53483474,-.45937505,-.39268973
-.35057268,.039010029,-.48920795
-.59333068,-.72962612,.30867612
-.65767616,-.6067847,-.50675672
.02672589,.31803548,.062993348
1.1673959,1.0217412,2.3852806
-.59918028,-.42778727,-.41784295
1.3428837,-.32541943,.43327242
-.072717145,.65555686,-.37923566
1.366282,-.5324949,.033745397
-.2716032,.31862044,.56839794
-.38859501,.37419155,-.22363657
-.69160378,-.49564251,.30516639
.02672589,.87316161,.79594702
-.64012742,-.6717152,-.36987633
-.62842822,.58711666,-.22363657
-.68282938,-.6956985,-.48920795
-.33594871,.18875954,-.47165918
-.7103225,-.75887406,-.52430552
.61168492,.5034675,-.59216076
-.17800976,.62630886,.35371798
-.49622747,-.4371466,-.6067847
-.56408274,2.5402949,.54441464
-.47633886,.5777573,-.36870641
-.65182656,-.014806201,2.8123007
-.48803803,-.16280083,1.7827729
-.40029418,4.0015225,-.60795462
-.40906858,-.55179858,-.54009938
-.18385936,-.42193767,-.72611636
.073522612,.5034675,-.50617176
-.25697923,-.55179858,-.56057298
-.23650567,.33675417,2.32269
.45374596,4.4642248,.73394132
-.71324724,-.58104652,-.64890176
-.29500157,.6520471,-.086756162
.055973839,-.31079546,-.61906886
.15541688,.35664278,-.33945847
-.45294049,-.44065636,-.50032216
-.0025220613,.31803548,.0027425699
-.5231356,-.57753676,-.73372084
-.2774528,1.2434406,.82870471
-.41199338,-.16280083,.12909372
-.41199338,.43736711,.78132302
-.60502982,-.38450029,-.54945874
-.32424954,4.6870942,-.18502927
-.49973723,.058898635,-.55413842
-.49388763,-.47341406,1.3206552
-.32424954,-.588651,-.71266234
.02672589,-.022410668,-.37923566
-.7073977,-.26692355,-.46405473
-.16631059,1.5774523,-.16806546
-.5114364,.46661508,.83455431
-.64597696,-.21837194,.74856532
-.18385936,1.0580087,.30867612
-.45294049,-.41023847,-.60444492
-.31839994,-.28856701,1.4154186
-.061017964,-.41667306,-.47926366
-.32424954,.15541688,-.09962526
-.031770013,-.36636657,-.36870641
-.28915197,-.64422208,-.49681243
.11446974,-.20023821,-.23826055
-.55823314,-.58806604,.74856532
-.517286,-.41082346,-.46288481
-.44124132,-.20491788,-.67464
-.47048926,-.051658619,.00098769285
-.090265915,-.014806201,.53973496
.90416443,-.4400714,-.26809347
-.26575363,.4291777,2.4215481
-.35642228,2.0582886,.58126706
-.35349748,.42859274,-.12009882
-.48218846,-.34823284,-.46697953
-.45294049,-.29266173,-.33945847
-.5055868,-.27394304,-.0048618973
-.32424954,-.42252263,-.68867898
-.47633886,.34552854,.06708806
-.38859501,.040764906,-.47458398
-.20725772,-.45937505,-.6810745
-.55823314,.32388508,1.3054463
-.0083716512,-.38508525,-.61731398
.72867674,.77020878,-.17274514
-.23650567,.44731143,-.44358116
-.23650567,-.23650567,-.09728542
1.5476193,.72575194,.06708806
-.49388763,-.55179858,-.37455601
-.45879009,-.56993228,-.17216018
.2022136,-.38508525,-.27101824
-.41199338,-.051658619,-.47399902
-.47048926,-.36285681,-.71324724
-.2774528,.80004174,-.5675925
-.45294049,.37302163,.14079289
-.26575363,-.45937505,.83630919
-.44124132,.022046218,-.40672874
-.73372084,-.16982034,-.45703521
-.20140813,-.18502927,-.25112966
-.25405443,-.60619974,-.15812115
-.5289852,.41104397,-.10956956
-.64597696,.46661508,-.46931934
.055973839,1.7991517,-.45645025
-.57578188,-.27335808,.21917741
-.0083716512,-.32951415,-.75945902
-.40614378,.13318843,-.075056978
5.9348121,7.9084635,4.578877
.40694925,.1150547,-.28388736
-.42369255,.058898635,-.4488458
-.53775954,.022046218,.45082119
-.36519665,-.25522435,-.089680955
-.6986233,-.45879009,-.42720231
-.41199338,-.070377305,-.30143613
-.46463969,-.65884608,-.54770386
.24901031,1.7997366,.98781353
-.39444461,-.47750878,-.41023847
-.40029418,-.28447232,.19577904
-.33302391,-.31079546,-.6570912
-.47633886,.021461258,-.40906858
-.41784295,-.47750878,-.36344177
-.39736938,-.60152012,-.6810745
-.44416612,-.25522435,-.61146438
-.54653394,.6403479,.63566822
-.41199338,.7263369,2.6730804
-.20140813,-.42193767,-.2476199
-.33594871,-.35525236,-.17157522
-.61672902,-.51845592,.29229727
1.8167005,-.5324949,.04953929
-.32424954,-.27394304,.57424754
-.47633886,1.0585936,.24082088
-.56408274,-.52138072,-.24703494
-.59625548,-.41491818,-.54243922
3.1855047,-.0031070204,-.48979291
-.5289852,.096336015,-.22071178
.64093286,-.5143612,-.60619974
-.61204934,-.58455628,-.7846123
-.6003502,-.7553643,-.60210508
.43619719,.31862044,3.3071761
-.17800976,.57717234,-.39444461
-.55706322,-.39795434,-.4728291
-.59333068,.46427524,-.56934732
-.58748108,1.9102939,.35605782
-.49973723,-.47750878,-.78110254
-.60502982,1.3358642,.49644798
-.36812145,-.48511326,-.50149208
-.5857262,-.69803834,-.31372026
-.55530834,-.75887406,-.32483447
-.5289852,-.31489018,.2835229
-.63135302,-.56291282,-.53775954
-.49973723,.98488879,-.092605747
-.47341406,-.64363712,-.6389575
-.67522496,-.6067847,-.028845217
.08522179,-.1704053,-.34998772
-.55823314,.68655968,-.31547514
-.44709092,1.9483162,2.4373419
-.62842822,.310431,1.8611574
-.67522496,2.2799881,2.4180384
-.62257862,.059483595,.064163268
13.129807,-.29968125,-.32483447
.46544516,.077617325,.12909372
-.49096283,-.070377305,-.15695125
-.29500157,.33675417,-.20082317
-.54653394,-.25522435,-.041129403
-.62842822,-.60093516,-.093190707
-.61087942,-.27394304,-.17450002
-.74542004,.69650394,1.5914912
-.5143612,1.3920202,.27942818
-.64597696,-.12594841,-.65592128
-.517286,-.0036919792,-.2160321
-.44124132,.33616921,.47889921
.14371769,.85912257,.19285426
.02672589,-.46639457,-.15344149
-.59625548,.77371854,-.59859532
-.53483474,-.033524889,-.59508556
-.48803803,-.32249466,-.46463969
-.29500157,1.9477313,-.46814945
-.7044729,.82870471,.75499988
-.58748108,-.6810745,-.65592128
-.48803803,-.40321898,-.74191028
-.23065607,-.43597668,-.45879009
.02672589,-.41199338,-.27394304
-.44124132,-.45937505,.3519631
-.32424954,-.62550342,-.45352545
.055973839,-.40380394,.84508353
-.68575418,-.014221242,-.43597668
-.11366428,1.0036074,.17940019
-.66352576,.059483595,.11329982
-.36519665,-.20725772,-.2774528
-.5289852,-.13706264,.033745397
-.30085117,-.055168372,-.19146383
-.61087942,-.35525236,-.1704053
.34845334,-.5324949,.42274314
-.35349748,.022046218,-.63486278
-.55823314,-.55179858,-.70681274
-.54068434,-.59567052,-.51611608
-.26575363,2.3917153,1.5318254
-.65767616,1.3358642,-.048148863
.06767302,-.71792692,1.9407119
-.33594871,-.72026676,-.48686814
-.41784295,-.31430522,-.12009882
.10277056,-.069792345,.7175625
-.5114364,-.47750878,.08814659
.87491649,2.5402949,-.26750851
.08522179,2.2062831,.57424754
-.64597696,-.34764788,-.47458398
-.49973723,.98430383,4.9936128
-.41199338,-.55121362,.71697754
-.7044729,-.23709063,-.13589272
-.54653394,-.75887406,-.61380422
-.64012742,-.12419353,2.5619383
-.6869241,-.29266173,.19343922
-.32424954,1.2258918,-.065112673
-.47633886,-.55121362,-.087341122
-.74542004,-.62199366,-.53775954
1.2609894,2.8731365,-.2716032
2.1618264,2.8181503,2.4344172
-.5711022,.00040273383,.6192894
-.59918028,-.2446951,.37594643
-.61087942,-.73664564,-.037619602
-.29500157,.022046218,-.64890176
-.28915197,.29288223,-.60210508
-.2774528,-.42193767,8.7455397
-.54653394,-.66996032,-.12828825
-.10196509,-.5143612,.30516639
-.58748108,-.36578161,-.39970922
-.34179831,.13377339,-.11483419
-.26575363,-.5143612,.36015254
-.6243335,-.29266173,.63332838
-.18385936,.44848135,.5479244
-.14876181,-.051658619,-.14993173
-.39444461,-.42954215,.031405561
-.35349748,-.015976118,-.39210477
-.090265915,-.41842791,-.29441661
.55318898,-.32951415,-.41725799
-.64305216,-.67347008,.043689702
-.60093516,.23672618,-.35408244
-.25405443,.22502699,.5157516
-.58046156,-.19965325,-.094945587
1.4013796,.40694925,1.2030785
-.5143612,-.64422208,-.46522465
-.59333068,.20806319,.08580675
-.049318783,.58477682,-.17450002
-.6810745,.029065726,-.15636629
-.5055868,-.40321898,-.33945847
.23146154,-.7553643,-.74542004
-.7103225,-.79221672,.029065726
