"","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5"
"sbd_assets_noland=sbd_assets_noland_Dec-Dec","0.56","10.9","-3.81","-5.49","-2.9"
"sbd_assets_noland=sbd_assets_noland_Dec-Inc","-0.699","-5.48","-6.68","9.59","-0.191"
"sbd_assets_noland=sbd_assets_noland_DEC-INC","-2.96","-3.04","-3.49","-3.6","10.6"
"sbd_assets_noland=sbd_assets_noland_Inc-Inc","1.87","-4.02","10.4","-2.71","-5.87"
"sbd_dar=sbd_dar_Dec-Dec","-1.7","-5.99","11.3","-0.558","-5.71"
"sbd_dar=sbd_dar_Dec-Inc","13.7","-3.78","-4.21","-5.28","-3.89"
"sbd_dar=sbd_dar_Inc-Dec","-5.41","-4.93","-6.12","-1.7","14.7"
"sbd_dar=sbd_dar_Inc-Inc","-5.35","10.8","-4.42","4.79","-7.21"
"sbd_dsr=sbd_dsr_Dec-Dec","-3.98","-2.16","3.21","-4.01","6.58"
"sbd_dsr=sbd_dsr_Dec-Inc","10.7","-3.1","-3.47","-4.37","-2.47"
"sbd_dsr=sbd_dsr_Inc-Inc","-1.51","-2","-3.17","10.2","-5.59"
"sbd_dsr=sbd_dsr_INC-INC","-1.21","8.07","-0.229","-3.99","-4.1"
"sbd_dsr=sbd_dsr_Sta-Dec","-2.86","-1.53","3.11","-4.12","3.9"
