HHID_panel,tempo,de_assets1,de_assets2,di_assets,de_DAR1,de_DAR2,di_DAR,de_DSR1,de_DSR2,di_DSR,de_income1,de_income2,di_income,de_ISR1,de_ISR2,di_ISR,de_expenses1,de_expenses2,di_expenses,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b,cat_ISR_b,cat_expenses_b
ELA1,1,-32.904213,70.544807,-87.031647,49.040657,-65.093483,.1186617,-65.583893,32.855251,-.39618209,-3.8218131,20.295628,-1.9873428,-78.097298,91.015114,-.16173089,-20.103962,80.403687,-10574.684,Dec,Inc,Dec,Sta,Dec,Dec
ELA1,2,-32.904213,70.544807,125.1947,49.040657,-65.093483,-.23474513,-65.583893,32.855251,.068306834,-3.8218131,20.295628,10.150383,-78.097298,91.015114,.041282702,-20.103962,80.403687,33789.902,Inc,Dec,Inc,Inc,Inc,Inc
ELA10,1,72.794846,-40.490391,114.65189,84.589439,115.52371,.20677419,-41.495911,51.978638,-.19801849,64.13501,62.247135,28.860756,-66.503822,67.645828,-.095676839,-31.674339,-14.130432,-16724.051,Inc,Inc,Dec,Inc,Dec,Dec
ELA10,2,72.794846,-40.490391,-110.19536,84.589439,115.52371,.52126455,-41.495911,51.978638,.14511475,64.13501,62.247135,45.976204,-66.503822,67.645828,.032598414,-31.674339,-14.130432,-5097.6875,Dec,Inc,Inc,Inc,Inc,Dec
ELA11,1,15.03104,-69.053421,59.297455,46.016766,266.89218,.13180974,75.041466,1012.0785,.26459503,-19.864445,-93.37822,-25.227844,296.77841,774.50146,.20517436,53.202587,-58.892231,24792.406,Inc,Inc,Inc,Dec,Inc,Inc
ELA11,2,15.03104,-69.053421,-313.36267,46.016766,266.89218,1.1162719,75.041466,1012.0785,6.2464819,-19.864445,-93.37822,-95.033028,296.77841,774.50146,2.124521,53.202587,-58.892231,-42044.578,Dec,Inc,Inc,Dec,Inc,Dec
ELA12,1,-81.982254,36.154194,-339.81647,280.76163,-39.998234,.87378162,-84.329445,421.73914,-.28060123,-45.261719,-46.33152,-83.734177,330.12946,421.73914,.040020261,-60.282887,14.677415,-29779.746,Dec,Inc,Dec,Dec,Inc,Dec
ELA12,2,-81.982254,36.154194,27.001236,280.76163,-39.998234,-.47397906,-84.329445,421.73914,.21990684,-45.261719,-46.33152,-46.917995,330.12946,421.73914,.21990684,-60.282887,14.677415,2879.7461,Inc,Dec,Inc,Dec,Inc,Inc
ELA13,1,-29.002579,258.6463,-62.645569,29.934299,-67.130241,.16630167,-61.897392,-90.410683,-.60010958,-30.153711,375.20053,-16.886078,7.6354671,-99.2686,.02620554,6.7716351,8.6301775,3331.6445,Dec,Inc,Dec,Dec,Sta,Sta
ELA13,2,-29.002579,258.6463,396.64557,29.934299,-67.130241,-.48458451,-61.897392,-90.410683,-.33398938,-30.153711,375.20053,146.75565,7.6354671,-99.2686,-.36671171,6.7716351,8.6301775,4533.5742,Inc,Dec,Dec,Inc,Dec,Sta
ELA14,1,-84.753235,199.74248,-188.57596,428.55957,-47.156582,.98231637,-76.40686,115.67105,-.22663927,365.27542,-30.546677,135.1519,-100,.15093169,-.053378381,-49.323589,5.0335946,-28706.33,Dec,Inc,Dec,Inc,Dec,Dec
ELA14,2,-84.753235,199.74248,67.760735,428.55957,-47.156582,-.57131606,-76.40686,115.67105,.080949329,365.27542,-30.546677,-52.586685,-100,.15093169,.15093169,-49.323589,5.0335946,1484.5918,Inc,Dec,Inc,Dec,Sta,Sta
ELA15,1,29.337814,23.853403,107.81647,35.877689,4.9751878,.36219382,-73.377213,919.52972,-.22395559,74.067726,-87.916153,137.0253,375.52774,677.86072,.064168282,13.834067,-8.360548,5837.9766,Inc,Inc,Dec,Inc,Inc,Inc
ELA15,2,29.337814,23.853403,113.37915,35.877689,4.9751878,.06824553,-73.377213,919.52972,.74717104,74.067726,-87.916153,-283.11224,375.52774,677.86072,.55080098,13.834067,-8.360548,-4016.2383,Inc,Sta,Inc,Dec,Inc,Sta
ELA16,1,-62.381889,279.8338,-132.87341,56.530243,-98.066002,.5706104,-95.361542,-47.641521,-.63236785,52.274723,-52.824749,52.79747,-89.47242,-95.12944,-.26141524,-40.902851,44.731758,-13579.746,Dec,Inc,Dec,Inc,Dec,Dec
ELA16,2,-62.381889,279.8338,224.22125,56.530243,-98.066002,-1.5494429,-95.361542,-47.641521,-.014653988,52.274723,-52.824749,-81.243126,-89.47242,-95.12944,-.029260732,-40.902851,44.731758,8776.4844,Inc,Dec,Dec,Dec,Dec,Inc
ELA17,1,421.71127,35.37114,333.15192,-60.922646,4.7284918,-.23906355,.011448508,523.68268,.011448508,34.514759,-14.098104,25.88607,.011448508,-100,.011448508,1.2224756,-45.297226,713.92578,Inc,Dec,Sta,Inc,Sta,Sta
ELA17,2,421.71127,35.37114,145.78284,-60.922646,4.7284918,.0072507411,.011448508,523.68268,.059953853,34.514759,-14.098104,-14.223022,.011448508,-100,-.011448508,1.2224756,-45.297226,-26776.969,Inc,Sta,Inc,Dec,Dec,Dec
ELA19,1,223.62495,-34.044804,252.6962,1208.6136,-26.965561,.64174175,-98.392639,12850.225,-.091091909,27.59494,26.845016,13.79747,-77.384567,-100,-.0050919047,103.68823,-58.690506,40853.164,Inc,Inc,Dec,Inc,Dec,Inc
ELA19,2,223.62495,-34.044804,-124.50055,1208.6136,-26.965561,-.18736726,-98.392639,12850.225,.19122359,27.59494,26.845016,17.126442,-77.384567,-100,-.0014880953,103.68823,-58.690506,-47100.988,Dec,Dec,Inc,Inc,Dec,Dec
ELA2,1,126.63095,45.72924,329.24048,186.80991,-46.668594,.61072469,-79.629601,93.87365,-.20876381,68.236687,-41.870888,117.3671,-69.187141,66.954811,-.068756737,-20.886076,-15.720612,-18045.57,Inc,Inc,Dec,Inc,Dec,Dec
ELA2,2,126.63095,45.72924,269.4552,186.80991,-46.668594,-.43758702,-79.629601,93.87365,.05013302,68.236687,-41.870888,-121.16057,-69.187141,66.954811,.020502349,-20.886076,-15.720612,-10745.734,Inc,Dec,Inc,Dec,Inc,Dec
ELA20,1,4.963027,25.138868,10.025314,103.85332,-4.2163858,.34960523,789.6087,299.8562,1.4320251,-52.62104,-76.18335,-37.255699,289.83884,611.8512,.44377297,100.20666,-21.517061,29460.758,Sta,Inc,Inc,Dec,Inc,Inc
ELA20,2,4.963027,25.138868,53.300766,103.85332,-4.2163858,-.028934479,789.6087,299.8562,4.837832,-52.62104,-76.18335,-25.555174,289.83884,611.8512,3.6520371,100.20666,-21.517061,-12665.105,Inc,Sta,Inc,Dec,Inc,Dec
ELA21,1,225.12892,-29.690548,182.35443,-47.485989,-85.464081,-.43675387,44.756176,-100,.078183666,76.20253,-56.571712,47.626579,-89.399696,-100,-.14901857,11.927808,-69.458763,7850.8828,Inc,Dec,Inc,Inc,Dec,Inc
ELA21,2,225.12892,-29.690548,-78.191376,-47.485989,-85.464081,-.41279086,44.756176,-100,-.25287166,76.20253,-56.571712,-62.300491,-89.399696,-100,-.017669439,11.927808,-69.458763,-51170.883,Dec,Dec,Dec,Dec,Dec,Dec
