"","HHID_panel","tempo","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","cat_ISR_b","cat_expenses_b","income2010","DSR2010","assets2010","DAR2010","ISR2010","ihs_ISR2010","ihs_DAR2010","ihs_DSR2010","ihs_income2010","ihs_assets2010","income2016","DSR2016","assets2016","DAR2016","ISR2016","ihs_ISR2016","ihs_DAR2016","ihs_DSR2016","ihs_income2016","ihs_assets2016","income2020","DSR2020","assets2020","DAR2020","ISR2020","ihs_ISR2020","ihs_DAR2020","ihs_DSR2020","ihs_income2020","ihs_assets2020","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","clust"
"1","ELA1",1,"Dec","Inc","Dec","Sta","Dec","Dec",52,0.60408443,264.5,0.24196598,0.20708896,6.0263014,6.1819487,7.0968618,11.552146,13.178743,50.012657,0.20790234,177.46835,0.36062768,0.045358073,4.5078568,6.5809951,6.0302215,11.513179,12.779695,60.16304,0.27620918,302.66306,0.12588255,0.086640775,5.1549511,5.5285125,6.3143091,11.697961,13.313522,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Sta","4"
"2","ELA1",2,"Inc","Dec","Inc","Inc","Inc","Inc",52,0.60408443,264.5,0.24196598,0.20708896,6.0263014,6.1819487,7.0968618,11.552146,13.178743,50.012657,0.20790234,177.46835,0.36062768,0.045358073,4.5078568,6.5809951,6.0302215,11.513179,12.779695,60.16304,0.27620918,302.66306,0.12588255,0.086640775,5.1549511,5.5285125,6.3143091,11.697961,13.313522,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","2"
"3","ELA10",1,"Inc","Inc","Dec","Inc","Dec","Dec",45,0.4772,157.5,0.24444444,0.14386667,5.6620464,6.1921396,6.861084,11.407565,12.660328,73.860756,0.27918151,272.15189,0.45121863,0.048189834,4.5684028,6.8051004,6.3250127,11.903084,13.207263,119.83696,0.42429626,161.95653,0.97248316,0.080788247,5.0850172,7.5730004,6.7435803,12.387034,12.688231,"cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"4","ELA10",2,"Dec","Inc","Inc","Inc","Inc","Dec",45,0.4772,157.5,0.24444444,0.14386667,5.6620464,6.1921396,6.861084,11.407565,12.660328,73.860756,0.27918151,272.15189,0.45121863,0.048189834,4.5684028,6.8051004,6.3250127,11.903084,13.207263,119.83696,0.42429626,161.95653,0.97248316,0.080788247,5.0850172,7.5730004,6.7435803,12.387034,12.688231,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","5"
"5","ELA11",1,"Inc","Inc","Inc","Dec","Inc","Inc",127,0.35259843,394.5,0.28643852,0.069133855,4.929244,6.3506742,6.5584788,12.445089,13.578522,101.77216,0.61719346,453.79745,0.41824827,0.2743082,6.3074026,6.7292237,7.1183305,12.223639,13.718554,6.73913,6.8636756,140.43478,1.5345201,2.3988292,8.4758835,8.0291204,9.5271454,9.5088329,12.545646,"cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","5"
"6","ELA11",2,"Dec","Inc","Inc","Dec","Inc","Dec",127,0.35259843,394.5,0.28643852,0.069133855,4.929244,6.3506742,6.5584788,12.445089,13.578522,101.77216,0.61719346,453.79745,0.41824827,0.2743082,6.3074026,6.7292237,7.1183305,12.223639,13.718554,6.73913,6.8636756,140.43478,1.5345201,2.3988292,8.4758835,8.0291204,9.5271454,9.5088329,12.545646,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","5"
"7","ELA12",1,"Dec","Inc","Dec","Dec","Inc","Dec",185,0.33274409,414.5,0.31121832,0.012122597,3.1899152,6.4336443,6.5005231,12.821259,13.627975,101.26582,0.052142859,74.683548,1.1849999,0.052142859,4.6472263,7.7706456,4.6472263,12.218652,11.914163,54.347828,0.2720497,101.68478,0.71102089,0.2720497,6.2991352,7.2598495,6.2991352,11.596307,12.22278,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","5"
"8","ELA12",2,"Inc","Dec","Inc","Dec","Inc","Inc",185,0.33274409,414.5,0.31121832,0.012122597,3.1899152,6.4336443,6.5005231,12.821259,13.627975,101.26582,0.052142859,74.683548,1.1849999,0.052142859,4.6472263,7.7706456,4.6472263,12.218652,11.914163,54.347828,0.2720497,101.68478,0.71102089,0.2720497,6.2991352,7.2598495,6.2991352,11.596307,12.22278,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","2"
"9","ELA13",1,"Dec","Inc","Dec","Dec","Sta","Sta",56,0.96952319,216,0.55555558,0.34320807,6.531486,7.0131168,7.569952,11.626254,12.976181,39.113922,0.36941361,153.35443,0.72185725,0.36941361,6.6050658,7.2749748,6.6050658,11.267381,12.633655,185.86957,0.035424236,550,0.23727272,0.0027019023,1.7197124,6.1623616,4.2607427,12.825948,13.910821,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","5"
"10","ELA13",2,"Inc","Dec","Dec","Inc","Dec","Sta",56,0.96952319,216,0.55555558,0.34320807,6.531486,7.0131168,7.569952,11.626254,12.976181,39.113922,0.36941361,153.35443,0.72185725,0.36941361,6.6050658,7.2749748,6.6050658,11.267381,12.633655,185.86957,0.035424236,550,0.23727272,0.0027019023,1.7197124,6.1623616,4.2607427,12.825948,13.910821,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"11","ELA14",1,"Dec","Inc","Dec","Inc","Dec","Dec",37,0.29662162,222.5,0.22921349,0.053378381,4.6706405,6.1278057,6.3856072,11.211821,13.00583,172.1519,0.069982357,33.924049,1.2115299,0,0,7.7927866,4.9414415,12.74928,11.125027,119.56522,0.15093169,101.68478,0.64021379,0.15093169,5.7099853,7.1549501,5.7099853,12.384765,12.22278,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"12","ELA14",2,"Inc","Dec","Inc","Dec","Sta","Sta",37,0.29662162,222.5,0.22921349,0.053378381,4.6706405,6.1278057,6.3856072,11.211821,13.00583,172.1519,0.069982357,33.924049,1.2115299,0,0,7.7927866,4.9414415,12.74928,11.125027,119.56522,0.15093169,101.68478,0.64021379,0.15093169,5.7099853,7.1549501,5.7099853,12.384765,12.22278,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","2"
"13","ELA15",1,"Inc","Inc","Dec","Inc","Inc","Inc",185,0.30521137,367.5,1.0095239,0.017087495,3.5323493,7.6103816,6.4141545,12.821259,13.507626,322.0253,0.081255779,475.31647,1.3717177,0.081255779,5.0907869,7.9169664,5.0907869,13.375532,13.764883,38.913044,0.82842684,588.69562,1.4399632,0.63205677,7.142127,7.9655204,7.4126759,11.262232,13.978812,"cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"14","ELA15",2,"Inc","Sta","Inc","Dec","Inc","Sta",185,0.30521137,367.5,1.0095239,0.017087495,3.5323493,7.6103816,6.4141545,12.821259,13.507626,322.0253,0.081255779,475.31647,1.3717177,0.081255779,5.0907869,7.9169664,5.0907869,13.375532,13.764883,38.913044,0.82842684,588.69562,1.4399632,0.63205677,7.142127,7.9655204,7.4126759,11.262232,13.978812,"cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","3"
"15","ELA16",1,"Dec","Inc","Dec","Inc","Dec","Dec",101,0.66312671,213,1.0093896,0.2921741,6.3705001,7.6102486,7.190114,12.216023,12.962194,153.79747,0.03075886,80.126579,1.58,0.03075886,4.1195893,8.0583277,4.1195893,12.636539,11.98451,72.554344,0.016104871,304.34784,0.030557144,0.0014981275,1.193724,4.1130133,3.4732316,11.885239,13.319074,"cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"16","ELA16",2,"Inc","Dec","Dec","Dec","Dec","Inc",101,0.66312671,213,1.0093896,0.2921741,6.3705001,7.6102486,7.190114,12.216023,12.962194,153.79747,0.03075886,80.126579,1.58,0.03075886,4.1195893,8.0583277,4.1195893,12.636539,11.98451,72.554344,0.016104871,304.34784,0.030557144,0.0014981275,1.193724,4.1130133,3.4732316,11.885239,13.319074,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","2"
"17","ELA17",1,"Inc","Dec","Sta","Inc","Sta","Sta",75,0,79,0.39240506,0,0,6.6654434,0,11.91839,11.97035,100.88607,0.011448508,412.15192,0.15334152,0.011448508,3.1329086,5.7258253,3.1329086,12.214894,13.622294,86.663048,0.071402363,557.93475,0.16059226,0,0,5.7720256,4.9615273,12.06293,13.925144,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Sta","cat_income_b_Inc","3"
"18","ELA17",2,"Inc","Sta","Inc","Dec","Dec","Dec",75,0,79,0.39240506,0,0,6.6654434,0,11.91839,11.97035,100.88607,0.011448508,412.15192,0.15334152,0.011448508,3.1329086,5.7258253,3.1329086,12.214894,13.622294,86.663048,0.071402363,557.93475,0.16059226,0,0,5.7720256,4.9615273,12.06293,13.925144,"cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","3"
"19","ELA18",2,"Sta","Inc","Inc","Inc","Inc","Sta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.025314,0.12317869,97.40506,0.37677714,0.056077458,4.7199607,6.6248026,5.5067997,11.79094,12.179781,106.93478,0.23837975,91.195656,0.46054825,0.067878656,4.910923,6.8255658,6.1670165,12.273122,12.11391,"cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"20","ELA19",1,"Inc","Inc","Dec","Inc","Dec","Inc",50,0.092580006,113,0.053097345,0.0065799998,2.5829067,4.6653628,5.2212496,11.512925,12.32829,63.79747,0.0014880953,365.6962,0.69483912,0.0014880953,1.1881415,7.2368279,1.1881415,11.756616,13.502706,80.923912,0.19271168,241.19565,0.50747186,0,0,6.9225893,5.954349,11.994411,13.086511,"cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"21","ELA19",2,"Dec","Dec","Inc","Inc","Dec","Dec",50,0.092580006,113,0.053097345,0.0065799998,2.5829067,4.6653628,5.2212496,11.512925,12.32829,63.79747,0.0014880953,365.6962,0.69483912,0.0014880953,1.1881415,7.2368279,1.1881415,11.756616,13.502706,80.923912,0.19271168,241.19565,0.50747186,0,0,6.9225893,5.954349,11.994411,13.086511,"cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","5"
"22","ELA2",1,"Inc","Inc","Dec","Inc","Dec","Dec",172,0.26216859,260,0.32692307,0.099377908,5.2921023,6.4828744,6.2621384,12.748397,13.161584,289.3671,0.053404786,589.24048,0.93764776,0.030621173,4.1151052,7.5365219,4.6711349,13.268599,13.979737,168.20653,0.10353781,858.69568,0.50006074,0.051123522,4.6274877,6.9078779,5.3331075,12.726095,14.356318,"cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"23","ELA2",2,"Inc","Dec","Inc","Dec","Inc","Dec",172,0.26216859,260,0.32692307,0.099377908,5.2921023,6.4828744,6.2621384,12.748397,13.161584,289.3671,0.053404786,589.24048,0.93764776,0.030621173,4.1151052,7.5365219,4.6711349,13.268599,13.979737,168.20653,0.10353781,858.69568,0.50006074,0.051123522,4.6274877,6.9078779,5.3331075,12.726095,14.356318,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","2"
"24","ELA20",1,"Sta","Inc","Inc","Dec","Inc","Inc",70.800003,0.18135883,202,0.33663365,0.15311025,5.7243161,6.5121446,5.8936324,11.860762,12.90917,33.544304,1.6133839,212.02531,0.68623888,0.59688324,7.0848694,7.2243733,8.079236,11.11377,12.957608,7.9891305,6.4512157,265.32608,0.65730441,4.2489204,9.0475674,7.1812949,9.4651709,9.6789846,13.181862,"cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"25","ELA20",2,"Inc","Sta","Inc","Dec","Inc","Dec",70.800003,0.18135883,202,0.33663365,0.15311025,5.7243161,6.5121446,5.8936324,11.860762,12.90917,33.544304,1.6133839,212.02531,0.68623888,0.59688324,7.0848694,7.2243733,8.079236,11.11377,12.957608,7.9891305,6.4512157,265.32608,0.65730441,4.2489204,9.0475674,7.1812949,9.4651709,9.6789846,13.181862,"cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","3"
"26","ELA21",1,"Inc","Dec","Inc","Inc","Dec","Inc",62.5,0.174688,81,0.91975313,0.16668801,5.8092799,7.5172529,5.8561568,11.736069,11.995352,110.12658,0.25287166,263.35443,0.48299927,0.017669439,3.5657835,6.8731632,6.2260332,12.302533,13.174403,47.826088,0,185.16306,0.070208393,0,0,4.9446659,0,11.468473,12.82214,"cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","2"
"27","ELA21",2,"Dec","Dec","Dec","Dec","Dec","Dec",62.5,0.174688,81,0.91975313,0.16668801,5.8092799,7.5172529,5.8561568,11.736069,11.995352,110.12658,0.25287166,263.35443,0.48299927,0.017669439,3.5657835,6.8731632,6.2260332,12.302533,13.174403,47.826088,0,185.16306,0.070208393,0,0,4.9446659,0,11.468473,12.82214,"cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","5"
