"","inert"
"1",0.419639118087974
"2",0.348123253290143
"3",0.257630119657918
"4",0.205300364196315
"5",0.0516511994807377
"6",0.0470066373673092
"7",0.0448334979460033
"8",0.0370522187711708
"9",0.0357429866713689
"10",0.0355850747231846
"11",0.0291926303762092
"12",0.0285307771874401
"13",0.0254549061215369
"14",0.0205545652143342
"15",0.0184880705692207
"16",0.017487268192978
"17",0.0171923194087603
"18",0.0132496385396531
"19",0.0114228141110691
"20",0.0111396835901557
"21",0.0111227831117166
"22",0.0100516283770372
"23",0.00812826009101318
"24",0.00806196669349135
"25",0.00642790928968339
"26",0.00577704390802964
"27",0.00547404947360549
"28",0.0048717195135427
"29",0.00443150939325741
"30",0.00437287715777743
"31",0.00434343193665461
"32",0.00341146184242552
"33",0.00325072927236215
"34",0.00313728182741105
"35",0.00281912730309124
"36",0.00269146436675644
"37",0.00232548377002644
"38",0.00230192050422985
"39",0.00202839347389225
"40",0.00189642166972394
"41",0.00167567922805044
"42",0.00142247770583791
"43",0.00108790981368897
"44",0.00106807812437693
"45",0.0009820026772112
"46",0.000970628789046796
"47",0.00092822613429965
"48",0.00080185770778557
"49",0.000654668451474133
"50",0.000589284482414858
"51",0.000559486534492864
"52",0.000553190434775482
"53",0.000429120096210161
"54",0.000395177039786514
"55",0.000362636604562989
"56",0.000351623067521506
"57",0.000351623067521504
"58",0.00020413028650103
"59",0.000146509611467294
"60",6.03834944432312e-31
"61",4.95562277609965e-31
"62",1.18217366864448e-31
"63",1.03937027672383e-31
"64",8.20278099594793e-32
"65",7.10703366880963e-32
"66",6.3637027614437e-32
"67",2.5926157311197e-32
"68",2.41553517166892e-32
"69",2.01980012279577e-32
"70",1.65184865005772e-32
"71",6.22549291971036e-33
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
