HHID_panel,year,income,DSR,loanamount,DIR,caste,assets,jatis,DAR,ISR,std_assets,std_income,std_DSR,std_DAR,std_loanamount,std_ISR,std_DIR
ELA1,2010,52,6040.8442,64,1.2307693,Middle,264.5,Nattar,24.196598,20.708897,-.15758057,-.4553597,-.034089874,-.15656324,-.43787539,-.0440799,-.13880932
ELA1,2016,50.012657,2079.0234,64,1.2796761,Middle,177.46835,Nattar,36.062767,4.5358071,-.40482798,-.47611991,-.11674108,-.12164336,-.43787539,-.099296987,-.1359823
ELA1,2020,60.16304,2762.0918,38.099998,.63327914,Middle,302.66306,Nattar,12.588255,8.6640778,-.049163502,-.37008682,-.10249095,-.19072439,-.58076072,-.085202515,-.17334686
ELA10,2010,45,4772,38.5,.85555559,Middle,157.5,Nattar,24.444445,14.386667,-.4615559,-.52848321,-.060560405,-.15583387,-.57855397,-.065664835,-.16049832
ELA10,2016,73.860756,2791.8152,122.8,1.662588,Middle,272.15189,Nattar,45.121864,4.8189836,-.1358424,-.22699754,-.10187087,-.094984151,-.11348707,-.098330185,-.11384832
ELA10,2020,119.83696,4242.9629,157.5,1.3142856,Middle,161.95653,Nattar,97.248314,8.078825,-.44889539,.25327975,-.071597137,.058414083,.077946141,-.087200649,-.13398172
ELA11,2010,127,3525.9841,113,.88976377,Middle,394.5,Vanniyar,28.643852,6.9133854,.21173523,.3281064,-.086554691,-.14347582,-.1675518,-.091179617,-.15852094
ELA11,2016,101.77216,6171.9346,189.8,1.8649503,Middle,453.79745,Vanniyar,41.824825,27.43082,.38019282,.064570934,-.031355079,-.10468671,.25613904,-.021130353,-.1021509
ELA11,2020,6.73913,68636.758,215.5,31.977423,Middle,140.43478,Vanniyar,153.45201,239.88292,-.51003629,-.92816448,1.2717812,.22381088,.397921,.70420945,1.6384814
ELA12,2010,185,3327.4409,129,.69729728,Middle,414.5,Vanniyar,31.121832,1.2122597,.26855305,.93398684,-.090696685,-.13618359,-.07928288,-.11064402,-.16964634
ELA12,2016,101.26582,521.42859,88.5,.87393743,Middle,74.683548,Vanniyar,118.49999,5.2142859,-.69682837,.059281677,-.1492355,.12095374,-.3027136,-.096980564,-.15943576
ELA12,2020,54.347828,2720.4968,72.300003,1.33032,Middle,101.68478,Vanniyar,71.102089,27.204969,-.62012082,-.43083379,-.10335871,-.018529288,-.39208588,-.021901438,-.13305487
ELA13,2010,56,9695.2314,120,2.1428571,Middle,216,Nattar,55.555557,34.320808,-.29536378,-.41357484,.04214767,-.06427978,-.12893414,.0023929854,-.086086676
ELA13,2016,39.113922,3694.136,110.7,2.830194,Middle,153.35443,Nattar,72.185722,36.94136,-.473333,-.58997041,-.083046719,-.015340362,-.18024048,.0113399,-.046355601
ELA13,2020,185.86957,354.24237,130.5,.70210528,Middle,550,Nattar,23.727272,.27019024,.65349376,.94307053,-.15272333,-.15794438,-.071007669,-.11386037,-.16936842
ELA14,2010,37,2966.2163,51,1.3783784,Dalits,222.5,SC,22.921349,5.3378382,-.276898,-.61205292,-.09823253,-.16031605,-.5095939,-.096558742,-.13027687
ELA14,2016,172.1519,699.82355,41.099998,.23874263,Dalits,33.924049,SC,121.15298,0,-.81262165,.79977286,-.14551383,.12876099,-.5642103,-.11478283,-.19615281
ELA14,2020,119.56522,1509.3168,65.099998,.54447269,Dalits,101.68478,SC,64.021378,15.093168,-.62012082,.25044107,-.12862626,-.039366476,-.43180692,-.063252747,-.17848027
ELA15,2010,185,3052.1138,371,2.0054054,Dalits,367.5,SC,100.95238,1.7087495,.13503118,.93398684,-.096440539,.069314457,1.2557846,-.10894894,-.094031982
ELA15,2016,322.0253,812.5578,652,2.0246856,Dalits,475.31647,SC,137.17177,8.1255779,.44132599,2.3653824,-.14316198,.17590122,2.8060076,-.087041028,-.092917502
ELA15,2020,38.913044,8284.2686,847.70001,21.78447,Dalits,588.69562,SC,143.99632,63.205677,.7634238,-.59206885,.01271227,.19598459,3.8856471,.10100978,1.0492842
ELA16,2010,101,6631.2666,215,2.1287129,Middle,213,Vanniyar,100.93896,29.217411,-.30388644,.056504827,-.02177253,.069274969,.39516258,-.015030694,-.086904272
ELA16,2016,153.79747,307.58859,126.6,.82316047,Middle,80.126579,Vanniyar,158,3.075886,-.68136531,.60803854,-.15369661,.23719476,-.092523225,-.10428135,-.16237091
ELA16,2020,72.554344,161.04871,9.3000002,.12817979,Middle,304.34784,Vanniyar,3.0557144,.14981274,-.044377215,-.2406446,-.15675372,-.21877684,-.73964477,-.11427136,-.20254381
ELA17,2010,75,0,31,.41333333,Dalits,79,SC,39.240505,0,-.68456584,-.21509676,-.1601135,-.11229188,-.61993003,-.11478283,-.1860607
ELA17,2016,100.88607,114.48508,63.200001,.62644923,Dalits,412.15192,SC,15.334151,1.1448509,.26188239,.055314694,-.15772513,-.18264374,-.44228882,-.11087416,-.17374167
ELA17,2020,86.663048,714.02362,89.599998,1.0338893,Dalits,557.93475,SC,16.059225,0,.67603552,-.093262054,-.1452176,-.18050998,-.2966451,-.11478283,-.15018985
