HHID_panel,tempo,income2010,DSR2010,assets2010,DAR2010,income2016,DSR2016,assets2016,DAR2016,income2020,DSR2020,assets2020,DAR2020,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b
ELA1,1,52,.60408443,264.5,.24196598,50.012657,.20790234,177.46835,.36062768,60.16304,.27620918,302.66306,.12588255,Dec,Inc,Dec,Sta
ELA1,2,52,.60408443,264.5,.24196598,50.012657,.20790234,177.46835,.36062768,60.16304,.27620918,302.66306,.12588255,Inc,Dec,Inc,Inc
ELA10,1,45,.4772,157.5,.24444444,73.860756,.27918151,272.15189,.45121863,119.83696,.42429626,161.95653,.97248316,Inc,Inc,Dec,Inc
ELA10,2,45,.4772,157.5,.24444444,73.860756,.27918151,272.15189,.45121863,119.83696,.42429626,161.95653,.97248316,Dec,Inc,Inc,Inc
ELA11,1,127,.35259843,394.5,.28643852,101.77216,.61719346,453.79745,.41824827,6.73913,6.8636756,140.43478,1.5345201,Inc,Inc,Inc,Dec
ELA11,2,127,.35259843,394.5,.28643852,101.77216,.61719346,453.79745,.41824827,6.73913,6.8636756,140.43478,1.5345201,Dec,Inc,Inc,Dec
ELA12,1,185,.33274409,414.5,.31121832,101.26582,.052142859,74.683548,1.1849999,54.347828,.2720497,101.68478,.71102089,Dec,Inc,Dec,Dec
ELA12,2,185,.33274409,414.5,.31121832,101.26582,.052142859,74.683548,1.1849999,54.347828,.2720497,101.68478,.71102089,Inc,Dec,Inc,Dec
ELA13,1,56,.96952319,216,.55555558,39.113922,.36941361,153.35443,.72185725,185.86957,.035424236,550,.23727272,Dec,Inc,Dec,Dec
ELA13,2,56,.96952319,216,.55555558,39.113922,.36941361,153.35443,.72185725,185.86957,.035424236,550,.23727272,Inc,Dec,Dec,Inc
ELA14,1,37,.29662162,222.5,.22921349,172.1519,.069982357,33.924049,1.2115299,119.56522,.15093169,101.68478,.64021379,Dec,Inc,Dec,Inc
ELA14,2,37,.29662162,222.5,.22921349,172.1519,.069982357,33.924049,1.2115299,119.56522,.15093169,101.68478,.64021379,Inc,Dec,Inc,Dec
ELA15,1,185,.30521137,367.5,1.0095239,322.0253,.081255779,475.31647,1.3717177,38.913044,.82842684,588.69562,1.4399632,Inc,Inc,Dec,Inc
ELA15,2,185,.30521137,367.5,1.0095239,322.0253,.081255779,475.31647,1.3717177,38.913044,.82842684,588.69562,1.4399632,Inc,Sta,Inc,Dec
ELA16,1,101,.66312671,213,1.0093896,153.79747,.03075886,80.126579,1.58,72.554344,.016104871,304.34784,.030557144,Dec,Inc,Dec,Inc
ELA16,2,101,.66312671,213,1.0093896,153.79747,.03075886,80.126579,1.58,72.554344,.016104871,304.34784,.030557144,Inc,Dec,Dec,Dec
ELA17,1,75,0,79,.39240506,100.88607,.011448508,412.15192,.15334152,86.663048,.071402363,557.93475,.16059226,Inc,Dec,Sta,Inc
ELA17,2,75,0,79,.39240506,100.88607,.011448508,412.15192,.15334152,86.663048,.071402363,557.93475,.16059226,Inc,Sta,Inc,Dec
ELA18,2,,,,,66.025314,.12317869,97.40506,.37677714,106.93478,.23837975,91.195656,.46054825,Sta,Inc,Inc,Inc
ELA19,1,50,.092580006,113,.053097345,63.79747,.0014880953,365.6962,.69483912,80.923912,.19271168,241.19565,.50747186,Inc,Inc,Dec,Inc
ELA19,2,50,.092580006,113,.053097345,63.79747,.0014880953,365.6962,.69483912,80.923912,.19271168,241.19565,.50747186,Dec,Dec,Inc,Inc
ELA2,1,172,.26216859,260,.32692307,289.3671,.053404786,589.24048,.93764776,168.20653,.10353781,858.69568,.50006074,Inc,Inc,Dec,Inc
ELA2,2,172,.26216859,260,.32692307,289.3671,.053404786,589.24048,.93764776,168.20653,.10353781,858.69568,.50006074,Inc,Dec,Inc,Dec
ELA20,1,70.800003,.18135883,202,.33663365,33.544304,1.6133839,212.02531,.68623888,7.9891305,6.4512157,265.32608,.65730441,Sta,Inc,Inc,Dec
ELA20,2,70.800003,.18135883,202,.33663365,33.544304,1.6133839,212.02531,.68623888,7.9891305,6.4512157,265.32608,.65730441,Inc,Sta,Inc,Dec
ELA21,1,62.5,.174688,81,.91975313,110.12658,.25287166,263.35443,.48299927,47.826088,0,185.16306,.070208393,Inc,Dec,Inc,Inc
ELA21,2,62.5,.174688,81,.91975313,110.12658,.25287166,263.35443,.48299927,47.826088,0,185.16306,.070208393,Dec,Dec,Dec,Dec
ELA22,1,74.599998,.60115951,84,.97023809,170.63292,.036442999,158.79747,.67759264,29.565218,2.8276784,436.63046,.5537864,Inc,Dec,Dec,Inc
ELA22,2,74.599998,.60115951,84,.97023809,170.63292,.036442999,158.79747,.67759264,29.565218,2.8276784,436.63046,.5537864,Inc,Dec,Inc,Dec
ELA23,1,49,.16498598,105,.5714286,44.683544,.13290414,167.21519,.46407264,51.847828,0,110.32609,1.4774384,Inc,Dec,Dec,Sta
ELA23,2,49,.16498598,105,.5714286,44.683544,.13290414,167.21519,.46407264,51.847828,0,110.32609,1.4774384,Dec,Inc,Dec,Inc
ELA24,1,65,.19615385,406,.39162558,108.22785,.21431473,254.30379,.44788951,21.997282,2.8222399,337.17392,.76370084,Dec,Inc,Sta,Inc
ELA24,2,65,.19615385,406,.39162558,108.22785,.21431473,254.30379,.44788951,21.997282,2.8222399,337.17392,.76370084,Inc,Inc,Inc,Dec
ELA25,2,,,,,37.341774,.76570588,212.34177,.4911893,38.152172,.63482904,191.52173,.43545973,Sta,Dec,Dec,Sta
