"","HHID_panel","tempo","income2010","DSR2010","assets2010","DAR2010","income2016","DSR2016","assets2016","DAR2016","income2020","DSR2020","assets2020","DAR2020","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","clust"
"1","ELA1",1,52,0.60408443,264.5,0.24196598,50.012657,0.20790234,177.46835,0.36062768,60.16304,0.27620918,302.66306,0.12588255,"Dec","Inc","Dec","Sta","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Sta","3"
"2","ELA1",2,52,0.60408443,264.5,0.24196598,50.012657,0.20790234,177.46835,0.36062768,60.16304,0.27620918,302.66306,0.12588255,"Inc","Dec","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","4"
"3","ELA10",1,45,0.4772,157.5,0.24444444,73.860756,0.27918151,272.15189,0.45121863,119.83696,0.42429626,161.95653,0.97248316,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"4","ELA10",2,45,0.4772,157.5,0.24444444,73.860756,0.27918151,272.15189,0.45121863,119.83696,0.42429626,161.95653,0.97248316,"Dec","Inc","Inc","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"5","ELA11",1,127,0.35259843,394.5,0.28643852,101.77216,0.61719346,453.79745,0.41824827,6.73913,6.8636756,140.43478,1.5345201,"Inc","Inc","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"6","ELA11",2,127,0.35259843,394.5,0.28643852,101.77216,0.61719346,453.79745,0.41824827,6.73913,6.8636756,140.43478,1.5345201,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"7","ELA12",1,185,0.33274409,414.5,0.31121832,101.26582,0.052142859,74.683548,1.1849999,54.347828,0.2720497,101.68478,0.71102089,"Dec","Inc","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","4"
"8","ELA12",2,185,0.33274409,414.5,0.31121832,101.26582,0.052142859,74.683548,1.1849999,54.347828,0.2720497,101.68478,0.71102089,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"9","ELA13",1,56,0.96952319,216,0.55555558,39.113922,0.36941361,153.35443,0.72185725,185.86957,0.035424236,550,0.23727272,"Dec","Inc","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","4"
"10","ELA13",2,56,0.96952319,216,0.55555558,39.113922,0.36941361,153.35443,0.72185725,185.86957,0.035424236,550,0.23727272,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"11","ELA14",1,37,0.29662162,222.5,0.22921349,172.1519,0.069982357,33.924049,1.2115299,119.56522,0.15093169,101.68478,0.64021379,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"12","ELA14",2,37,0.29662162,222.5,0.22921349,172.1519,0.069982357,33.924049,1.2115299,119.56522,0.15093169,101.68478,0.64021379,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"13","ELA15",1,185,0.30521137,367.5,1.0095239,322.0253,0.081255779,475.31647,1.3717177,38.913044,0.82842684,588.69562,1.4399632,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
