hhid	ass1	ass2
ELA1	491667	326861
ELA10	2332407	501395
ELA11	1827779	835813.06
ELA12	4852777	137209
ELA13	2438889	282559
ELA14	2450926	64070
ELA15	6886110.5	13040232
ELA16	2435185	148372
ELA17	148149	758139
ELA19	209259	674941.06
ELA2	10927776	4922035
ELA20	4451853	391278.97
ELA21	3246295.8	1123953
ELA22	2201852	294186
ELA23	196297.02	308022.97
ELA24	4887038	468952.97
ELA26	740741	447210
ELA27	3394444.8	680698
ELA30	4437962	2003836
ELA31	2426852	21860
ELA33	338888.97	387326
ELA35	413888	331744
ELA36	2379629	53722
ELA37	518519.03	108606
ELA38	433334	861918.94
ELA39	322222	4165291
ELA4	478704	149999
ELA40	4865742	569301.94
ELA41	472223.03	447675
ELA42	2545370	337209
ELA43	2364815	2085639.9
ELA44	2621296.3	25116
ELA45	2340741	2964651.8
ELA49	2394444	14302
ELA5	4800925	62210.004
ELA50	285185	504419
ELA52	375927	59419.004
ELA6	2312963.8	260465
ELA7	246295.98	197267
ELA8	669444	189652
ELA9	2246296	606279
GOV11	2365741	1103604
GOV13	9500926	182559
GOV14	2358333.8	1409768
GOV17	1299074.1	92442
GOV18	649075	578954.06
GOV19	6640739	28836.998
GOV2	3319443.8	183023.02
GOV20	454630.03	138139
GOV21	483334.03	179884
GOV22	730555	1840698.1
GOV23	137964	1890930
GOV25	345370	302674
GOV26	1178703	624884
GOV28	560185	1093256
GOV29	3321296.3	2819767.8
GOV3	4509259	833139
GOV31	4568517.5	55232.996
GOV32	4751852	633372
GOV33	4891667	69884.992
GOV34	335186	128603.99
GOV35	4389815	404535
GOV37	1328705.1	736627
GOV38	4625926.5	319302
GOV39	711297	192443.02
GOV4	1570371	88605
GOV40	628703	671860.94
GOV41	451852	259418
GOV42	13047222	8788487
GOV44	335185	1985466
GOV45	2712038	501163
GOV46	6706481	170930.02
GOV48	10476851	6197093
GOV50	624999	82094
GOV51	256482	1104535
GOV52	922222.06	944186
GOV6	221296	706975.94
GOV7	531482.06	717325
KAR10	2274075.3	3014884
KAR11	10926851	7196047.5
KAR12	373148	728139
KAR13	171297	163952.98
KAR14	5449074.5	1086047
KAR15	344444	395755.97
KAR17	1359258.9	732442
KAR18	245371	130116.02
KAR19	2702778	290116
KAR2	3523149	636162
KAR20	179629	375582
KAR21	1453703.9	205814
KAR23	1340741	343616
KAR25	6531481.5	1024767.1
KAR26	1233333.9	2030467
KAR27	11724075	15695697
KAR28	214815	196627.98
KAR29	396297	220931
KAR3	5566666	2093023
KAR30	846296	984419
KAR32	2251853	213140
KAR33	306482	143197
KAR34	217593	184303.02
KAR35	10699073	7768255.5
KAR36	9947224	3777791
KAR38	3595370.8	3624535
KAR42	261112	322035
KAR43	1415742.1	1344070.1
KAR44	5275926.5	2684070
KAR45	4572222	480175
KAR46	424074.03	959185
KAR47	200926	204301.02
KAR48	829628.94	1788257
KAR49	184260.02	255001
KAR50	10524074	58430.004
KAR6	187038	130581.01
KAR7	2331482.3	306975.97
KAR8	156482	136395
KAR9	219445	310349
KOR1	887038	1530581.9
KOR10	1435185	977093
KOR11	4374074	4474768.5
KOR14	2292593	1390116
KOR15	412037	176976
KOR16	503703	1187906
KOR17	2168518.8	1656163.9
KOR19	694445	294186.97
KOR2	2429630.3	50522
KOR20	8946296	4298139
KOR23	412963	697443
KOR24	10701853	17494650
KOR25	292593	130350.01
KOR26	433333	250696.98
KOR27	1833333	1578604
KOR29	1424074	1607791
KOR3	552778	291978
KOR30	429630	128490.01
KOR32	361111.03	171396
KOR33	4886111.5	8775581
KOR34	401851	264884
KOR35	448149	458839
KOR36	341667	189825
KOR37	5224074	3195349.8
KOR38	294444	581395.94
KOR39	10856481	3263722
KOR4	348149	754884.94
KOR40	2333334	1749419.9
KOR41	352778	909651
KOR42	5278702.5	3768488
KOR44	2316665.8	932907
KOR45	144444	281513
KOR5	4301850.5	1650582
KOR9	4262963	343489
KUV1	4623148	57506
KUV12	2329815	349187
KUV13	4515647	197442.02
KUV14	683334	1143541
KUV15	2427037	26686
KUV17	1338889	114592.99
KUV18	3254629.8	68280.008
KUV19	1266668	484476
KUV2	2303703	62989
KUV20	174074	185870.98
KUV21	2353426	966626.94
KUV22	4746296	1943371
KUV23	874073	489476
KUV26	2371297	2521513
KUV27	2418519	4234419
KUV28	221667	227790.98
KUV29	2341481	537907
KUV30	116666	13778.999
KUV31	6015927	36163
KUV32	418518	529593
KUV34	4287963	2121394.8
KUV35	4509259	21104
KUV36	5706481.5	1048432
KUV37	4233333	4262849
KUV38	4710185	862325
KUV39	6585184.5	1686861.1
KUV4	917593	1792908
KUV40	4386296.5	1788838
KUV41	5764814.5	2121628
KUV43	445370.97	229311
KUV44	4847221.5	743836.94
KUV46	2815741	151860
KUV47	6621296	61628.004
KUV50	2380000	67675
KUV52	374075	1993314.3
KUV6	2294445	3471687
KUV7	3006482.3	58372
KUV9	2526853	1769476.9
MAN1	845372	398256
MAN10	1460185.9	202675
