hhid	inc1	inc2
ELA1	1759.25	1531.3833
ELA10	1890.4375	3769.3889
ELA11	3919.75	3232.5334
ELA12	7908.9375	7751.9585
ELA13	3909.5	1197.6667
ELA14	1296.2833	6589.146
ELA15	5709.8667	9860.4502
ELA16	5452.6665	7848.8335
ELA17	2314.8167	3186.0334
ELA19	1311.7361	2147.2666
ELA2	5308.6499	8860.4668
ELA20	2731.4792	1296.0209
ELA21	2237.6665	5620.1665
ELA22	2302.4666	5224.7998
ELA23	2006.1875	1368.2167
ELA24	2067.8999	4142.4165
ELA26	2601.4165	2180.25
ELA27	4475.2998	5143.4165
ELA30	1774.6786	3664.75
ELA31	771.61108	6459.9448
ELA33	2057.6111	2117.5696
ELA35	2380.9644	1046.5
ELA36	1944.45	4780.3608
ELA37	2191.3501	1333.0834
ELA38	2191.3667	1292.3195
ELA39	6442.896	4476.7358
ELA4	3665.3125	9076.2217
ELA40	2098.7778	382.05954
ELA41	4089.521	1377.1666
ELA42	2237.6667	1647.2778
ELA43	3125.0208	3310.0833
ELA44	895.04999	3197.6667
ELA45	1521.1667	913.61908
ELA49	2642.7708	3730.625
ELA5	3377.4285	3456.0693
ELA50	3060.7083	1381.5
ELA52	2098.7666	4457.375
ELA6	2808.6499	437.98334
ELA7	2839.5	3036.1667
ELA8	3909.4724	445.7222
ELA9	5015.4375	1705.3888
GOV11	1601.0625	7768.0835
GOV13	3549.3958	3036.1667
GOV14	4552.4585	8105.604
GOV17	4449.5972	4360.4722
GOV18	2957.8193	3531.0168
GOV19	1635.8	3875.9724
GOV2	5144.0557	4651.1665
GOV20	6520.0625	2232.55
GOV21	2584.875	3270.3542
GOV22	3703.7	4825.5835
GOV23	5401.2222	3907.4583
GOV25	1800.3888	3493.2083
GOV26	4243.8335	96.916664
GOV28	2716.0334	8885.666
GOV29	1697.5334	5022.6108
GOV3	1234.5625	7630.8125
GOV31	2854.9375	4263.5835
GOV32	3060.6943	2655.0833
GOV33	1296.3	3391.4668
GOV34	2199.0833	5192.1943
GOV35	1813.2709	3917.9724
GOV37	1172.85	4472.8667
GOV38	1157.4166	2403.0833
GOV39	3518.5332	872.08331
GOV4	1671.8055	3201.55
GOV40	1929.0209	4234.5
GOV41	925.91669	3268.75
GOV42	4508.75	10155.033
GOV44	2893.5417	8328.4863
GOV45	1234.5834	5710.6113
GOV46	2449.8333	3746.7776
GOV48	3240.75	7206.0698
GOV50	1658.9445	3139.5417
GOV51	2674.9028	1187.7024
GOV52	925.91669	2277.125
GOV6	2083.3333	1913.7778
GOV7	6751.5415	2325.625
KAR10	2237.6458	5591.0835
KAR11	3888.8999	12887.583
KAR12	1543.2167	1046.5
KAR13	1203.7	860.46667
KAR14	1565.2618	4770.4229
KAR15	2237.6528	2744.8333
KAR17	2584.875	2054.2917
KAR18	1620.375	3617.25
KAR19	2314.8125	930.25
KAR2	2044.771	4114.9722
KAR20	2957.8193	1589.1528
KAR21	3240.7292	852.70831
KAR23	2263.3611	1224.8
KAR25	2932.1111	968.98608
KAR26	2149.4644	1553.1547
KAR27	2211.9304	7432.1665
KAR28	2561.7334	1569.7638
KAR29	3034.9724	4356.583
KAR3	1234.5714	4202.6548
KAR30	1350.3125	3189.4167
KAR32	2057.6389	4622.0835
KAR33	3279.3333	1211.25
KAR34	1562.5	3735.4583
KAR35	1455.0238	5422.4834
KAR36	1543.2084	5400.5278
KAR38	2777.7666	19670.541
KAR42	3086.4167	1194.2916
KAR43	1234.5667	2214.1458
KAR44	4210.7622	3740.3333
KAR45	2314.8	465.10416
KAR46	1604.9167	2296.5139
KAR47	1671.8195	1795.8612
KAR48	1666.6666	4496.125
KAR49	1344.7976	1107.0729
KAR50	1929	4263.5835
KAR6	1594.6388	1427.6388
KAR7	1658.9584	8947.0557
KAR8	895.04999	2034.8749
KAR9	2345.6833	7751.9375
KOR1	2893.5208	1434.1112
KOR10	4351.8667	4339.4722
KOR11	2160.5	1128.8959
KOR14	1185.6805	2185.7739
KOR15	2037.0336	1375.9584
KOR16	802.46667	868.31671
KOR17	2880.6667	1300.3833
KOR19	1003.0972	1004.5278
KOR2	1671.8195	3997.0833
KOR20	3665.125	635.23151
KOR22	1826.125	9689.917
KOR23	1353.619	2303.4285
KOR24	2689.6072	11122.219
KOR25	1646.0834	985.13892
KOR26	5504.1113	3282.4583
KOR27	3446.5276	1883.75
KOR29	2962.9666	1243.5277
KOR3	6365.729	1294.5667
KOR30	5596.7085	5299.1772
KOR32	3202.1458	1011.6333
KOR33	6057.0835	11531.027
KOR34	1350.3125	1150.6875
KOR35	3163.5625	741.27081
KOR36	2237.6667	1236.4333
KOR37	2561.7166	2764.8611
KOR38	5493.833	4683.4722
KOR39	1543.2167	380.83334
KOR4	2006.1805	4783.5835
KOR40	1774.7084	3987.9353
KOR41	1929	529.72223
KOR42	1296.3	1368.2167
KOR44	1450.6167	330.55954
KOR45	925.91669	2529.0715
KOR5	1851.8334	1530.9584
KOR9	1273.1459	2118.5835
KUV1	2083.3125	1426.463
KUV12	1260.2916	3244.1833
KUV13	4012.3667	6136.9448
KUV14	2623.4583	2067.1946
KUV15	1054.5139	6217.6948
KUV17	4243.8335	1942.5
KUV18	1851.8888	3391.4724
KUV19	1337.4584	1285.5278
KUV2	1196	6153.0835
KUV20	3343.6389	2812.012
KUV21	3006.1665	3901.1667
KUV22	3279.3125	3488.3889
KUV23	1157.4166	401.16669
KUV26	1131.6805	5222.875
KUV27	2276.25	959.29169
KUV28	2584.875	3391.4792
KUV29	2330.25	4310.6309
KUV30	1543.1833	5668.604
KUV31	2623.4666	5684.75
KUV32	2731.4834	4648.833
KUV34	4886.8335	1329.4166
KUV35	2469.1333	7686.5415
