HHID_panel,index2010,index2016,index2020
ELA1,11.345108,10.627071,7.5817156
ELA10,13.652437,2.9654794,7.3656359
ELA11,1.5223098,9.1436415,70.855453
ELA12,0,24.336769,27.687685
ELA13,8.4438257,27.261292,.090027086
ELA14,17.17544,0,5.1726322
ELA15,.56954956,2.7084854,33.95158
ELA16,9.7544956,1.0253776,.050077643
ELA17,0,.38161886,1.2160546
ELA19,11.99715,3.395051,0
ELA2,2.003876,1.0207337,1.2880954
ELA20,4.6812615,35.601067,61.818665
ELA21,7.7630739,1.9691108,5.603518
ELA22,2.8150132,3.8717539,44.557163
ELA23,12.574667,22.736401,1.870162
ELA24,9.3184023,1.6452919,53.696701
ELA26,5.0311728,20.073944,63.89592
ELA27,.75862068,1.4426283,.048971146
ELA30,4.1853385,.89038962,5.5375357
ELA31,26.843758,1.2521528,4.831459
ELA33,2.5063291,3.5911126,10.010333
ELA35,.68539685,27.904961,10.179348
ELA36,4.4888287,2.1376235,2.587873
ELA37,2.7189803,18.517412,5.8585782
ELA38,4.9777298,13.366189,.81859714
ELA39,.35928142,3.1954887,53.970444
ELA4,2.2031579,.94012862,4.4356608
ELA40,4.1544118,59.727215,.61506903
ELA41,18.340155,21.853788,23.360914
ELA42,11.508235,31.237709,3.8890467
ELA43,3.6444197,13.702432,.31234285
ELA44,27.087351,0,8.4651089
ELA45,9.3876381,19.011368,17.733063
ELA49,2.3529413,.17441623,.94100875
ELA5,3.764014,34.895367,17.886158
ELA50,1.0254238,12.56553,.39251116
ELA52,8.5340004,0,13.340431
ELA6,.47058174,31.13991,59.386028
ELA7,2.427422,1.3857192,2.5754669
ELA8,1.2179031,54.101997,41.824203
ELA9,.52212912,19.80583,17.712881
GOV11,22.825304,10.457717,.7358405
GOV13,1.3878149,6.76931,3.9297664
GOV14,3.268703,1.9048787,4.8861594
GOV17,10.816078,6.2903533,.36971617
GOV18,2.4782608,2.0284622,19.675104
GOV19,10.099812,2.99982,30.316895
GOV2,3.8336668,7.8473969,0
GOV20,.47475347,4.082603,0
GOV21,.53846151,5.8518543,8.7963791
GOV22,3.6391666,4.4008727,0
GOV23,.22857143,0,0
GOV25,30.636974,5.6299977,11.830317
GOV26,.31851852,65.725754,32.606464
GOV28,2.2064393,1.6935143,0
GOV29,10.90632,0,22.808395
GOV3,17.803562,0,.073714174
GOV31,.99506938,13.632936,0
GOV32,3.5882351,32.016354,32.525455
GOV33,19.35146,.93325752,.52440155
GOV34,12.818074,0,0
GOV35,29.289661,5.2749267,12.195119
GOV37,21.208157,.38952327,.82690525
GOV38,27.887304,60.146889,3.8166614
GOV39,5.4257941,63.844669,26.478264
GOV4,6.365109,2.1790347,0
GOV40,19.563196,1.9937733,.38054612
GOV41,30.973583,0,.13876644
GOV42,.60190475,0,.0035394013
GOV44,.91538459,2.3768966,4.8569465
GOV45,20.266235,0,4.2954898
GOV46,16.282721,3.9198582,5.2478247
GOV48,5,0,32.286827
GOV50,26.918337,6.4821701,5.1337767
GOV51,1.0490196,13.879278,3.1446388
GOV52,34.127205,12.150566,0
GOV6,5.8433695,13.844792,17.719812
GOV7,.45714286,62.903755,14.675414
KAR10,18.231482,4.0577054,17.279467
KAR11,.29100528,0,33.152004
KAR12,18.382725,27.250139,1.343675
KAR13,19.833912,24.100531,4.5151634
KAR14,10.192966,3.7254286,19.362221
KAR15,.29286626,.34141871,30.459356
KAR17,2.2550464,8.3285389,22.400427
KAR18,23.237803,.26951307,42.237759
KAR19,15.749956,20.131392,50.392635
KAR2,7.2661796,0,3.4480736
KAR20,14.885527,6.6100345,25.560083
KAR21,.23095238,28.817543,39.233688
KAR23,13.281586,32.146564,8.689106
KAR25,11.333573,29.116497,2.2006757
KAR26,1.0372206,5.1222396,1.7757858
KAR27,4.360465,.86919403,.53576869
KAR28,.12435897,7.1416163,1.4437337
KAR29,6.6326046,20.302547,1.1014329
KAR3,13.764976,0,20.76329
KAR30,18.728203,0,18.954369
KAR32,14.113276,24.646206,15.77687
KAR33,.029019607,18.930717,47.700756
KAR34,13.40475,.5403282,.99566257
KAR35,7.1137371,0,1.2146914
KAR36,34.603626,0,0
KAR38,1.5777777,0,8.3708792
KAR42,2.6220834,18.803827,9.7561817
KAR43,19.531248,2.932225,.77363831
KAR44,5.5273342,19.419792,2.1528237
KAR45,3.9888887,58.195667,7.5771108
KAR46,8.8906202,0,4.3431735
KAR47,5.7240829,3.1334898,22.325251
KAR48,8.7215033,4.3411164,22.128971
KAR49,9.10007,11.945985,45.37727
KAR50,22.723625,15.173484,10.7135
KAR6,25.625652,25.11813,23.570835
KAR7,17.408226,9.5462637,14.529957
KAR8,22.522133,5.3933029,18.404408
KAR9,33.156151,8.4865599,2.4512224
KOR1,2.2666667,30.340666,8.7137222
KOR10,.22900765,.66053563,26.793264
KOR11,8.064127,43.253082,6.6829228
KOR14,17.167799,5.130899,29.693327
KOR15,3.5083914,15.887908,2.9445934
KOR16,31.342747,20.436157,8.9175825
KOR17,12.48415,50.274536,14.484453
KOR19,34.096416,19.36569,27.622463
KOR2,14.85315,.26429185,.44846788
KOR20,3.1578948,26.072195,26.540209
KOR22,8.1798286,0,9.7577047
KOR23,13.764375,8.3036394,8.0510302
KOR24,8.1480083,1.1875449,0
KOR25,8.016614,17.384073,28.351946
KOR26,.16494845,29.153015,45.215664
KOR27,7.8114429,10.934456,.34499884
KOR29,2.4175823,23.747614,14.749442
KOR3,1.939394,17.841785,21.166475
KOR30,5.0551472,.19874877,14.605836
KOR32,.18714859,19.576456,15.662194
KOR33,1.4712644,2.7981241,0
