"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"1","ELA1",2010,-0.069820359,-0.28664449,-0.45677617,-0.55594587,-0.57306337,-0.49689397,-0.46672335,-0.57306337,-0.49689397,-0.069820359,-0.28664449,-0.55594587,-0.45677617,-0.46672335,"2"
"2","ELA1",2016,-0.35975924,-0.47113588,-0.45677617,-0.51156884,-0.59785718,-0.56644922,-0.46717516,-0.59785718,-0.56644922,-0.35975924,-0.47113588,-0.51156884,-0.45677617,-0.46717516,"2"
"3","ELA1",2020,-0.24943855,-0.76815277,-0.45677617,-0.38214704,-0.47120535,-0.51081574,-0.62103486,-0.47120535,-0.51081574,-0.24943855,-0.76815277,-0.38214704,-0.45677617,-0.62103486,"2"
"4","ELA10",2010,-0.04990992,-0.57716596,-0.45677617,-0.70687997,-0.59413213,0.40505666,-0.59130257,-0.59413213,0.40505666,-0.04990992,-0.57716596,-0.70687997,-0.45677617,-0.59130257,"2"
"5","ELA10",2016,-0.27075505,-0.54552591,0.57441151,-0.59431213,-0.032089811,-0.42906532,0.095156349,-0.032089811,-0.42906532,-0.27075505,-0.54552591,-0.59431213,0.57441151,0.095156349,"3"
"6","ELA10",2020,-0.027006527,0.057675112,0.23305027,0.10629288,0.70853961,-0.58803529,0.36242425,0.70853961,-0.58803529,-0.027006527,0.057675112,0.10629288,0.23305027,0.36242425,"4"
"7","ELA11",2010,-0.42479455,-0.46433142,-0.45677617,0.19281662,0.36278754,0.039593045,-0.17542379,0.36278754,0.039593045,-0.42479455,-0.46433142,0.19281662,-0.45677617,-0.17542379,"2"
"8","ELA11",2016,0.24305283,1.1587558,-0.45677617,-0.19989358,0.047992308,-0.34811798,0.28157765,0.047992308,-0.34811798,0.24305283,1.1587558,-0.19989358,-0.45677617,0.28157765,"4"
"9","ELA11",2020,5.3989606,2.6487215,0.55233502,-1.1874031,-1.1133612,-0.57273477,0.80664271,-1.1133612,-0.57273477,5.3989606,2.6487215,-1.1874031,0.55233502,0.80664271,"4"
"10","ELA12",2010,-0.62101424,-0.4666546,-0.45677617,1.3791567,1.3589858,1.6037947,0.010213581,1.3589858,1.6037947,-0.62101424,-0.4666546,1.3791567,-0.45677617,0.010213581,"1"
"11","ELA12",2016,-0.54801863,0.0040879012,3.3537714,0.082384177,0.77600455,-0.61336792,-0.014308069,0.77600455,-0.61336792,-0.54801863,0.0040879012,0.082384177,3.3537714,-0.014308069,"3"
