"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"1","ELA1",0.029453848,0.014579633,0.030337583,1,2,1,3,3,3
"2","ELA10",0.047617778,0.06953375,0.07369224,1,2,1,3,3,3
"3","ELA11",0.018267717,0.1097237,0.61615324,2,3,2,1,1,1
"4","ELA12",0,0.24942675,0.29672045,2,1,3,2,1,2
"5","ELA13",0.19221428,0.19521827,0.001080325,1,1,3,2,2,2
"6","ELA14",0.1071068,0,0.076409169,1,2,1,3,3,3
"7","ELA15",0.006834595,0.032501824,0.26063383,2,3,2,1,1,1
"8","ELA16",0.14817959,0.012304531,0.0006009317,1,2,1,3,3,3
"9","ELA17",0,0.0045794263,0.084849566,1,2,1,3,3,3
"10","ELA19",0.037679128,0.00059563929,0,1,2,1,3,3,3
"11","ELA2",0.024046512,0.012248805,0.015457144,1,2,1,3,3,3
"12","ELA20",0.056175143,0.27522618,0.547391,2,3,2,1,1,1
"13","ELA21",0.045695998,0.086668879,0.13334355,1,2,1,3,3,3
"14","ELA22",0.033780161,0.061634261,0.38463587,2,3,2,1,1,1
"15","ELA23",0.059910201,0.28196165,0,3,1,3,2,2,2
"16","ELA24",0.078461543,0.019743506,0.4707126,2,3,2,1,1,1
"17","ELA26",0.060374074,0.094898358,0.56694013,2,3,2,1,1,1
"18","ELA27",0.0091034481,0.01731154,0.00058765372,1,2,1,3,3,3
"19","ELA30",0.031600002,0.40255833,0.023863487,3,1,3,2,2,2
"20","ELA31",0.17835307,0.015025834,0.28276065,2,3,2,1,1,1
"21","ELA33",0.030075949,0.1403721,0.056354132,1,2,1,3,3,3
"22","ELA35",0.008224762,0.096784711,0.10681196,1,2,1,3,3,3
"23","ELA36",0.0092253964,0.025651481,0.031054476,1,2,1,3,3,3
"24","ELA37",0.0049090912,0.072035328,8.4141284e-05,1,2,1,3,3,3
"25","ELA38",0.085870057,0.049365558,0.023748452,1,2,1,3,3,3
"26","ELA39",0.0043113772,0.080466405,0.43568513,2,3,2,1,1,1
"27","ELA4",0.026437894,0.011281544,0.060807869,1,2,1,3,3,3
"28","ELA40",0.049852941,0.55133802,0.0073808283,3,1,3,2,2,2
"29","ELA41",0.20318896,0.047292374,0.10894255,1,2,1,3,3,3
"30","ELA42",0.13844834,0.20990148,0.14681469,3,1,3,2,2,2
"31","ELA43",0.11019563,0.16442917,0.0037481145,1,2,3,2,3,2
"32","ELA44",0.16439618,0,0.16744512,2,2,1,3,3,3
"33","ELA45",0.047901433,0.11090628,0.2151632,2,1,2,1,1,1
"34","ELA49",0.028235296,0.0020929945,0.011292105,1,2,1,3,3,3
"35","ELA5",0.045168169,0.18059438,0.097372614,1,1,3,2,2,2
"36","ELA50",0.012305085,0.1974538,0.0047101337,1,1,3,2,2,2
"37","ELA52",0.085970588,0,0.012108373,1,2,1,3,3,3
"38","ELA6",0.088441558,0.19857746,0.53880191,2,3,2,1,1,1
"39","ELA7",0.15730435,0.016628629,0,1,2,1,3,3,3
"40","ELA8",0.11886933,0.50317258,0.31170711,3,1,3,2,2,2
"41","ELA9",0.052234434,0.05786499,0.06985265,1,2,1,3,3,3
"42","GOV11",0.12478597,0.1254926,0.0088300863,1,2,1,3,3,3
"43","GOV13",0.1118271,0.081231721,0.047157198,1,2,1,3,3,3
"44","GOV14",0.14978306,0.022858547,0,1,2,1,3,3,3
"45","GOV17",0.12979294,0.075484239,0.004436594,1,2,1,3,3,3
"46","GOV18",0.02973913,0.029853554,0.077795103,1,2,1,3,3,3
"47","GOV19",0.020150943,0.035997842,0.2837134,2,3,2,1,1,1
"48","GOV2",0.046004001,0.094168767,0,1,2,1,3,3,3
"49","GOV20",0.0056970413,0.048991237,0,1,2,1,3,3,3
"50","GOV21",0.0064615384,0.070222251,0.019508667,1,2,1,3,3,3
"51","GOV22",0.043669999,0.052810472,0,1,2,1,3,3,3
"52","GOV23",0.0027428572,0,0,1,2,1,3,3,3
"53","GOV25",0.2225143,0.05478834,0.0037072371,1,2,1,3,3,3
"54","GOV26",0.0038222224,0.58765823,0.19033638,3,1,3,2,2,2
"55","GOV28",0.026477272,0.020322172,0,1,2,1,3,3,3
"56","GOV29",0.055546667,0,0.11152902,1,2,1,3,3,3
"57","GOV3",0.23274581,0,0.011584001,1,2,1,3,3,3
