HHID_panel,year,dsr_std,dar_std,tdr_std,rfm_std,dailyincome_pc_std,assets_pc_std,lpc_std
ELA1,2010,-.069820359,-.28664449,-.45677617,-.17724891,-.57306337,-.49689397,-.36258796
ELA1,2016,-.35975924,-.47113588,-.45677617,-.11883803,-.59785718,-.56644922,-.36258796
ELA1,2020,-.24943855,-.76815277,-.45677617,-.014068661,-.47120535,-.51081574,-.66918653
ELA10,2010,-.04990992,-.57716596,-.45677617,-.3669138,-.59413213,.40505666,.1611449
ELA10,2016,-.27075505,-.54552591,.57441151,-.23921299,-.032089811,-.42906532,.4793216
ELA10,2020,-.027006527,.057675112,.23305027,.10369632,.70853961,-.58803529,1.2709554
ELA11,2010,-.42479455,-.46433142,-.45677617,.12384984,.36278754,.039593045,.5572077
ELA11,2016,.24305283,1.1587558,-.45677617,-.012693435,.047992308,-.34811798,-.97578514
ELA11,2020,5.3989606,2.6487215,.55233502,-5.1248665,-1.1133612,-.57273477,2.4584067
ELA12,2010,-.62101424,-.4666546,-.45677617,.39042914,1.3589858,1.6037947,-.52443033
ELA12,2016,-.54801863,.0040879012,3.3537714,.15942654,.77600455,-.61336792,.043518744
ELA12,2020,-.36900601,-.50050277,3.2895377,.48511615,-.54376501,-.6551829,-.36258796
ELA13,2010,.37858161,-.37880382,1.2103431,-.17682956,-.31981352,.63671309,.083504468
ELA13,2016,-.10384604,.5502516,-.45677617,.076559752,-.73385501,-.58550203,-.97578514
ELA13,2020,-.57142276,-.54114068,-.45677617,.28570771,1.0973681,-.34424722,-.36258796
ELA14,2010,-.3096101,-.80045754,.19699611,.44870967,-.76023358,.339046,-.055989522
ELA14,2016,-.52303606,-.07208018,-.45677617,.046876255,1.1797454,-.67670149,-1.2100055
ELA14,2020,-.40100092,-.58407128,.22720248,.2333829,.038994025,-.66315532,-.59996539
ELA15,2010,-.59709322,.61600649,-.45677617,.16395786,1.0865123,2.1918619,-.36258796
ELA15,2016,-.5072583,2.2205293,-.45677617,.081826381,2.7963119,4.5935726,-.36258796
ELA15,2020,.31886312,2.6487215,-.45677617,-.74246001,-.67905086,.067578763,1.1895077
ELA16,2010,.16195674,1.836022,.16354726,-.1480283,.40509352,.63467306,.4793216
ELA16,2016,-.57794851,2.6487215,-.45677617,.18088005,1.255603,-.62493694,-1.1039467
ELA16,2020,-.59847659,-1.0873034,-.45677617,.67128801,.20953196,-.38348559,1.0130688
ELA17,2010,-.62101424,-.61188471,-.45677617,-.15890014,-.28606907,-.64345998,-.66918653
ELA17,2016,-.60498631,-.57420051,-.45677617,.015597869,.036936723,-.38102227,-.36258796
ELA17,2020,-.52105039,-.23378378,.95776725,.058820631,-.14053799,-.29469368,-.055989522
ELA18,2016,-.44856209,.38168642,-.45677617,-.066646263,-.39805922,-.62970805,-.66918653
ELA18,2020,-.28728577,.42039114,-.37080789,.018047567,.11241628,-.64904213,1.1704049
ELA19,2010,-.51803064,-1.0109736,-.45677617,-.21489809,-.65237927,-.6251654,-1.0559261
ELA19,2016,-.61892951,2.6487215,-.45677617,.024909375,-.42586026,-.41772777,-.66918653
ELA19,2020,-.351219,-.548347,-.45677617,.3756485,-.21214932,.077518485,-.055989522
ELA2,2010,-.33336428,-.74885452,-.45677617,-.021967102,.92429817,3.8451741,-.66918653
ELA2,2016,-.54624581,2.6487215,-.45677617,.12802884,2.3888049,1.4091344,-.055989522
ELA2,2020,-.49353847,.71441799,-.45677617,.25644827,1.1247094,1.3963847,.50393254
ELA20,2010,-.42440206,-.57527649,-.45677617,.36741984,-.23420042,1.4160777,.50393254
ELA20,2016,1.637741,-.17903996,-.45677617,-1.6997603,-.75395298,-.51937181,-.52443033
ELA20,2020,5.3989606,.94508106,-.45677617,-5.1248665,-1.0932249,-.46396774,1.6667728
ELA21,2010,-.46107888,.035097163,-.45677617,-.045392338,-.44204426,.66101724,.25060907
ELA21,2016,-.27061841,-.32942823,.87026209,-.23484069,.55212075,-.082964391,-.31231266
ELA21,2020,-.62101424,-1.0706185,1.7662199,1.3439592,-.45148885,-.5923031,.4793216
ELA22,2010,-.50278413,1.0066319,-.45677617,.0093332445,-.29106027,.22882515,-.055989522
ELA22,2016,-.56999731,.35794625,.32773596,.21886216,.90724063,-.58120143,-.97578514
ELA22,2020,3.2114134,.16281439,-.45677617,-1.1835905,-.85300761,-.40496588,2.3967991
ELA23,2010,-.41132936,-.18298829,-.45677617,-.41692367,-.53832871,-.61391485,-.18164273
ELA23,2016,-.58134919,-.75427067,3.6259155,.55719292,-.66435254,-.57455027,-.66918653
ELA23,2020,-.62101424,1.1195132,-.45677617,.34716293,-.38669822,-.64069951,.083504468
ELA24,2010,-.34639996,.17683706,-.45677617,-.41960368,-.41084918,1.3531566,.5572077
ELA24,2016,-.32268047,-.53252852,-.45677617,.59236783,.2879518,-.48202363,-.86721796
ELA24,2020,3.1379097,.20868337,-.19723301,-.64392543,-.86756939,-.072142839,2.4584067
ELA25,2016,.38097396,-.067495756,-.45677617,-.16608688,-.70096767,.095914736,-.18164273
ELA25,2020,-.3817617,-.62090456,-.45677617,-1.830816,-.68966752,.13426463,.50393254
ELA26,2010,.051449623,-.23846333,-.45677617,-.25249568,-.08296866,-.43956199,-.34084222
ELA26,2016,1.0552822,.81957364,-.45677617,-.98204809,-.66000497,-.4025721,1.4978435
