HHID_panel,year,assets_total_std,dsr_std,isr_std,dar_std,dir_std,tdr_std,afm_std,rfm_std,dailyincome4_pc_std,incpercpl_std
ELA1,2010,-.49225146,-.069819026,-.28491968,-.31444585,-.3000783,-.45677617,-.51156282,-.17724864,-.5730648,-.58617991
ELA1,2016,-.56762254,-.35975811,-.44731727,-.13355955,-.28842068,-.45677617,-.4720563,-.11883776,-.59785861,-.61189371
ELA1,2020,-.50733733,-.24943736,-.27768028,-.44741121,-.44732565,-.45677617,-.35683894,-.014068379,-.47120678,-.4805423
ELA10,2010,.35793382,-.049908571,-.13612396,-.63396937,-.39240083,-.45677617,-.64593142,-.36691356,-.59413356,-.60803044
ELA10,2016,-.48655614,-.27075386,-.46329302,.0045403694,-.19387926,.57441151,-.54571825,-.23921275,-.03209129,-.025132762
ELA10,2020,-.61998987,-.027005164,-.2614907,1.3769644,-.2793051,.23305027,.077993207,.10369662,.70853806,.74297893
ELA11,2010,.08909376,-.42479348,-.37655449,-.498777,-.38398379,-.45677617,.1550207,.12385017,.36278602,.38439718
ELA11,2016,-.33103561,.24305439,.37263677,-.045186307,-.14385886,-.45677617,-.19458835,-.012693136,.047990818,.05792094
ELA11,2020,-.60714716,5.3989658,5.6995854,1.811167,6.2865763,.55233502,-1.0737157,-5.1248674,-1.1133626,-1.1465263
ELA12,2010,1.519768,-.62101328,-.52620041,-.60553449,-.43134078,-.45677617,1.2111564,.39042956,1.3589842,1.4175609
ELA12,2016,-.65562403,-.54801768,-.35535201,1.1208327,-.38761586,3.3537714,.056708556,.15942687,.776003,.81294727
ELA12,2020,-.66377568,-.36900488,.063632593,.44653136,-.38392439,3.2895377,.014963035,.4851166,-.54376644,-.55579436
ELA13,2010,.40802026,.37858328,.22920278,-.54208177,-.075656146,1.2103431,-.50530344,-.17682931,-.31981498,-.32353288
ELA13,2016,-.58826846,-.10384473,.68424767,.41609389,.093835108,-.45677617,-.38638258,.076560073,-.73385644,-.75293803
ELA13,2020,-.32684118,-.5714218,-.51735055,-.2486991,-.43024421,-.45677617,.93680048,.28570807,1.0973666,1.1462357
ELA14,2010,.41358542,-.30960894,-.41727129,-.62191153,-.2637586,.19699611,-.19723573,.44871002,-.76023501,-.78029537
ELA14,2016,-.69052184,-.52303511,-.52620041,1.1606739,-.54411393,-.45677617,.22682384,.046876553,1.1797439,1.2316694
ELA14,2020,-.66377568,-.40099981,-.23636064,.30723,-.51567644,.22720248,.3017813,.23338321,.038992543,.048588909
ELA15,2010,2.421324,-.59709227,-.47021261,-.52687693,-.1094766,-.45677617,.60239273,.16395821,1.0865108,1.134977
ELA15,2016,4.4175043,-.50725728,-.2599512,-.57383835,-.22232346,-.45677617,1.1001635,.081826694,2.7963102,2.908221
ELA15,2020,.030845365,.31886473,1.5448596,.43655789,3.4744956,-.45677617,-.85049784,-.74245989,-.67905229,-.69610029
ELA16,2010,.40630791,.16195823,.38284871,-.43219185,-.079136394,.16354726,-.39618352,-.14802803,.405092,.42827296
ELA16,2016,-.65096384,-.57794756,-.42540386,1.7179822,-.40039992,-.45677617,.43934649,.1808804,1.2556014,1.3103417
ELA16,2020,-.49807689,-.59847564,-.52127767,-.62539542,-.57111949,-.45677617,.41337964,.67128849,.20953046,.22545469
ELA17,2010,-.65107256,-.62101328,-.52620041,-.09211304,-.50121105,-.45677617,-.45753795,-.15889987,-.28607053,-.28853625
ELA17,2016,-.36669117,-.60498536,-.48868653,-.44727635,-.44855112,-.45677617,-.15654635,.01559816,.036935236,.04645513
ELA17,2020,-.27314425,-.52104938,-.52620041,-.4193106,-.34831098,.95776725,-.16301695,.058820929,-.14053945,-.13760504
ELA18,2016,-.6361708,-.44856101,-.34242564,-.10825181,-.4661108,-.45677617,-.38470685,-.066645972,-.39806068,-.40468204
ELA18,2020,-.65712148,-.28728461,-.30376828,.19634494,-.50599658,-.37080789,-.12684077,.018047858,.11241479,.12473548
ELA19,2010,-.62281865,-.51802963,-.51453525,-.59980184,-.57338661,-.45677617,-.54187393,-.21489784,-.6523807,-.66843897
ELA19,2016,-.4064658,-.61892855,-.521321,.37454656,.37715754,-.45677617,-.30671474,.02490969,-.42586172,-.43351465
ELA19,2020,.13019033,-.35121787,-.52620041,-.49336153,-.23110585,-.45677617,.18133961,.37564889,-.21215078,-.21187353
ELA2,2010,4.2128778,-.33336312,-.32921562,-.65801394,-.48131695,-.45677617,.054054137,-.0219668,.92429656,.96674365
ELA2,2016,1.5731491,-.5462448,-.42586035,-.36715803,-.13308656,-.45677617,1.1231662,.12802914,2.3888032,2.4855928
ELA2,2020,1.3187433,-.49353746,-.39957818,-.40661532,.025137249,-.45677617,.72034192,.25644863,1.1247077,1.1745912
ELA20,2010,1.3378301,-.42440096,-.066023551,-.63745213,-.36659074,-.45677617,.07656391,.36742017,-.23420189,-.23474291
ELA20,2016,-.53803557,1.6377435,1.429639,.3619338,.46487746,-.45677617,-1.2809294,-1.6997604,-.75395441,-.77378172
ELA20,2020,-.51585203,5.3989658,5.6995854,.43274677,4.7701879,-.45677617,-1.2740083,-5.1248674,-1.0932263,-1.1256428
ELA21,2010,.76247817,-.46107784,-.15186684,-.61507279,-.30961761,-.45677617,-.37628594,-.045392048,-.44204572,-.45029914
ELA21,2016,-.19605136,-.27061725,-.46829891,-.3645494,-.31868064,.87026209,-.51771659,-.23484044,.55211926,.58075601
ELA21,2020,-.62357211,-.62101328,-.52620041,-.50380117,-.53580993,1.7662199,.53936255,1.3439598,-.45149028,-.46009418
ELA22,2010,.2941485,-.50278312,-.24947929,-.57590979,-.33410156,-.45677617,-.27588263,.0093335444,-.29106173,-.29371268
ELA22,2016,-.58360827,-.56999636,-.4067938,.34825969,-.44776076,.32773596,.64603221,.21886255,.90723908,.94905305
ELA22,2020,-.39263681,3.211417,1.9432335,.28115362,1.4098545,-.45677617,-.97705811,-1.1835905,-.85300899,-.87651193
ELA23,2010,-.62966812,-.41132829,-.035426557,.18712656,-.30162337,-.45677617,-.68664193,-.41692346,-.53833014,-.55015641
ELA23,2016,-.57640094,-.58134824,-.43336314,.023522684,-.17598176,3.6259155,-.045546494,.55719334,-.66435397,-.68085653
ELA23,2020,-.66419435,-.62101328,-.52620041,3.1469545,.17083433,-.45677617,-.11672299,.34716326,-.38669965,-.39289939
ELA24,2010,1.5124905,-.34639883,.1165427,-.58781976,-.0010290302,-.45677617,-.72121984,-.41960347,-.41085064,-.41794652
ELA24,2016,-.50183719,-.32267931,-.36446509,-.1412271,-.39758223,-.45677617,.78188646,.59236825,.28795028,.30678448
ELA24,2020,-.18696816,3.1379135,3.4662941,-.23739603,1.4275488,-.19723301,-.70511025,-.64392531,-.86757076,-.89161402
ELA25,2016,.058309004,.38097563,.082427815,-.50590926,.085195161,-.45677617,-.52719361,-.16608663,-.7009691,-.71883029
ELA25,2020,.095478281,-.3817606,-.48471737,-.54736811,-.064887673,-.45677617,-1.4487001,-1.830816,-.68966895,-.70711082
ELA26,2010,-.37709543,.051451046,-.031626638,-.28947851,-.36825117,-.45677617,-.54678845,-.25249544,-.082970135,-.077899486
ELA26,2016,-.51115757,1.0552844,.25119019,.48408851,1.0101043,-.45677617,-.87940782,-.98204798,-.6600064,-.67634761
ELA26,2020,-.49388933,3.6387215,5.6995854,-.23278327,4.2840066,-.36350656,-.99682194,-5.1248674,-1.14472,-1.1790473
ELA27,2010,.84980834,-.49259993,-.45162657,-.66550535,-.5723685,-.45677617,.34301284,.16306122,.58739024,.61733562
ELA27,2016,-.40283474,-.25316456,-.38438731,-.32196844,-.39627093,-.45677617,.076056965,.16070339,.22896615,.24561174
ELA27,2020,.084449843,-.61370176,-.52138644,-.30962908,-.54911292,-.45677617,6.8627071,.20982644,4.8885469,4.2470961
ELA28,2016,.66318882,-.21805835,.41692737,-.41863051,-.07428208,-.45677617,.10085502,.086945884,.58638668,.61629492
ELA28,2020,-.1814304,-.62101328,-.52620041,-.15268926,3.1437564,-.45677617,-1.0844249,-2.6578972,-1.0217547,-1.0515193
ELA29,2016,-.01446617,.29749843,1.6236031,.019646229,.83598876,-.45677617,-.40961757,-.089488387,-.17584842,-.1742242
ELA29,2020,.19933616,-.62101328,-.52620041,-.57816511,-.41108775,-.45677617,.27419505,.36129838,.27166092,.28989068
ELA3,2016,-.49118894,-.45726669,-.35472,-.57234669,-.55654681,-.45677617,1.0494409,.83971906,-.15933257,-.15709549
ELA3,2020,-.3372643,-.45060232,-.40096951,-.46791103,-.5297209,-.45677617,1.8795775,.52936906,.99385548,1.0388836
ELA30,2010,1.3318368,-.42291397,-.26733875,-.63352478,-.37531379,-.45677617,-.05423497,.18054783,-.37825382,-.38414016
ELA30,2016,.21399307,-.61205912,-.505243,-.64957052,-.48270282,6.2117009,-.52122295,-.17695928,-.32734784,-.33134523
ELA30,2020,-.44856751,.19041081,-.41165859,.037237495,-.064689629,-.29204756,.034726854,.34800822,-.44278976,-.45107079
ELA31,2010,.40245509,.58190918,.10129328,-.61322182,-.12721017,-.45677617,-.72845083,-.60014153,-.88019699,-.90470874
ELA31,2016,-.7093792,-.44577885,-.40311143,3.7610016,-.53524846,-.45677617,.047991917,.066988483,.81719369,.85566622
ELA31,2020,-.58858097,-.57773656,-.45867345,-.40536258,-.54587412,4.1197572,1.5129647,.9305588,-.042444397,-.035869993
ELA32,2016,-.40987936,1.3114098,.01738615,.35562295,.062000625,.2271591,-.99271709,-.58364177,.2495109,.26691875
ELA32,2020,-.28640559,1.5189849,-.5172829,1.6762221,1.3304508,-.45677617,-1.4659363,-.88328433,.38811314,.41066402
ELA33,2010,-.56374234,-.51574785,-.27982354,-.17990981,-.41603717,-.45677617,-.16914253,.086260401,-.32204708,-.32584777
ELA33,2016,-.54199111,-.54570538,-.52316004,-.2171265,-.41525769,1.8772066,.13745365,.32297707,-.27663195,-.27874738
ELA33,2020,-.56936318,-.031478949,-.23816629,.029767845,-.25240603,-.10346429,-.76791507,-.49341783,-.50307566,-.51359379
ELA34,2016,-.59737134,-.47621468,-.18729506,-.0071601137,.10414504,-.45677617,-.5834716,-.26336655,-.94709319,-.9740873
ELA34,2020,-.38630879,-.62101328,-.52620041,.16750245,-.11240186,-.45677617,.11229649,.16321313,.29940385,.31866309
ELA35,2010,-.52821094,-.59222668,-.4588246,-.52417904,-.54901564,-.45677617,.079267614,.15861948,-.1146077,-.11071099
ELA35,2016,-.56523812,.1458604,-.52620041,.38307193,3.9425375,.044629782,-.43279621,1.2887348,-1.0312134,-1.0613289
ELA35,2020,-.11749613,.045128625,.34878439,-.56542563,-.29906327,-.45677617,-.053425267,.57475233,-.37098938,-.3766062
ELA36,2010,.38062254,-.40650293,-.45062757,-.63197351,-.44278315,-.45677617,-.028415974,.33277881,-.43580666,-.44382858
ELA36,2016,-.69507331,-.41771948,-.31606799,5.4325962,-.3003341,-.45677617,-.47959712,-.19906157,.28702894,.3058289
ELA36,2020,-.56773472,-.51232576,-.27181414,-.24771139,-.52323985,-.45677617,.96784377,.40714493,.42419016,.44807979
ELA37,2010,-.47983685,-.48716527,-.48598599,-.62077057,-.56190413,-.45677617,.023989474,.35961455,-.39837262,-.40500557
ELA37,2016,-.66906345,.10938926,-.18431354,.94855756,-.15554294,-.45677617,-.57218498,-.24682127,-.7362926,-.75546461
ELA37,2020,.018608006,-.29808781,-.52551115,-.61141342,-.41853663,-.45677617,-1.2753179,-1.1830062,-.49239007,-.50251156
ELA38,2010,-.51922107,-.4928447,-.4569737,.32522869,-.065754622,.83389688,-.69622463,-.38349891,-.33598259,-.34030035
ELA38,2016,-.31808418,-.54158223,-.51291108,-.60049665,-.47326869,-.45677617,-1.005088,-.89107805,-.68828458,-.70567513
ELA38,2020,.39774612,-.52662385,-.45255288,-.59474236,-.4853113,-.21074131,.43280548,.17712575,.53312969,.56106174
ELA39,2010,-.57059181,-.60592353,-.49088237,-.25723866,-.53145444,-.45677617,.38173783,.12077487,1.107869,1.1571277
ELA39,2016,1.2208701,-.15086226,-.29443294,-.38787434,.057182509,.41302454,-.015073461,-.036638554,.63233221,.66394538
ELA39,2020,.11995386,3.1090145,2.4137404,-.52810574,1.3376188,-.45677617,-.87340194,-1.851112,-.97583574,-1.0038964
ELA4,2010,-.50081325,-.18216638,-.30962583,-.45461577,-.50449175,-.45677617,.33263454,.38824615,.10340859,.11539505
ELA4,2016,-.65020525,-.57805651,-.43378398,.98011345,-.48032361,-.45677617,.71778607,.22642924,1.6430398,1.7121569
ELA4,2020,-.56275606,-.50130999,-.43048474,.60351902,-.37299508,.36217245,.43897334,.14752759,1.4483298,1.510222
ELA40,2010,1.5112063,-.44652858,-.11781391,-.60990864,-.23805471,-.45677617,-.063740194,.1635187,-.29243103,-.29513273
ELA40,2016,-.45837846,4.6093326,5.1178479,.60154969,3.0255547,-.45677617,.40682456,3.1129787,-1.0377066,-1.068063
ELA40,2020,.76697308,-.32165059,-.46573794,-.4927007,-.051945817,-.45677617,.60496968,.57769501,-.025654424,-.018456966
